Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,250.75300,94.76600,155.98700,10.10900,107.28900,48.69800,-48.95800,-0.26000,-0.26000,-0.26000,4.61800,146.28500,48.69800,167.41100,167.41100,0.03000,0.03000,0.60120,1.50730,19.42070,19.42070,-0.10370,1.84170,0.02650,-0.00710,-0.00710,-0.00280,-0.00280,21.84650,0.6192,0.3368
2024-06-30,245.77700,83.10800,162.66900,11.48800,106.98000,55.68900,-46.45800,9.23100,9.23100,9.23100,10.53700,151.29000,55.68900,167.38500,167.38500,0.06000,0.06000,0.59580,1.47390,22.65830,22.65830,3.75580,4.28720,0.02570,0.24530,0.24550,0.09650,0.09920,22.47920,0.5485,0.2517
2024-03-31,244.96900,83.07000,161.89900,11.57100,107.34000,54.55900,-48.42800,6.13100,6.13100,6.13100,8.55900,150.07900,54.55900,167.32600,167.32600,0.05000,0.05000,0.59230,1.45260,22.27180,22.27180,2.50280,3.49390,0.02540,0.16060,0.16070,0.06360,0.06550,22.80470,0.83090,0.48540
2023-12-31,259.27900,90.90200,168.37700,14.53800,137.71610,30.66090,-86.56900,-55.90810,-55.90810,-55.90810,-41.13000,153.15300,30.66090,169.59700,169.59700,-0.24000,-0.24000,0.59040,1.44150,11.82550,11.82550,-21.56290,-15.86320,0.02690,-1.45390,-1.45500,-0.57970,-0.59550,22.99790,0.5251,0.2576
2023-09-30,255.40900,91.88700,163.52200,12.82600,134.84800,28.67400,-49.69900,-21.02500,-21.02500,-21.02500,-13.36200,150.38000,28.67400,166.73800,166.73800,-0.08000,-0.08000,0.58030,1.38290,11.22670,11.22670,-8.23190,-5.23160,0.02590,-0.52460,-0.52510,-0.21350,-0.22020,24.03450,0.5642,0.1876
2023-06-30,253.40700,89.18800,164.21900,10.93200,132.50500,31.71400,-46.78300,-15.06900,-15.06900,-15.06900,-7.53900,152.74200,31.71400,169.25600,169.25600,-0.04000,-0.04000,0.56370,1.29220,12.51510,12.51510,-5.94660,-2.97510,0.02640,-0.36990,-0.37010,-0.15670,-0.16140,24.43550,0.6005,0.1805
2023-03-31,252.39300,89.65600,162.73700,10.94000,104.11600,58.62100,-42.45900,16.16200,16.16200,16.16200,18.13400,150.78100,58.62100,175.76500,175.76500,0.10000,0.10000,0.55380,1.24120,23.22610,23.22610,6.40350,7.18480,0.02610,0.38630,0.38660,0.16700,0.17240,23.99330,0.82770,0.53190
2022-12-31,254.13700,86.08600,168.05100,11.23200,104.44210,63.60900,-38.37800,25.23090,25.23090,25.23090,24.05600,155.53290,63.60890,175.75600,175.75600,0.14000,0.14000,0.54840,1.21430,25.02940,25.02940,9.92810,9.46580,0.02610,0.59010,0.59060,0.25880,0.26650,24.32050,0.6559,0.2807
2022-09-30,253.66300,88.31400,165.34900,11.27200,107.54800,57.80100,-36.58800,21.21300,21.21300,21.21300,22.73700,152.54600,57.80100,175.78400,175.78400,0.13000,0.13000,0.54710,1.20780,22.78650,22.78650,8.36270,8.96350,0.02590,0.49360,0.49400,0.21630,0.22360,24.44830,0.7178,0.4004
2022-06-30,246.97000,81.87400,165.09600,11.66100,105.60800,59.48800,-35.65100,23.83700,23.83700,23.83700,24.15200,152.37800,59.48800,175.78400,175.78400,0.14000,0.14000,0.55100,1.22700,24.08710,24.08710,9.65180,9.77930,0.02540,0.56370,0.56420,0.24560,0.25310,24.05770,0.6594,-1.6027
2022-03-31,238.88200,77.54700,161.33500,11.24000,100.60500,60.73000,-34.47100,26.25900,26.25900,26.25900,25.28800,150.19700,60.73000,175.65600,175.65600,0.14000,0.14000,0.54860,1.21530,25.42260,25.42260,10.99250,10.58600,0.02530,0.63650,0.63710,0.27820,0.28730,23.47190,0.79400,0.51360
2021-12-31,238.85200,79.42800,159.42400,11.99000,103.47810,55.94590,-37.13100,18.81490,18.81490,18.81490,19.09800,148.21590,55.94590,175.47800,175.47800,0.12000,0.12000,0.55700,1.25720,23.42280,23.42290,7.87720,7.99570,0.02550,0.47200,0.47250,0.20110,0.20910,22.71170,0.6118,0.2869
2021-09-30,238.24400,79.69200,158.55200,11.43500,104.53900,54.01300,-38.26700,15.74600,15.74600,15.74600,17.92900,148.77700,54.01300,175.48000,175.48000,0.10000,0.10000,0.55900,1.26740,22.67130,22.67130,6.60920,7.52550,0.02540,0.39820,0.39860,0.16780,0.17560,22.53570,0.671,0.2359
2021-06-30,225.00600,72.79200,152.21400,9.55800,103.45800,48.75600,-34.77400,13.98200,13.98200,13.98200,15.98200,142.32100,48.75600,175.47100,175.47100,0.09000,0.09000,0.55530,1.24890,21.66880,21.66880,6.21410,7.10290,0.02400,0.35140,0.35180,0.14920,0.15620,22.67690,0.5516,0.0945
2021-03-31,216.29500,71.48900,144.80600,9.57100,102.36800,42.43800,-34.85000,7.58800,7.58800,7.58800,11.38200,134.02900,42.43800,175.46400,175.46400,0.06000,0.06000,0.54290,1.18790,19.62040,19.62040,3.50820,5.26230,0.02340,0.18870,0.18900,0.08200,0.08630,22.91280,0.71260,0.25950
2020-12-31,215.39000,78.96700,136.42300,9.93400,103.68800,32.73500,-16.56500,16.17000,16.17000,16.17000,17.80100,125.05000,32.73500,175.38000,175.38000,0.10000,0.10000,0.54280,1.18740,15.19800,15.19800,7.50730,8.26450,0.02330,0.40470,0.40520,0.17480,0.18500,22.77400,0.3619,-0.0789
2020-09-30,216.98700,78.26900,138.71800,9.46900,104.42100,34.29700,-36.15600,-1.85900,-1.85900,-1.85900,3.77300,127.19100,34.29700,175.37500,175.37500,0.02000,0.02000,0.54060,1.17700,15.80600,15.80600,-0.85670,1.73880,0.02340,-0.04650,-0.04650,-0.02000,-0.02130,22.81040,0.6838,0.2751
2020-06-30,207.79600,69.15700,138.63900,9.86300,108.62800,30.01100,-35.48300,-5.47200,-5.47200,-5.47200,2.03000,124.54800,30.01100,175.37500,175.37500,0.01000,0.01000,0.53570,1.15390,14.44250,14.44250,-2.63340,0.97690,0.02240,-0.13530,-0.13550,-0.05900,-0.06280,23.06110,0.475,0.0785
2020-03-31,251.35000,79.02000,172.33000,10.33500,108.11200,64.21800,-34.50400,29.71400,29.71400,29.71400,26.81700,159.40000,64.21800,175.37300,175.37300,0.15000,0.15000,0.52800,1.11880,25.54920,25.54920,11.82180,10.66920,0.02700,0.71950,0.72060,0.31910,0.33960,23.54790,0.87530,0.54230
2019-12-31,243.89300,77.25800,166.63500,9.85900,118.72600,47.90900,274.72000,322.62900,322.62900,322.62900,276.96400,156.63400,47.90900,173.35800,173.35800,1.59000,1.59000,0.51380,1.05680,19.64350,19.64350,132.28300,113.55960,0.02610,7.38120,7.39210,3.45080,3.58880,24.92410,0.6608,0.2507
2019-09-30,238.06900,77.88100,160.18800,9.21800,99.49700,60.69100,-37.27000,23.42100,23.42100,23.42100,22.48800,153.13900,60.69100,175.27800,175.27800,0.13000,0.13000,0.51180,1.04840,25.49300,25.49300,9.83790,9.44600,0.02790,0.58790,0.58830,0.27490,0.28700,22.72090,0.7252,0.4269
2019-06-30,230.53400,72.02000,158.51400,9.15900,87.88300,70.63100,-30.77100,39.86000,39.86000,39.86000,33.96600,147.37100,70.63100,172.49800,172.49800,0.20000,0.20000,0.51510,1.06230,30.63800,30.63800,17.29030,14.73360,0.02660,0.98360,0.98440,0.45930,0.47690,23.12690,0.5445,-1.8549
2019-03-31,224.18600,71.00400,153.18200,9.83200,89.70500,63.47700,-30.68900,32.78800,32.78800,32.78800,28.70100,141.09600,63.47700,170.22100,170.22100,0.17000,0.17000,0.52150,1.09000,28.31440,28.31440,14.62540,12.80230,0.02730,0.86550,0.86620,0.39910,0.41410,22.25240,0.77830,0.40200
2018-12-31,226.26400,71.65700,154.60700,10.19700,100.11700,54.49000,-30.95800,23.53200,23.53200,23.53200,25.08900,141.58300,54.49000,169.89300,169.90200,0.14000,0.14000,0.51790,1.07420,24.08250,24.08250,10.40020,11.08840,0.02740,0.61150,0.61200,0.28480,0.29480,22.60940,0.5956,0.1067
2018-09-30,223.33600,73.43000,149.90600,9.44000,83.50700,66.39900,-30.98300,35.41600,35.41600,35.41600,30.56100,137.47300,66.39900,169.92600,169.93100,0.18000,0.18000,0.51240,1.05070,29.73050,29.73050,15.85770,13.68390,0.02680,0.90270,0.90350,0.42430,0.44020,23.08790,0.6824,0.3006
2018-06-30,219.46900,68.72600,150.74300,9.43700,82.81600,67.92700,-30.89400,37.03300,37.03300,37.03300,31.68400,137.08200,67.92700,169.91600,169.92600,0.19000,0.19000,0.51100,1.04480,30.95060,30.95060,16.87390,14.43670,0.02640,0.94220,0.94310,0.44520,0.46080,23.13050,0.577,0.2048
