Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.94650,-0.94650,0.07380,-0.87270,0.01100,-0.88370,-0.88370,-0.88370,-0.94650,-0.94650,2.87500,2.87500,-0.31000,-0.31000,0.01870,-0.29030,9.87030,9.87030,-15.01020,9.87030,-3.11430,-0.0802,-0.0802
2024-06-30,-0.55320,-0.55320,0.14200,-0.41120,0.02900,-0.44020,-0.44020,-0.44020,-0.55320,-0.55320,2.87500,2.87500,-0.15000,-0.15000,0.04200,-0.28820,5.56800,5.56800,-7.58970,5.56800,-2.74990,-0.1565,-0.1565
2024-03-31,-0.22510,-0.22510,0.14270,-0.08240,0.02400,-0.10640,-0.10640,-0.10640,-0.22510,-0.22510,2.87500,2.87500,-0.04000,-0.04000,0.06310,-0.24450,1.49700,1.49700,-0.82370,1.49700,-2.47330,-0.03470,-0.03470
2023-12-31,-0.28780,-0.28780,0.14290,-0.14490,0.03600,-0.18090,-0.18090,-0.18090,-0.28780,-0.28780,2.87500,2.87500,-0.06000,-0.06000,0.09070,-0.22270,2.68360,2.68360,-1.42190,2.68360,-2.34510,-0.2479,-0.2479
2023-09-30,-0.25750,-0.25750,0.16780,-0.08960,0.01400,-0.10360,-0.10360,-0.10360,-0.25750,-0.25750,2.87500,2.87500,-0.04000,-0.04000,0.02800,-0.16990,1.52350,1.52350,-0.73450,1.52350,-2.36620,-0.0082,-0.0082
2023-06-30,-0.64980,-0.64980,0.22930,-0.42050,0.03800,-0.45850,-0.45850,-0.45850,-0.64980,-0.64980,2.87500,2.87500,-0.16000,-0.16000,0.08960,-0.14800,7.23640,7.23640,-3.29980,7.23640,-2.20390,-0.0749,-0.0749
2023-03-31,-0.56960,-0.56960,0.20910,-0.36050,0.04400,-0.40450,-0.40450,-0.40450,-0.56960,-0.56960,2.87500,2.87500,-0.14000,-0.14000,0.17030,-0.11480,7.45460,7.45460,-1.99340,7.45460,-1.88750,-0.10580,-0.10580
2022-12-31,-0.53890,-0.53890,0.71680,0.17780,0.18740,-0.00950,-0.00950,-0.00950,-0.53890,-0.53890,2.87500,2.87500,-0.03000,-0.03000,0.39410,-0.02720,0.20810,0.20810,-0.04790,0.20810,-1.59580,-0.0489,-0.0489
2022-09-30,-0.25210,-0.25210,0.52390,0.27190,0.12660,0.14530,0.14530,0.14530,-0.25210,-0.25210,2.87500,2.87500,-0.02000,-0.02000,1.82950,,-3.92830,-3.92830,0.12380,-3.92830,-1.28630,-0.0347,-0.0347
2022-06-30,-0.27910,-0.27910,0.15680,-0.12230,,-0.12230,-0.12230,-0.12230,-0.27910,-0.27910,2.87500,2.87500,-0.01000,-0.01000,3.80780,,3.62840,3.62840,-0.10450,3.62840,-1.17200,-0.0325,-0.0325
2022-03-31,-0.25180,-0.25180,0.01170,-0.24010,,-0.24010,-0.24010,-0.24010,-0.25180,-0.25180,2.87500,2.87500,-0.02000,-0.02000,8.10850,,7.55250,7.55250,-0.20510,7.55250,-1.10580,-0.06970,-0.06970
2021-12-31,-0.25090,-0.25090,0.00250,-0.24840,,-0.24840,-0.24840,-0.24840,-0.25090,-0.25090,2.87500,2.87500,-0.03990,-0.03990,9.51250,,8.45250,8.45250,-0.21170,8.45250,-1.02220,-0.1295,-0.1295
2021-09-30,-0.06620,-0.06620,0.00020,-0.06600,,-0.06600,-0.06600,-0.06600,-0.06620,-0.06620,4.40200,4.40200,-0.01000,-0.01000,26.53140,,2.45420,2.45420,-0.05620,2.45420,-0.93580,-0.1812,-0.1812
2021-06-30,-0.00020,-0.00020,,-0.00020,,-0.00020,-0.00020,-0.00020,-0.00020,-0.00020,2.50000,2.50000,-0.00010,-0.00010,,,,,,,,0,0
2021-03-31,-0.00030,-0.00030,,-0.00030,,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,2.87500,2.87500,0.00000,0.00000,,,,,,,,0.00000,
2020-09-30,-0.06670,-0.06670,0.00020,-0.06660,,-0.06660,-0.06660,-0.06660,-0.06670,-0.06670,3.53500,3.53500,-0.02000,-0.02000,,,,,,,,0,0
