Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,26.51500,26.51500,5.58200,,13.78500,13.78500,13.78500,22.63400,22.63400,20.13500,20.93300,39.95400,39.95400,0.57000,0.57000,0.13860,1.10800,100.00000,51.98940,78.94780,51.98940,85.36300,0.03410,,,6.21350,6.21350,2.90800,6.21350,9.09560,0.2191,0.2191
2024-06-30,27.10700,27.10700,5.80100,,12.60400,12.60400,12.60400,8.61700,8.61700,19.07600,21.30600,38.72900,38.72900,0.22000,0.22000,0.13750,1.14270,100.00000,46.49720,78.59960,46.49720,31.78880,0.03510,,,2.44120,2.44120,1.11730,2.44120,8.83480,1.9586,1.9586
2024-03-31,29.27300,29.27300,6.73900,,15.52300,15.52300,15.52300,7.97900,7.97900,23.99900,22.53400,37.64900,37.64900,0.21000,0.21000,0.02040,1.26620,100.00000,53.02840,76.97880,53.02840,27.25720,0.03740,,,2.33810,2.33810,1.01950,2.33810,9.01730,0.48340,0.48340
2023-12-31,32.97200,32.97200,7.37700,,17.28600,17.28600,17.28600,-28.79300,-28.79300,26.24200,25.59500,35.70600,35.70600,-0.81000,-0.81000,0.27930,1.75540,100.00000,52.42630,77.62650,52.42630,-87.32560,0.03370,,,-8.31430,-8.31430,-2.94160,-8.31430,9.20540,1.2028,1.2028
2023-09-30,35.73800,35.73800,7.33700,,19.10400,19.10400,19.10400,2.14800,2.14800,29.68600,28.40100,35.60900,35.60900,0.06000,0.06000,0.20550,1.61100,100.00000,53.45570,79.47000,53.45570,6.01040,0.03580,,,0.57420,0.57420,0.21510,0.57420,10.36690,1.9817,1.9817
2023-06-30,35.15100,35.15100,6.37000,,18.83700,18.83700,18.83700,-20.85500,-20.85500,27.95100,28.78100,35.39800,35.39800,-0.59000,-0.59000,0.14500,1.66680,100.00000,53.58880,81.87820,53.58880,-59.32980,0.03390,,,-5.49630,-5.49630,-2.01040,-5.49630,10.70430,0.7207,0.7207
2023-03-31,33.62900,33.62900,5.80500,,18.57900,18.57900,18.57900,7.67900,7.67900,26.59900,27.82400,35.34900,35.34900,0.22000,0.22000,0.10050,1.47890,100.00000,55.24700,82.73810,55.24700,22.83450,0.03210,,,1.85500,1.85500,0.73390,1.85500,11.69460,-0.93240,-0.93240
2022-12-31,34.94900,34.94900,6.07200,,20.49400,20.49400,20.49400,-11.79400,-11.79400,26.87500,28.87700,32.69000,32.69000,-0.34000,-0.34000,0.10980,1.35010,100.00000,58.63980,82.62610,58.63970,-33.74630,0.03440,,,-2.80850,-2.80850,-1.16250,-2.80850,11.88020,0.1289,0.1289
2022-09-30,29.69800,29.69800,5.58400,-0.10100,16.86000,16.86000,16.86000,0.43200,0.43200,23.17500,24.01300,33.37300,33.37300,0.01000,0.01000,0.03950,1.14480,100.00000,56.77150,80.85730,56.77150,1.45460,0.03020,,,0.09650,0.09650,0.04390,0.09650,12.69430,-2.4679,-2.4679
2022-06-30,27.42800,27.42800,5.48500,-3.16300,12.65400,12.65400,12.65400,-14.41300,-14.41300,17.09600,18.78000,31.03700,31.03700,-0.46000,-0.46000,0.08760,1.22800,100.00000,46.13530,68.47020,46.13530,-52.54850,0.02970,,,-3.56470,-3.56470,-1.56310,-3.56470,13.01170,-2.4954,-2.4954
