Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.79200,5.88600,7.90600,1.16800,,3.17100,4.73500,-1.25700,3.47800,3.47800,3.47800,3.56500,6.81000,4.73500,10.57200,11.92800,0.34000,0.31000,4.70770,0.42250,0.80160,57.32310,34.33150,34.33150,25.21750,25.84830,0.06970,5.77060,1.47790,60.89620,3.22660,3.22660,1.75680,1.86340,10.13070,0.1695,0.1171
2024-06-30,13.91000,4.71400,9.19600,1.20900,,2.94000,6.25600,-0.97300,5.28300,5.28300,5.28300,5.01800,8.05500,6.25600,10.45100,12.09600,0.48000,0.43000,3.97520,0.43530,0.84360,66.11070,44.97480,44.97480,37.97990,36.07480,0.07000,2.23310,2.66680,33.74840,5.03680,5.03680,2.66030,2.84440,10.02840,0.5413,-1.2333
2024-03-31,11.80500,4.71700,7.08800,1.07900,,2.63700,4.45100,-0.83900,3.61200,3.61200,3.61200,3.44100,6.07200,4.45100,10.50900,12.32900,0.33000,0.30000,4.81630,0.39260,0.70880,60.04240,37.70440,37.70440,30.59720,29.14870,0.06460,1.60390,2.81940,31.92120,3.47020,3.47020,1.97730,2.10780,9.91490,0.34160,-1.60350
2023-12-31,13.24900,4.42500,8.82400,1.07600,17.08900,-14.34700,23.17100,-1.28500,21.88600,21.88600,21.88600,21.62900,24.95000,23.17100,10.70100,12.58600,2.03000,1.74000,6.03730,0.35440,0.60430,66.60130,174.88870,174.88870,165.18980,163.25010,0.07970,4.62380,2.66900,33.72030,21.69960,21.69960,13.15950,14.00890,9.56640,0.1128,3.0756
2023-09-30,11.09800,4.48700,6.61100,1.13100,0.02200,2.52400,4.08700,-1.00700,3.08000,3.08000,3.08000,3.14600,5.63400,4.08700,10.74000,12.56300,0.29000,0.26000,2.51570,0.46550,0.95870,59.56930,36.82650,36.82650,27.75280,28.34750,0.06780,2.51800,4.70250,19.13860,3.86530,3.86530,1.88040,2.06590,7.45620,0.6189,-1.6465
2023-06-30,9.50500,3.32600,6.17900,1.01000,0.07400,2.25900,3.92000,-0.96500,2.95500,2.95500,2.95500,2.75600,5.34700,3.92000,10.80100,12.62400,0.25000,0.23000,3.60280,0.42310,0.80980,65.00790,41.24150,41.24150,31.08890,28.99530,0.06950,3.87650,2.29260,39.25720,4.05950,4.05950,2.16130,2.34190,6.70900,0.4507,0.4457
2023-03-31,11.61600,5.73700,5.87900,1.71900,8.01800,-4.81200,10.69100,-1.77600,8.91500,8.91500,8.91500,8.69600,12.24700,10.69100,10.70700,12.60300,0.81000,0.71000,3.50210,0.43820,0.86150,50.61120,92.03680,92.03680,76.74760,74.86230,0.08610,6.41720,2.32930,38.63900,12.72120,12.72120,6.61110,7.14640,6.52150,0.52120,2.44870
2022-12-31,18.37800,7.59600,10.78200,0.97600,-0.06900,2.70100,8.08100,-1.37500,6.70600,6.70600,6.70600,6.48800,9.81100,8.08100,10.61400,12.64100,0.61000,0.60000,1.68230,0.51450,1.15490,58.66800,43.97110,43.97110,36.48930,35.30310,0.13220,3.97490,1.75550,51.26840,10.92700,10.92700,4.82520,5.30460,5.78210,0.4032,0.4032
2022-09-30,16.99800,8.11600,8.88200,0.92800,0.00500,2.55200,6.33000,-1.00200,5.32800,5.32800,5.32800,5.11000,8.03300,6.33000,10.61300,12.64100,0.48000,0.42000,1.12040,0.54790,1.31790,52.25320,37.23970,37.23970,31.34490,30.06240,0.12310,2.87900,1.88140,47.83800,9.70770,9.70770,3.85950,4.38910,5.17140,0.1901,0.1901
2022-06-30,16.06200,7.69700,8.36500,1.09300,-0.00400,2.70800,5.65700,-0.86900,4.78800,4.78800,4.78800,4.57000,7.34200,5.65700,10.61300,12.64100,0.43000,0.38000,0.82870,0.57730,1.48340,52.07940,35.21980,35.21980,29.80950,28.45230,0.11830,2.22070,3.05070,29.50130,9.61950,9.61950,3.52660,4.06660,4.68990,0.3331,0.2498
