Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-10-31,1961.00000,1378.00000,583.00000,482.00000,-38.00000,571.00000,12.00000,-37.00000,-25.00000,8.00000,-33.00000,-33.00000,,-33.00000,,12.00000,,95.00000,,-0.34000,,,,,,,,,,,,,,,,,
2024-07-31,1900.00000,1373.00000,527.00000,476.00000,-9.00000,536.00000,-9.00000,-5.00000,-14.00000,-2.00000,-12.00000,-12.00000,,-12.00000,42.00000,-9.00000,95.00000,95.00000,-0.13000,-0.13000,1.65930,0.13190,0.15360,27.73680,-0.47370,-0.47370,-0.73680,-0.63160,0.27330,0.83310,-0.41420,-0.68970,-0.17260,-0.35960,30.54620,0.7177,0.1257
2024-04-30,1879.00000,1335.00000,544.00000,461.00000,,526.00000,18.00000,-5.00000,13.00000,5.00000,8.00000,8.00000,,8.00000,69.00000,18.00000,94.70000,95.30000,0.09000,0.09000,1.67620,0.13260,0.15450,28.95160,0.95800,0.95800,0.69190,0.42580,0.27050,0.80470,0.27720,0.46140,0.11520,0.24050,30.47260,0.60860,-0.18890
2024-01-31,2384.00000,1746.00000,638.00000,533.00000,-60.00000,605.00000,33.00000,-557.00000,-524.00000,-135.00000,-389.00000,-389.00000,,-389.00000,84.00000,33.00000,94.20000,94.20000,-4.15000,-4.14000,1.72350,0.13270,0.15470,26.76180,1.38420,1.38420,-21.97990,-16.31710,0.34710,1.15710,-13.46020,-22.57690,-5.66390,-11.67470,30.67160,2.0008,1.1755
2023-10-31,1989.00000,1443.00000,546.00000,446.00000,-6.00000,499.00000,47.00000,,47.00000,19.00000,28.00000,28.00000,,28.00000,94.00000,47.00000,94.30000,94.70000,0.30000,0.30000,1.62710,0.12140,0.14010,27.45100,2.36300,2.36300,2.36300,1.40770,0.26810,0.77500,0.87360,1.37590,0.37740,0.76750,34.03710,0.9185,0.523
2023-07-31,1864.00000,1357.00000,507.00000,442.00000,-14.00000,506.00000,1.00000,-4.00000,-3.00000,2.00000,-5.00000,-5.00000,,-5.00000,51.00000,1.00000,94.20000,94.20000,-0.05000,-0.05000,1.63290,0.12030,0.13860,27.19960,0.05360,0.05360,-0.16090,-0.26820,0.24730,0.74110,-0.15400,-0.24300,-0.06630,-0.13550,34.48610,-0.7125,-1.2067
2023-04-30,1931.00000,1349.00000,582.00000,431.00000,,521.00000,61.00000,-4.00000,57.00000,21.00000,36.00000,36.00000,,36.00000,112.00000,61.00000,93.70000,95.10000,0.39000,0.38000,1.64180,0.11940,0.13740,30.13980,3.15900,3.15900,2.95180,1.86430,0.25260,0.76730,1.09660,1.72990,0.47100,0.96570,34.95710,-1.24080,-1.86120
2023-01-31,2337.00000,1632.00000,705.00000,521.00000,-74.00000,646.00000,59.00000,-11.00000,48.00000,26.00000,22.00000,22.00000,,19.00000,110.00000,59.00000,94.30000,95.50000,0.22000,0.21000,1.56580,0.11930,0.13730,30.16690,2.52460,2.52460,2.05390,0.81300,0.29560,0.99330,0.66810,1.05670,0.27820,0.58840,35.25890,2.1494,1.463
2022-10-31,2176.00000,1477.00000,699.00000,467.00000,-20.00000,539.00000,160.00000,-17.00000,143.00000,47.00000,96.00000,96.00000,,96.00000,212.00000,160.00000,93.40000,94.70000,1.02000,1.01000,1.53610,0.12090,0.13930,32.12320,7.35290,7.35290,6.57170,4.41180,0.28030,0.87660,2.94570,4.63540,1.23680,2.58970,34.92290,0.7347,0.0751
2022-07-31,2068.00000,1411.00000,657.00000,452.00000,-12.00000,515.00000,142.00000,1.00000,143.00000,49.00000,94.00000,94.00000,,94.00000,193.00000,142.00000,94.10000,95.10000,1.00000,0.99000,1.46060,0.12250,0.14140,31.76980,6.86650,6.86650,6.91490,4.54550,0.26280,0.85830,2.92200,4.67200,1.19470,2.56410,34.47980,-0.8566,-1.0253
