Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-04-30,2178.00000,1435.00000,743.00000,463.00000,-6.00000,523.00000,220.00000,-30.00000,190.00000,58.00000,132.00000,132.00000,,133.00000,274.00000,220.00000,96.10000,97.20000,1.38000,1.37000,1.43510,0.12280,0.14180,34.11390,10.10100,10.10100,8.72360,6.10650,0.27650,1.02430,4.10580,6.62980,1.67560,3.60160,34.02080,-0.21600,-1.19340
2022-01-31,2351.00000,1568.00000,783.00000,525.00000,-75.00000,655.00000,128.00000,19.00000,147.00000,45.00000,102.00000,102.00000,,103.00000,183.00000,128.00000,102.50000,103.80000,1.10000,1.07000,1.36200,0.12210,0.14090,33.30500,5.44450,5.44450,6.25270,4.38110,0.28900,1.23850,3.14520,5.12050,1.25380,2.76120,33.42580,1.6461,0.9163
2021-10-31,2189.00000,1429.00000,760.00000,458.00000,-57.00000,564.00000,196.00000,26.00000,222.00000,64.00000,158.00000,158.00000,,158.00000,245.00000,196.00000,103.20000,104.40000,1.53000,1.52000,1.64660,0.12010,0.16760,34.71910,8.95390,8.95390,10.14160,7.21790,0.26660,1.09840,4.72770,6.43320,1.92420,4.16010,33.06620,0.9488,0.464
2021-07-31,2275.00000,1477.00000,798.00000,450.00000,-36.00000,534.00000,264.00000,323.00000,587.00000,157.00000,430.00000,430.00000,,430.00000,312.00000,264.00000,103.80000,105.20000,4.14000,4.09000,1.89050,0.00300,0.03350,35.07690,11.60440,11.60440,25.80220,18.90110,0.29990,1.36630,12.87040,13.57750,5.66910,12.83200,32.18630,0.0308,-0.3011
2021-04-30,2153.00000,1404.00000,749.00000,418.00000,-4.00000,467.00000,282.00000,2.00000,284.00000,82.00000,202.00000,202.00000,,202.00000,327.00000,282.00000,103.60000,105.00000,1.95000,1.93000,1.70780,0.00270,0.03720,34.78870,13.09800,13.09800,13.19090,9.38230,0.28930,1.37510,6.89420,7.33210,2.71430,6.87540,28.33660,3.79050,3.35240
2021-01-31,2195.00000,1465.00000,730.00000,460.00000,-59.00000,563.00000,167.00000,-7.00000,160.00000,37.00000,123.00000,123.00000,,123.00000,211.00000,167.00000,104.30000,105.10000,1.19000,1.19000,1.72450,0.00290,0.03960,33.25740,7.60820,7.60820,7.28930,5.60360,0.31170,1.58720,4.43080,4.73080,1.74640,4.41810,26.79050,3.7229,3.3116
2020-10-31,2106.00000,1456.00000,650.00000,424.00000,-4.00000,472.00000,178.00000,191.00000,369.00000,104.00000,265.00000,265.00000,,265.00000,222.00000,178.00000,104.40000,105.30000,2.54000,2.52000,1.83070,0.04640,0.04940,30.86420,8.45200,8.45200,17.52140,12.58310,0.30010,1.22050,9.99250,10.70280,3.77600,9.52890,25.46940,0.6159,0.304
2020-07-31,2077.00000,1539.00000,538.00000,387.00000,-38.00000,469.00000,69.00000,1.00000,70.00000,25.00000,45.00000,45.00000,,45.00000,113.00000,69.00000,104.50000,105.10000,0.43000,0.43000,1.69440,0.04910,0.05160,25.90270,3.32210,3.32210,3.37020,2.16660,0.30050,1.28890,1.87270,2.02160,0.65100,1.78080,23.01900,6.8781,6.5869
2020-04-30,1176.00000,905.00000,271.00000,316.00000,-16.00000,376.00000,-105.00000,,-105.00000,5.00000,-110.00000,-110.00000,,-110.00000,-61.00000,-105.00000,104.30000,104.30000,-1.06000,-1.06000,1.66650,0.04970,0.19490,23.04420,-8.92860,-8.92860,-8.92860,-9.35370,0.17300,0.62070,-4.75370,-5.14260,-1.61860,-4.51750,22.20260,-1.11220,-1.61070
2020-01-31,2221.00000,1521.00000,700.00000,430.00000,-49.00000,524.00000,176.00000,6.00000,182.00000,48.00000,134.00000,134.00000,,134.00000,221.00000,176.00000,108.70000,109.10000,1.28000,1.27000,1.99830,0.04700,0.04930,31.51730,7.92440,7.92440,8.19450,6.03330,0.33710,1.25910,5.41850,5.83370,2.03370,5.16380,23.73620,2.6761,2.1558
2019-10-31,1932.00000,1312.00000,620.00000,411.00000,-1.00000,456.00000,164.00000,7.00000,171.00000,46.00000,125.00000,125.00000,,125.00000,208.00000,164.00000,106.90000,107.20000,1.16000,1.16000,1.89730,0.04790,0.05030,32.09110,8.48860,8.48860,8.85090,6.47000,0.29180,1.00610,5.15040,5.55560,1.88790,4.90390,23.10000,0.7511,0.3048
2019-07-31,1774.00000,1240.00000,534.00000,393.00000,-14.00000,453.00000,81.00000,4.00000,85.00000,25.00000,60.00000,60.00000,,60.00000,127.00000,81.00000,110.80000,111.10000,0.55000,0.55000,1.99020,0.04670,0.04900,30.10150,4.56600,4.56600,4.79140,3.38220,0.26400,1.01060,2.38850,2.56960,0.89290,2.27700,22.93210,0.1406,-0.1906
2019-04-30,2078.00000,1389.00000,689.00000,416.00000,-1.00000,461.00000,228.00000,6.00000,234.00000,62.00000,172.00000,172.00000,,172.00000,272.00000,228.00000,112.40000,113.10000,1.53000,1.52000,2.00930,0.04510,0.04730,33.15690,10.97210,10.97210,11.26080,8.27720,0.29990,1.14700,6.61030,7.09570,2.48270,6.31190,23.15210,2.81170,2.41380
2019-01-31,2272.00000,1537.00000,735.00000,451.00000,-20.00000,516.00000,219.00000,4.00000,223.00000,65.00000,158.00000,158.00000,,158.00000,264.00000,219.00000,115.60000,116.10000,1.39000,1.39000,3.29580,0.04710,0.04950,32.35040,9.63910,9.63910,9.81510,6.95420,0.59480,1.21120,6.30490,6.79570,4.13610,6.00760,22.33070,3.0574,2.777
2018-10-31,1860.00000,1272.00000,588.00000,398.00000,-2.00000,444.00000,144.00000,2.00000,146.00000,16.00000,130.00000,130.00000,,130.00000,188.00000,144.00000,114.50000,115.00000,1.14000,1.14000,3.42160,0.04820,0.05060,31.61290,7.74190,7.74190,7.84950,6.98920,0.50540,0.97470,5.30400,5.76500,3.53260,5.04850,21.61550,0.0231,-0.3079
2018-07-31,1782.00000,1243.00000,539.00000,380.00000,-3.00000,427.00000,112.00000,3.00000,115.00000,27.00000,88.00000,88.00000,,88.00000,156.00000,112.00000,116.60000,117.10000,0.76000,0.75000,3.50070,0.04760,0.05000,30.24690,6.28510,6.28510,6.45340,4.93830,0.46500,0.99120,3.54550,3.85460,2.29650,3.37680,21.46540,0.162,-0.2911
2018-04-30,2025.00000,1359.00000,666.00000,385.00000,-12.00000,442.00000,224.00000,5.00000,229.00000,64.00000,165.00000,165.00000,,165.00000,269.00000,224.00000,118.70000,119.10000,1.39000,1.38000,3.88970,0.04690,0.04920,32.88890,11.06170,11.06170,11.30860,8.14810,0.51100,1.12310,6.48840,7.04530,4.16350,6.18440,21.68670,3.48450,2.95550
2018-01-31,2210.00000,1517.00000,693.00000,423.00000,-148.00000,617.00000,76.00000,4.00000,80.00000,129.00000,-49.00000,-49.00000,,-49.00000,122.00000,76.00000,127.20000,127.90000,-0.34000,-0.34000,4.14120,0.04730,0.04960,31.35750,3.43890,3.43890,3.61990,-2.21720,0.55790,1.18700,-1.94520,-2.11850,-1.23710,-1.85330,21.02160,2.4324,1.9041
2017-10-31,1870.00000,1290.00000,580.00000,368.00000,-13.00000,425.00000,155.00000,1.00000,156.00000,54.00000,102.00000,102.00000,,102.00000,199.00000,155.00000,126.00000,126.40000,0.81000,0.81000,4.40560,0.04530,0.04740,31.01600,8.28880,8.28880,8.34220,5.45450,0.49040,0.98250,3.83890,4.15650,2.67510,3.66510,21.67100,2.0226,1.5449
2017-07-31,1701.00000,1198.00000,503.00000,339.00000,-50.00000,431.00000,72.00000,1.00000,73.00000,22.00000,51.00000,51.00000,,51.00000,114.00000,72.00000,131.30000,132.00000,0.39000,0.39000,5.62550,0.04170,0.04350,29.57080,4.23280,4.23280,4.29160,2.99820,0.43110,0.92870,1.76230,1.89520,1.29240,1.68870,22.07480,0.7024,0.1317
2017-04-30,2001.00000,1321.00000,680.00000,371.00000,,412.00000,268.00000,1.00000,269.00000,89.00000,180.00000,180.00000,,180.00000,309.00000,268.00000,131.40000,132.60000,1.37000,1.36000,4.90090,0.04310,0.04500,33.98300,13.39330,13.39330,13.44330,8.99550,0.51610,1.03280,6.37850,6.86240,4.64280,6.10380,21.49330,1.19910,0.63350
2017-01-31,2113.00000,1400.00000,713.00000,395.00000,,435.00000,278.00000,3.00000,281.00000,92.00000,189.00000,189.00000,,189.00000,318.00000,278.00000,134.00000,135.10000,1.43000,1.41000,4.30230,0.04480,0.04690,33.74350,13.15670,13.15670,13.29860,8.94460,0.55030,1.07120,6.97420,7.52090,4.92190,6.66200,20.60900,2.6875,2.1589
2016-10-31,1886.00000,1246.00000,640.00000,366.00000,-6.00000,412.00000,228.00000,-1.00000,227.00000,70.00000,157.00000,157.00000,,157.00000,268.00000,228.00000,132.90000,134.00000,1.18000,1.17000,4.63540,0.04600,0.04860,33.93430,12.08910,12.08910,12.03610,8.32450,0.51060,0.91550,5.96280,6.45030,4.25010,5.68840,19.89260,0.7184,0.2449
2016-07-31,1780.00000,1193.00000,587.00000,350.00000,,389.00000,198.00000,,198.00000,71.00000,127.00000,127.00000,,127.00000,237.00000,198.00000,134.40000,135.50000,0.94000,0.94000,3.82960,0.04730,0.05000,32.97750,11.12360,11.12360,11.12360,7.13480,0.47320,0.89100,4.92630,5.34060,3.37590,4.69330,19.37240,1.2158,0.7207
2016-04-30,1987.00000,1291.00000,696.00000,361.00000,,400.00000,296.00000,2.00000,298.00000,107.00000,191.00000,191.00000,,191.00000,335.00000,296.00000,136.50000,137.80000,1.40000,1.39000,4.48440,0.04570,0.04820,35.02770,14.89680,14.89680,14.99750,9.61250,0.52870,1.02460,7.14020,7.72650,5.08250,6.81410,19.67070,1.62550,1.15380
2016-01-31,2007.00000,1332.00000,675.00000,387.00000,,531.00000,144.00000,,245.00000,87.00000,158.00000,158.00000,,158.00000,183.00000,144.00000,139.10000,140.80000,1.16000,1.14000,3.72290,0.04810,0.05090,33.63230,7.17490,7.17490,12.20730,7.87240,0.53170,1.03660,6.18880,6.71770,4.18540,5.89110,18.63820,2.6796,2.2882
2015-10-31,1794.00000,1187.00000,607.00000,352.00000,,390.00000,217.00000,-100.00000,117.00000,37.00000,80.00000,80.00000,,80.00000,255.00000,217.00000,139.30000,140.90000,0.57000,0.57000,3.77420,0.04860,0.05140,33.83500,12.09590,12.09590,6.52170,4.45930,0.48550,0.88850,3.14100,3.41150,2.16510,2.98840,18.38170,0.5745,0.1676
2015-07-31,1695.00000,1142.00000,553.00000,331.00000,,367.00000,186.00000,-1.00000,185.00000,66.00000,119.00000,119.00000,,119.00000,222.00000,186.00000,139.60000,141.30000,0.85000,0.84000,3.44800,0.04800,0.05120,32.62540,10.97350,10.97350,10.91450,7.02060,0.45760,0.86710,4.61420,5.00630,3.21270,4.39280,18.51000,0.8649,0.4661
2015-04-30,1916.00000,1246.00000,670.00000,345.00000,,380.00000,290.00000,,290.00000,106.00000,184.00000,184.00000,,184.00000,325.00000,290.00000,140.10000,142.10000,1.31000,1.29000,3.58240,0.04880,0.05210,34.96870,15.13570,15.13570,15.13570,9.60330,0.52770,1.00970,7.20160,7.82650,5.06750,6.85030,18.28410,1.49890,1.07670
2015-01-31,1911.00000,1282.00000,629.00000,375.00000,,408.00000,221.00000,,224.00000,78.00000,146.00000,146.00000,,146.00000,254.00000,221.00000,143.90000,146.00000,1.02000,1.01000,3.52870,0.05020,0.05370,32.91470,11.56460,11.56460,11.72160,7.64000,0.53420,1.02560,5.84940,6.37550,4.08160,5.55560,17.71920,1.8637,1.5437
2014-10-31,1731.00000,1157.00000,574.00000,353.00000,,387.00000,187.00000,,187.00000,67.00000,120.00000,120.00000,,120.00000,221.00000,187.00000,143.60000,145.70000,0.84000,0.82000,3.83330,0.04830,0.05190,33.16000,10.80300,10.80300,10.80300,6.93240,0.47840,0.87390,4.61180,5.02930,3.31680,4.38920,18.17730,0.5403,0.2285
2014-07-31,1641.00000,1116.00000,525.00000,343.00000,,379.00000,146.00000,-2.00000,144.00000,52.00000,92.00000,92.00000,,92.00000,182.00000,146.00000,144.50000,146.40000,0.63000,0.63000,3.39810,0.04930,0.05310,31.99270,8.89700,8.89700,8.77510,5.60630,0.44380,0.83600,3.56310,3.90000,2.48780,3.38730,17.97160,0.6299,0.3266
2014-04-30,1868.00000,1222.00000,646.00000,355.00000,,391.00000,255.00000,-1.00000,254.00000,92.00000,162.00000,162.00000,,162.00000,291.00000,255.00000,145.40000,147.60000,1.12000,1.10000,3.53650,0.04950,0.05320,34.58240,13.65100,13.65100,13.59740,8.67240,0.50910,0.96370,6.24760,6.84990,4.41540,5.93840,17.92020,1.84280,1.51080
2014-01-31,1791.00000,1209.00000,582.00000,365.00000,,401.00000,181.00000,,181.00000,60.00000,121.00000,121.00000,,121.00000,217.00000,181.00000,148.40000,150.50000,0.83000,0.81000,3.75400,0.05170,0.05570,32.49580,10.10610,10.10610,10.10610,6.75600,0.51360,0.99100,4.84780,5.33980,3.47000,4.59730,17.16330,1.3343,1.0157
2013-10-31,1622.00000,1085.00000,537.00000,340.00000,,375.00000,162.00000,-2.00000,160.00000,56.00000,104.00000,104.00000,,104.00000,197.00000,162.00000,147.70000,149.50000,0.70000,0.70000,3.60810,0.05260,0.05680,33.10730,9.98770,9.98770,9.86440,6.41180,0.46650,0.82450,4.21740,4.65740,2.99110,3.99540,16.81680,0.6021,0.2586
2013-07-31,1454.00000,1001.00000,453.00000,314.00000,,345.00000,108.00000,-2.00000,106.00000,40.00000,66.00000,66.00000,,66.00000,139.00000,108.00000,149.50000,151.40000,0.44000,0.44000,3.26710,0.05380,0.05810,31.15540,7.42780,7.42780,7.29020,4.53920,0.41410,0.76650,2.72050,3.00550,1.87980,2.57410,16.33950,-0.0585,-0.4378
2013-04-30,1638.00000,1077.00000,561.00000,315.00000,,346.00000,215.00000,1.00000,216.00000,78.00000,138.00000,138.00000,,138.00000,246.00000,215.00000,150.40000,152.70000,0.92000,0.90000,3.81310,0.05060,0.05330,34.24910,13.12580,13.12580,13.18680,8.42490,0.47270,0.92130,5.57580,6.01830,3.98270,5.29340,16.42630,1.64370,1.31630
2013-01-31,1713.00000,1149.00000,564.00000,363.00000,,393.00000,171.00000,-13.00000,158.00000,54.00000,104.00000,104.00000,,104.00000,201.00000,171.00000,151.20000,154.00000,0.69000,0.67000,3.71540,0.05300,0.05600,32.92470,9.98250,9.98250,9.22360,6.07120,0.50880,0.98460,4.37530,4.74450,3.08880,4.14340,15.83930,1.0184,0.7397
2012-10-31,1524.00000,1019.00000,505.00000,319.00000,,349.00000,156.00000,-1.00000,155.00000,49.00000,106.00000,106.00000,,106.00000,186.00000,156.00000,151.00000,153.90000,0.70000,0.69000,3.67200,0.05490,0.05810,33.13650,10.23620,10.23620,10.17060,6.95540,0.46200,0.82180,4.63080,5.21650,3.21310,4.37650,15.18810,0.6368,0.4224
2012-07-31,1367.00000,939.00000,428.00000,306.00000,,335.00000,93.00000,,93.00000,34.00000,59.00000,59.00000,,59.00000,122.00000,93.00000,151.40000,153.90000,0.39000,0.39000,3.36320,0.05750,0.06100,31.30940,6.80320,6.80320,6.80320,4.31600,0.42270,0.76280,2.70770,3.06330,1.82440,2.55190,14.44390,0.1841,-0.1284
2012-04-30,1578.00000,1041.00000,537.00000,306.00000,,335.00000,202.00000,-1.00000,201.00000,73.00000,128.00000,128.00000,,128.00000,231.00000,202.00000,151.80000,154.30000,0.84000,0.83000,3.54490,0.05750,0.06100,34.03040,12.80100,12.80100,12.73760,8.11150,0.48730,0.90840,5.78400,6.55740,3.95310,5.45140,14.60350,0.86200,0.60920
2012-01-31,1502.00000,1022.00000,480.00000,325.00000,,353.00000,127.00000,-4.00000,123.00000,42.00000,81.00000,81.00000,,81.00000,155.00000,127.00000,153.00000,154.40000,0.53000,0.53000,3.79380,0.06010,0.06400,31.95740,8.45540,8.45540,8.18910,5.39280,0.49250,0.95600,3.83890,4.23640,2.65570,3.60800,13.91650,1.4936,1.2319
2011-10-31,1394.00000,941.00000,453.00000,320.00000,,347.00000,106.00000,-1.00000,105.00000,39.00000,66.00000,66.00000,,66.00000,133.00000,106.00000,152.30000,153.60000,0.43000,0.43000,3.62500,0.06100,0.06500,32.49640,7.60400,7.60400,7.53230,4.73460,0.45780,0.78160,3.15340,3.62040,2.16750,2.96100,13.84090,0.907,0.6096
2011-07-31,1275.00000,887.00000,388.00000,301.00000,,329.00000,59.00000,-1.00000,58.00000,21.00000,37.00000,37.00000,,37.00000,87.00000,59.00000,154.00000,155.20000,0.24000,0.24000,3.45000,0.06040,0.06430,30.43140,4.62750,4.62750,4.54900,2.90200,0.40880,0.69900,1.74940,2.00980,1.18630,1.64370,13.81390,-0.1708,-0.4098
2011-04-30,1452.00000,977.00000,475.00000,298.00000,,325.00000,150.00000,-1.00000,149.00000,55.00000,94.00000,94.00000,,94.00000,177.00000,150.00000,154.40000,155.70000,0.61000,0.60000,3.53140,0.05990,0.06370,32.71350,10.33060,10.33060,10.26170,6.47380,0.46540,0.84300,4.40490,5.07830,3.01280,4.14100,13.90720,0.98910,0.80280
2011-01-31,1392.00000,962.00000,430.00000,303.00000,,330.00000,100.00000,-10.00000,90.00000,33.00000,57.00000,57.00000,,57.00000,127.00000,100.00000,155.70000,156.70000,0.36000,0.36000,3.95500,0.06340,0.06770,30.89080,7.18390,7.18390,6.46550,4.09480,0.48070,0.90840,2.81480,3.15270,1.96820,2.63640,13.09660,1.3058,1.1541
2010-10-31,1280.00000,892.00000,388.00000,287.00000,,314.00000,74.00000,-1.00000,73.00000,21.00000,52.00000,52.00000,,52.00000,101.00000,74.00000,155.40000,156.20000,0.33000,0.33000,3.46990,0.06480,0.06930,30.31250,5.78130,5.78130,5.70310,4.06250,0.43960,0.74210,2.62890,3.09160,1.78570,2.45860,12.77220,0.3731,0.2308
2010-07-31,1096.00000,791.00000,305.00000,268.00000,,294.00000,11.00000,-1.00000,10.00000,4.00000,6.00000,6.00000,,6.00000,37.00000,11.00000,156.10000,156.90000,0.04000,0.04000,3.26850,0.06670,0.07150,27.82850,1.00370,1.00370,0.91240,0.54740,0.37620,0.64890,0.31320,0.36830,0.20600,0.29230,12.30900,-0.2088,-0.3749
2010-04-30,1281.00000,888.00000,393.00000,280.00000,,306.00000,87.00000,-3.00000,84.00000,30.00000,54.00000,54.00000,,54.00000,113.00000,87.00000,156.50000,157.30000,0.35000,0.34000,3.37590,0.06560,0.07030,30.67920,6.79160,6.79160,6.55740,4.21550,0.43280,0.77490,2.76920,3.25890,1.82430,2.58740,12.49050,0.61030,0.45140
2010-01-31,1325.00000,958.00000,367.00000,295.00000,,322.00000,45.00000,-6.00000,39.00000,16.00000,23.00000,23.00000,,23.00000,72.00000,45.00000,156.00000,156.30000,0.14000,0.14000,4.09240,0.06620,0.07080,27.69810,3.39620,3.39620,2.94340,1.73580,0.47050,0.92380,1.18070,1.34980,0.81680,1.10260,12.44400,1.3186,1.1967
2009-10-31,1214.00000,885.00000,329.00000,274.00000,,303.00000,26.00000,-39.00000,-13.00000,-7.00000,-6.00000,-6.00000,,-6.00000,55.00000,26.00000,156.40000,156.40000,-0.04000,-0.04000,3.93720,0.06510,0.06960,27.10050,2.14170,2.14170,-1.07080,-0.49420,0.40970,0.72070,-0.30270,-0.35780,-0.20250,-0.28300,12.66450,0.3627,0.2167
2009-07-31,1099.00000,819.00000,280.00000,252.00000,,280.00000,,-2.00000,-2.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000,28.00000,,155.90000,155.90000,0.00000,0.00000,3.72320,0.06520,0.06980,25.47770,,,-0.18200,,0.36450,0.63790,-0.05060,-0.05980,-0.03320,-0.04730,12.68070,0.1015,-0.0328
2009-04-30,1216.00000,860.00000,356.00000,278.00000,,306.00000,50.00000,-1.00000,49.00000,18.00000,31.00000,31.00000,,31.00000,78.00000,50.00000,155.30000,155.50000,0.20000,0.20000,3.81340,0.06780,0.07280,29.27630,4.11180,4.11180,4.02960,2.54930,0.40960,0.69520,1.58890,1.88560,1.04410,1.48110,12.53120,0.43090,0.26370
2009-01-31,1317.00000,939.00000,378.00000,289.00000,,322.00000,56.00000,-236.00000,-180.00000,-56.00000,-124.00000,-124.00000,,-125.00000,89.00000,56.00000,154.00000,154.00000,-0.81000,-0.81000,4.22010,0.06870,0.07380,28.70160,4.25210,4.25210,-13.66740,-9.49130,0.45780,0.83840,-6.44490,-7.43850,-4.31000,-6.00190,12.41950,2.487,1.539
