Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.51110,0.25490,0.25620,0.56950,2.18190,2.93290,-2.67670,3.36020,0.68350,0.68350,0.68350,-1.25590,-2.49520,-2.67670,17.71700,17.71700,-0.07000,-0.07000,0.60380,0.15320,0.29680,50.12690,-523.73230,-523.73230,133.74080,-245.73700,0.04840,1.27930,70.35320,12.27430,16.56320,6.47300,10.39430,0.29590,-0.0417,-0.0443
2024-06-30,0.50040,0.24740,0.25300,0.56470,2.13240,2.87840,-2.62540,0.02700,-2.59840,-2.59840,-2.59840,-2.59840,-2.44420,-2.62540,12.22700,12.22700,-0.21000,-0.21000,0.64230,0.51120,1.04600,50.55210,-524.65880,-524.65880,-519.26200,-519.26200,0.09640,0.92270,97.53710,-284.95850,490.76990,-50.03240,-139.27480,0.08010,-0.0939,-0.1059
2024-03-31,0.57370,0.29460,0.27910,0.45180,2.49170,3.12830,-2.84930,0.17070,-2.67860,-2.67860,-2.67860,-2.67860,-2.66450,-2.84930,10.11200,10.11200,-0.26000,-0.26000,0.87010,0.38010,0.61320,48.64730,-496.66680,-496.66680,-466.91320,-466.91320,0.10220,0.86980,103.47410,-173.55060,-2714.32300,-47.72870,-107.58230,0.15280,-0.21340,-0.22790
2023-12-31,0.57500,0.25400,0.32110,0.53870,2.49460,3.22680,-2.90580,0.00760,-2.89810,-2.88470,-2.88470,-2.88470,-2.71230,-2.90580,7.12760,7.12760,-0.25000,-0.25000,1.73080,0.19590,0.24370,55.83270,-505.31930,-505.31940,-503.99560,-501.65060,0.07290,0.78730,114.31890,-73.68460,-118.10160,-36.54560,-59.24840,0.42820,-0.3803,-0.4039
2023-09-30,3.06580,0.23930,2.82650,0.60520,2.05350,2.84840,-0.02190,-0.01330,-0.03520,-0.03520,-0.03520,-0.03520,0.16780,-0.02190,8.15600,8.15600,0.00000,0.00000,2.09780,0.17610,0.21370,92.19410,-0.71380,-0.71380,-1.14690,-1.14690,0.41030,5.35700,16.80040,-0.83140,-1.27120,-0.47050,-0.68500,0.51300,-0.1914,-0.2069
2023-06-30,0.46080,0.20390,0.25690,0.57440,1.87760,2.63930,-2.38240,0.21200,-2.17040,-2.17040,-2.17040,-2.17040,-2.19510,-2.38240,6.75700,6.75700,-0.32000,-0.32000,1.31960,0.20950,0.26500,55.74520,-517.01140,-517.01140,-470.99590,-470.99590,0.04960,0.88670,101.50050,-62.38120,-107.67250,-23.36400,-49.31400,0.43640,-0.4994,-0.4631
2023-03-31,0.45860,0.21700,0.24170,0.63240,1.96990,2.82140,-2.57980,0.03230,-2.54750,-2.54750,-2.54750,-2.54750,-2.36060,-2.57980,5.04500,5.04500,-0.50000,-0.50000,0.30540,-0.86330,-0.46330,52.69460,-562.48680,-562.48680,-555.44410,-555.44410,0.08890,0.81290,110.71870,130.04030,73.91530,-49.36140,242.30180,-0.38250,-0.03060,-0.06390
2022-12-31,0.50730,0.21400,0.29330,0.62840,3.50890,4.35000,-4.05680,0.04050,-4.01620,-4.03730,-4.03730,-4.03730,-3.84400,-4.05680,4.73280,4.73280,-0.80000,-0.80000,0.64630,0.58640,1.41800,57.81320,-799.73080,-799.73090,-791.73740,-795.89220,0.07910,0.48780,184.48640,-645.82040,461.29720,-62.96560,-267.08630,0.12880,-0.3075,-0.347
2022-09-30,1.34850,0.52900,0.81950,0.77780,3.28170,4.26260,-3.44310,0.00320,-3.43990,-3.43990,-3.43990,-3.43990,-3.24000,-3.44310,4.69350,4.69350,-0.75000,-0.75000,1.53010,0.17640,0.21420,60.76890,-255.33320,-255.33320,-255.09440,-255.09440,0.16680,0.99380,90.55900,-91.55440,-149.99610,-42.56190,-75.40610,0.77420,-0.2022,-0.2443
2022-06-30,0.70830,0.34820,0.36010,0.57450,2.53280,3.29800,-2.93790,0.01560,-2.92230,-2.92230,-2.92230,-2.92230,-2.74720,-2.93790,4.65330,4.65330,-0.63000,-0.63000,3.15330,0.14770,0.17330,50.84400,-414.79170,-414.79170,-412.58440,-412.58440,0.09300,0.91660,98.18430,-59.03870,-84.38710,-38.35980,-50.31720,1.06280,-0.5784,-0.6197
