Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,33701.00000,20524.00000,13177.00000,2020.00000,6020.00000,121.00000,8154.00000,5023.00000,2095.00000,7118.00000,1052.00000,6066.00000,6205.00000,6252.00000,5023.00000,5023.00000,2345.12500,2415.25000,2.67000,2.59000,1.36920,0.13940,0.19330,39.09970,14.90460,14.90460,21.12100,18.55140,0.13420,4.16180,5.70130,2.47030,3.58140,64.07180,1.9499,2.0368
2024-06-30,33470.00000,20105.00000,13365.00000,1840.00000,6326.00000,,8413.00000,4952.00000,-469.00000,4483.00000,1384.00000,3099.00000,3306.00000,3340.00000,4952.00000,4952.00000,2416.12500,2449.37500,1.38000,1.36000,1.41220,0.14590,0.19950,39.93130,14.79530,14.79530,13.39410,9.97910,0.13630,2.30470,3.17180,1.34590,1.96850,,1.88950,1.88950
2024-03-31,30579.00000,20429.00000,10150.00000,1945.00000,5900.00000,,8104.00000,2046.00000,-646.00000,1400.00000,793.00000,607.00000,160.00000,479.00000,2046.00000,2046.00000,2522.75000,2544.87500,0.23000,0.22000,1.78610,0.11400,0.15500,33.19270,6.69090,6.69090,4.57830,1.56640,0.12510,0.10480,0.14170,0.06550,0.09290,62.70730,1.1108,-0.615
2023-12-31,36669.00000,22002.00000,14667.00000,1900.00000,6344.00000,,10300.00000,4367.00000,-1928.00000,2439.00000,702.00000,1737.00000,1509.00000,2033.00000,4367.00000,4367.00000,2509.87700,2541.25000,0.81000,0.80000,1.79880,0.10980,0.14660,39.99840,11.90920,11.90920,6.65140,5.54420,0.14300,0.94660,1.26940,0.58840,0.84260,,3.7764,3.7764
2023-09-30,30810.00000,19143.00000,11667.00000,1949.00000,4782.00000,,7064.00000,4603.00000,641.00000,5244.00000,795.00000,4449.00000,3659.00000,3797.00000,4603.00000,4603.00000,2541.87500,2565.75000,1.49000,1.48000,1.94440,0.12030,0.14380,37.86760,14.94000,14.94000,17.02050,12.32390,0.12410,2.30190,3.13550,1.47360,2.02510,,2.6245,2.6245
2023-06-30,32292.00000,19631.00000,12661.00000,1443.00000,4736.00000,,6521.00000,6140.00000,-1152.00000,4988.00000,830.00000,4158.00000,4551.00000,4735.00000,6140.00000,6140.00000,2561.62500,2576.00000,1.85000,1.83000,1.92100,0.12150,0.14560,39.20790,19.01400,19.01400,15.44660,14.66310,0.13180,2.90220,3.99550,1.85730,2.54950,,2.42550,2.42550
2023-03-31,30757.00000,20491.00000,10266.00000,2054.00000,5565.00000,,7990.00000,2276.00000,1253.00000,3529.00000,542.00000,2987.00000,3043.00000,3265.00000,2276.00000,2276.00000,2622.50000,2639.25000,1.24000,1.22000,1.81130,0.11810,0.14500,33.37780,7.39990,7.39990,11.47380,10.61550,0.12050,1.87750,2.61860,1.19210,1.65570,63.16860,1.6828,1.7184
2022-12-31,35921.00000,21749.00000,14172.00000,1960.00000,5938.00000,,8699.00000,5473.00000,1843.00000,7316.00000,554.00000,6762.00000,6633.00000,6788.00000,5473.00000,5473.00000,2600.62500,2614.00000,2.61000,2.60000,1.74320,0.11880,0.14530,39.45320,15.23620,15.23620,20.36690,18.89700,0.13980,4.15850,5.84240,2.58160,3.66460,,5.0442,5.0442
2022-09-30,29124.00000,18445.00000,10679.00000,2130.00000,4631.00000,,7145.00000,3534.00000,-5749.00000,-2215.00000,362.00000,-2577.00000,-3158.00000,-2890.00000,3534.00000,3534.00000,2651.37600,2651.37600,-1.09000,-1.09000,1.77010,0.12260,0.15050,36.66740,12.13430,12.13430,-7.60540,-9.92310,0.12100,-2.09410,-3.00610,-1.31180,-1.83740,,2.4017,2.4017
2022-06-30,30689.00000,19357.00000,11332.00000,2119.00000,5078.00000,,7608.00000,3724.00000,632.00000,4356.00000,806.00000,3550.00000,3030.00000,3395.00000,3724.00000,3724.00000,2662.37500,2673.00000,1.27000,1.27000,1.71720,0.11300,0.13980,36.92530,12.13460,12.13460,14.19400,11.06260,0.12030,1.86700,2.67110,1.18800,1.65600,,1.89190,1.89190
