Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,255.53600,76.05600,179.48000,19.16900,84.74600,94.73400,-27.29000,67.44400,67.44400,67.44400,67.44400,162.33800,94.73400,96.85600,97.03300,0.70000,0.70000,1.24270,0.35960,0.62890,70.23670,37.07270,37.07270,26.39320,26.39320,0.10990,2.89070,1.91770,46.93080,5.50720,2.89940,3.52680,11.85180,1.0902,0.6115
2024-06-30,239.99400,78.73000,161.26400,22.72000,90.78100,70.48300,-30.96700,39.51600,39.51600,39.51600,39.51600,140.77000,70.48300,95.00900,95.18700,0.42000,0.42000,1.04810,0.38840,0.70920,67.19500,29.36870,29.36870,16.46540,16.46540,0.10740,2.86300,1.63870,54.92200,3.55010,1.76800,2.17120,11.71200,1.2245,0.9058
2024-03-31,239.15500,81.36100,157.79400,23.08000,90.55000,67.24400,-25.54200,41.70200,41.70200,41.70200,41.70200,135.98200,67.24400,95.00000,95.00500,0.44000,0.44000,1.00270,0.38820,0.70650,65.97980,28.11730,28.11730,17.43720,17.43720,0.10320,2.59020,1.52080,59.17900,3.64630,1.80030,2.23100,12.03880,1.51520,0.95140
2023-12-31,227.82600,61.18500,166.64100,21.08400,64.77800,101.86300,-8.29300,93.57000,93.57000,93.57000,-184.47000,147.27500,101.86300,94.90700,94.90700,-0.09900,-0.09790,1.24990,0.38470,0.67720,73.14400,44.71090,44.71090,41.07080,-80.96970,0.09890,1.95000,1.72330,52.22640,7.85170,4.06030,4.83100,12.54450,5.1813,1.8995
2023-09-30,175.38900,45.59000,129.79900,13.02000,46.05500,83.74400,-0.25900,83.48500,83.48500,83.48500,83.48500,116.80900,83.74400,,,,0.00000,1.24780,0.10700,0.11980,74.00640,47.74760,47.74760,47.59990,47.59990,0.16630,2.58340,1.94620,46.24310,10.88730,7.91490,9.72220,8.07170,-2.8923,-0.923
2023-06-30,166.92100,44.70200,122.21900,12.11400,42.07800,80.14100,-2.33200,77.80900,77.80900,77.80900,77.80900,110.18500,80.14100,95.00400,95.12900,0.81900,0.81790,,,,73.21970,48.01130,48.01130,46.61430,46.61430,,,,,,,,,2.8923,0.923
2023-03-31,192.17300,54.53600,137.63700,13.31700,44.24100,93.39600,-1.70200,91.69400,91.69400,91.69400,91.69400,124.44200,93.39600,,,,0.00000,,,,71.62140,48.60000,48.60000,47.71430,47.71430,,,,,,,,,0.00000,
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2022-09-30,295.74400,72.96200,222.78200,20.28300,47.94600,174.83600,-2.61600,172.22000,172.22000,172.22000,172.22000,174.83600,174.83600,,,,0.00000,,,,75.32930,59.11740,59.11740,58.23280,58.23280,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
