Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.13600,1.13600,8.10800,6.28000,-13.25200,0.28200,-12.97000,,-12.97000,-12.97000,-12.97000,-12.63900,-13.25200,278.17200,278.17200,-0.05000,-0.05000,2.58040,0.03720,0.07110,100.00000,-1166.54900,-1166.54900,-1141.72500,-1141.72500,0.01830,-31.92220,-31.92220,-20.94100,-30.73390,0.14000,-0.0345,-0.0356
2024-06-30,1.14100,1.14100,8.90200,7.68800,-15.44900,0.16900,-15.28000,,-15.28000,-15.28000,-15.28000,-14.87100,-15.44900,257.35400,257.35400,-0.04000,-0.04000,1.03590,0.08400,0.16880,100.00000,-1353.98800,-1353.98800,-1339.17600,-1339.17600,0.02810,-90.27000,-90.27000,-37.68930,-82.68850,0.06580,-0.0385,-0.0405
2024-03-31,1.01400,1.01400,6.82600,6.40400,-12.21600,0.29200,-11.92400,,-11.92400,-11.92400,-11.92400,-12.03700,-12.21600,257.23300,257.23300,-0.05000,-0.05000,1.86900,0.04820,0.09350,100.00000,-1204.73400,-1204.73400,-1175.93700,-1175.93700,0.01960,-39.40510,-39.40390,-23.02200,-37.50390,0.11760,-0.04120,-0.05030
2023-12-31,1.40900,1.40900,7.77900,5.15500,-11.52500,0.55500,-10.97000,,-10.97000,-10.97000,-10.97000,-11.34600,-11.52500,244.32700,244.32700,-0.03000,-0.03000,2.51450,0.06460,0.06900,100.00000,-817.95620,-817.95590,-778.56630,-778.56630,0.02180,-27.04440,-27.04370,-16.99540,-25.29750,0.15810,-0.0561,-0.0688
2023-09-30,3.69900,3.69900,7.04800,9.08200,-12.43100,0.71400,-11.71700,,-11.71700,-11.71700,-11.71700,-12.25400,-12.43100,256.49300,256.49300,-0.05000,-0.05000,5.07880,0.02500,0.04750,100.00000,-336.06380,-336.06380,-316.76130,-316.76130,0.04950,-20.06540,-20.06510,-15.68810,-19.56420,0.22770,-0.0424,-0.0542
2023-06-30,0.48500,0.48500,14.57400,9.45100,-23.54000,0.47500,-23.06500,,-23.06500,-23.06500,-23.06500,-23.40500,-23.54000,238.31100,238.31100,-0.10000,-0.10000,5.45710,0.02050,0.03900,100.00000,-4853.60800,-4853.60800,-4755.67000,-4755.67000,0.00550,-32.81870,-32.81830,-25.92270,-32.14500,0.27400,-0.0746,-0.0859
2023-03-31,0.44300,0.44300,10.17200,8.30600,-18.03500,0.70900,-17.32600,,-17.32600,-17.32600,-17.32600,-18.00400,-18.03500,225.52400,225.52400,-0.08000,-0.08000,5.38170,0.01380,0.03050,100.00000,-4071.10600,-4071.10600,-3911.06100,-3911.06100,0.00460,-22.85780,-22.85750,-17.99190,-22.54290,0.33480,-0.08090,-0.08800
2022-12-31,,,23.61500,7.22600,-30.84100,0.96100,-27.39200,,-27.39200,-27.39200,-27.39200,-30.76700,-28.35300,214.60000,214.60000,-0.12000,-0.12000,3.45210,0.03000,0.03090,,,,,,,-37.02620,-37.02570,-25.21540,-35.91450,0.33380,-0.0807,-0.0902
2022-09-30,,,15.62200,7.49700,-23.11900,1.19700,-21.92200,,-21.92200,-21.92200,-21.92200,-22.97800,-23.11900,216.59100,216.59100,-0.10000,-0.10000,7.21120,0.02320,0.02380,,,,,,,-23.00270,-23.00240,-18.85940,-22.46840,0.43980,-0.0656,-0.0694
2022-06-30,,,9.00700,10.55800,-19.56500,0.09400,-19.47100,,-19.47100,-19.47100,-19.47100,-19.47500,-19.56500,215.86300,215.86300,-0.09000,-0.09000,11.85620,0.01510,0.01530,,,,,,,-17.06380,-17.06370,-14.96760,-16.80590,0.52790,-0.0605,-0.0668
2022-03-31,,,7.91500,10.11900,-18.03400,0.01500,-18.01900,,-18.01900,-18.01900,-18.01900,-17.95800,-18.03400,205.69300,205.69300,-0.09000,-0.09000,17.95590,0.01300,0.01320,,,,,,,-13.74150,-13.74140,-12.71390,-13.56240,0.60810,-0.07320,-0.07430
2021-12-31,,,7.10200,7.47000,-14.57200,-0.00900,-14.58100,,-14.58100,-14.58100,-14.58100,-14.49400,-14.57200,195.01300,195.01300,-0.08000,-0.08000,14.66370,0.01760,0.01790,,,,,,,-15.21760,-15.21740,-13.78680,-14.95030,0.48060,-0.069,-0.0702
2021-09-30,,,6.28100,4.50800,-10.78900,-0.01800,-10.80700,-0.05200,-10.75500,-10.75500,-10.75500,-10.73100,-10.78900,198.79100,198.79100,-0.05000,-0.05000,18.21320,0.01560,0.01580,,,,,,,-10.04120,-10.04110,-9.24670,-9.88480,0.53840,-0.0383,-0.0393
