Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,2.32600,1.26200,2.00000,-1.58800,12.35100,10.76300,10.76300,10.76300,10.76300,-0.91100,-1.58800,36.77000,36.85610,0.29000,0.29000,0.71270,,,,,,,,,,,-348.99490,-348.99490,114.34190,-348.99480,-0.09910,0.4666,0.4666
2023-06-30,9.00000,9.00000,3.48800,1.91600,-4.37500,-0.77900,-5.50700,-6.28600,-6.28600,-6.28600,-6.28600,4.76200,-0.77900,30.77140,30.77140,-0.20000,-0.20000,0.40600,,,100.00000,-8.65550,-8.65550,-69.84440,-69.84440,0.73830,1.00000,90.00000,39.93900,39.93900,-51.56690,39.93900,-0.59100,-0.1416,-0.1416
2023-03-31,,,4.96900,2.34400,,-7.31300,-1.19100,-8.50400,-8.50400,-8.50400,-8.50400,-6.17900,-7.31300,23.70220,23.70220,-0.36000,-0.36000,0.50340,-0.63470,-0.38830,,,,,,,,,76.80640,76.80640,-102.17470,125.55740,-0.46080,-0.21110,-0.21110
2022-12-31,,,3.87500,1.95700,,-5.83200,-1.16500,-6.99700,-6.99700,-6.99700,-6.99700,-5.40100,-5.83200,20.91910,20.91910,-0.30000,-0.30000,0.81480,-0.84730,-1.83010,,,,,,,,,97.84640,97.84640,-35.93920,180.75420,-0.30920,-0.2489,-0.2491
2022-09-30,,,4.09700,2.28000,,-6.37700,-0.05800,-6.43500,-6.43500,-6.43500,-6.43500,-6.30200,-6.37700,21.47000,21.47000,-0.30000,-0.30000,1.53230,1.40790,-3.45160,,,,,,,,,244.21300,244.21250,-32.72150,-99.61300,-0.12110,-0.2772,-0.2775
2022-06-30,,,2.92300,3.31600,,-6.23900,0.00900,-6.23000,-6.23000,-6.23000,-6.23000,-6.21500,-6.23900,20.26820,20.26820,-0.31000,-0.31000,1.17350,,,,,,,,,,,-245.08340,-245.08260,-39.73980,-245.08260,0.11870,-0.3844,-0.3845
2022-03-31,,,2.99300,6.45300,,-9.44600,-0.02700,-9.47300,-9.47300,-9.47300,-9.47300,-9.47100,-9.44600,19.60900,19.60900,-0.48000,-0.48000,1.15650,,0.25020,,,,,,,,,-339.53300,-339.53390,-50.21740,-339.53410,0.14220,-0.34380,-0.34400
2021-12-31,,,3.06400,4.59900,,-7.66300,-0.04900,-7.71200,-7.71200,-7.71200,-7.71200,-7.68800,-7.66300,17.25260,17.25260,-0.37000,-0.37000,1.82330,,0.11870,,,,,,,,,-65.83580,-65.83580,-29.03940,-65.83580,0.60240,-0.3664,-0.367
2021-09-30,,,2.73000,4.15100,,-6.88100,-0.07100,-6.95200,-6.95200,-6.95200,-6.95200,-6.89400,-6.88100,18.53380,18.53380,-0.38000,-0.38000,2.44560,,0.11020,,,,,,,,,-36.85520,-36.85520,-21.19000,-36.85520,0.97080,-0.359,-0.3592
2021-06-30,0.34600,0.34600,3.06800,6.12600,,-8.84800,-0.09100,-8.93900,-8.93900,-8.93900,-8.93900,-8.84900,-8.84800,15.49730,15.49730,-0.58000,-0.58000,1.75910,,0.23170,100.00000,-2557.22600,-2557.22600,-2583.52600,-2583.52600,0.01290,,,-75.02300,-75.02310,-33.35080,-75.02310,0.76860,-0.269,-0.2706
2021-03-31,,,2.28400,2.67100,,-4.95500,-0.10900,-5.06400,-5.06400,-5.06400,-5.06400,-4.95500,-4.95500,15.47930,15.47930,-0.33000,-0.33000,3.03670,0.03320,0.16880,,,,,,,,,-24.87600,-24.87600,-15.99800,-24.05130,1.31500,-0.31390,-0.31420
2020-12-31,,,2.19700,1.98000,,-4.17700,-0.13400,-4.31100,-4.31100,-4.31100,-4.31100,-4.17500,-4.17700,8.98410,8.98410,-0.01000,-0.01000,3.50130,0.05260,0.16390,,,,,,,,,-17.19450,-17.19450,-11.51500,-16.29070,1.61970,-0.6203,-0.6209
2020-09-30,,,1.78500,2.06300,,-3.84800,-0.14400,-3.99200,-3.99200,-3.99200,-3.99200,-3.84400,-3.84800,10.50920,10.50920,-0.38000,-0.38000,2.75830,0.11840,0.29340,,,,,,,,,-25.77810,-25.77810,-14.22620,-22.72700,1.13180,0.1559,0.1559
