Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,318.12000,92.85600,225.26400,48.80500,131.66100,-9.18000,189.64600,35.61800,8.82300,44.44100,11.52500,32.91600,32.95300,,32.95300,54.24300,35.61800,54.35200,54.58500,0.61000,0.60000,3.36960,0.31570,0.47800,70.81100,11.19640,11.19640,13.96990,10.35870,0.12610,0.57230,1.61350,55.77950,2.51540,11.77120,1.30660,1.72140,24.12600,0.9343,0.6018
2024-06-30,318.57500,99.71000,218.86500,44.73700,129.11800,-4.84400,178.69900,40.16600,-18.57700,21.58900,5.22700,16.36200,16.33300,,16.33300,57.75500,40.16600,54.23800,54.59100,0.30000,0.30000,3.45460,0.32760,0.50310,68.70130,12.60800,12.60800,6.77670,5.12690,0.12990,0.64440,1.58580,56.75280,1.31450,7.16430,0.66580,0.88380,22.88460,0.7922,0.5709
2024-03-31,294.91200,87.52200,207.39000,45.66400,129.86300,-15.61700,191.14400,16.24600,-50.44600,-34.20000,7.71700,-41.91700,-41.94300,,-41.94300,34.28500,16.24600,54.00800,54.00800,-0.78000,-0.78000,3.17300,0.33110,0.51120,70.32270,5.50880,5.50880,-11.59670,-14.22220,0.11990,0.57140,1.40820,63.91330,-3.43360,-21.42210,-1.70530,-2.29660,22.55880,0.18480,0.06630
2023-12-31,310.13200,119.96500,190.16700,46.16600,133.33400,-98.65700,278.15690,-87.98990,-6.30600,-94.29600,-110.65200,16.35600,16.33900,,16.33900,-67.30790,-87.98990,53.93900,54.21200,0.31000,0.30000,2.94990,0.30800,0.45920,61.31810,-28.37180,-28.37170,-30.40510,5.26840,0.12760,0.81120,1.44200,62.41370,1.27890,6.99720,0.67250,0.88500,23.68520,0.9937,0.7571
2023-09-30,286.11300,84.31000,201.80300,46.54100,134.79400,-16.01000,197.34500,4.45800,-6.43600,-1.97800,5.30800,-7.28600,-7.31800,,-7.31800,24.25600,4.45800,53.98900,53.98900,-0.14000,-0.14000,3.22910,0.31680,0.47920,70.53260,1.55810,1.55810,-0.69130,-2.55770,0.12280,0.52190,1.50690,59.72600,-0.59720,-6.60800,-0.31420,-0.40800,22.75250,0.336,0.1745
2023-06-30,293.88200,88.68500,205.19700,51.12400,125.87200,-10.82500,187.82100,17.37600,-12.09600,5.28000,4.09700,1.18300,1.15500,,1.15500,36.83300,17.37600,53.80300,53.97700,0.02000,0.02000,3.26840,0.31400,0.47320,69.82290,5.91260,5.91260,1.79660,0.39300,0.12550,0.56690,1.58100,56.92520,0.09310,1.11080,0.04930,0.06390,23.04680,-0.3329,-0.4375
2023-03-31,263.41800,89.33500,174.08300,49.98600,124.12900,-2.31000,176.42500,-2.34200,12.11000,9.76800,2.37100,7.39700,7.37000,,7.37000,17.63000,-2.34200,53.61700,53.90000,0.14000,0.14000,2.85650,0.29770,0.44200,66.08620,-0.88910,-0.88910,3.70820,2.79780,0.11480,0.62710,1.47720,60.92450,0.60050,8.29600,0.32110,0.42170,22.82830,0.38510,0.24250
2022-12-31,274.87400,91.35700,183.51700,44.93300,119.60600,-5.01800,169.55700,13.96000,-7.56600,6.39400,4.70400,1.69000,1.66100,,1.66100,34.03300,13.96000,53.47200,53.47200,0.03000,0.04000,2.97960,0.30020,0.44840,66.76410,5.07870,5.07870,2.32620,0.60430,0.11980,0.70610,1.50110,59.95440,0.13750,2.36350,0.07240,0.09630,22.54500,0.3509,0.1797
2022-09-30,252.60500,81.68700,170.91800,35.72500,114.63000,-23.14000,302.89100,-131.97300,25.86700,-106.10600,1.29500,-107.40100,-107.34400,,-107.34400,15.80700,-131.97300,53.53400,53.53400,-2.01000,-2.01000,2.95550,0.31120,0.47080,67.66220,-52.24480,-52.24480,-42.00470,-42.49480,0.11420,0.66930,1.46780,61.31460,-9.35900,-271.29750,-4.85090,-6.44630,21.42940,0.6686,0.5536
2022-06-30,254.15100,69.80100,184.35000,34.22900,116.48200,-1.88300,152.59400,31.75600,-12.75500,19.00100,2.51500,16.48600,16.44400,,16.44400,53.27300,31.75600,53.50600,54.08000,0.31000,0.30000,2.92520,0.26400,0.36350,72.53560,12.49490,12.49490,7.47630,6.47020,0.10880,0.58450,1.43630,62.66120,1.28270,-301.95740,0.70390,0.94410,23.96000,-0.1886,-0.302
