Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,195.03400,101.71500,93.31900,45.39000,48.11400,45.20500,-18.74100,26.46400,7.40300,19.06100,19.06100,18.50800,54.85900,45.20500,14.89700,14.89700,1.24000,1.24000,0.85670,1.23300,-5.78480,47.84760,23.17800,23.17800,13.56890,9.48960,0.11480,,2.33810,38.49210,-8.79730,-1.81700,1.12150,2.04950,-14.18550,1.7235,1.5005
2024-06-30,206.26700,106.99600,99.27100,46.85800,49.58100,49.69000,-18.46600,31.22400,8.04200,23.18200,23.18200,22.47900,59.34400,49.69000,14.94300,14.94300,1.50000,1.50000,0.81080,1.25290,-5.41440,48.12740,24.09010,24.09010,15.13770,10.89800,0.12180,,2.47960,36.29550,-10.00510,-2.17350,1.36890,2.53020,-15.14490,1.4523,1.2212
2024-03-31,206.23500,108.81100,97.42400,52.18700,54.90900,42.51500,-18.46900,24.04600,6.57300,17.47300,17.47300,16.96100,52.25600,42.51500,14.98000,14.98000,1.13000,1.13000,0.77370,1.27130,-5.12260,47.23930,20.61480,20.61480,11.65950,8.22410,0.12170,,2.27400,39.57840,-7.13750,-1.61450,1.03070,1.93640,-15.84190,2.03960,1.82240
2023-12-31,206.30200,107.87400,98.42800,50.51200,53.24300,45.18500,-19.03500,26.15000,-6.88900,33.03900,33.03900,32.27800,54.59400,45.18500,15.23300,15.24200,2.13000,2.13000,0.77700,1.28040,-4.99300,47.71060,21.90240,21.90230,12.67560,15.64600,0.11850,,1.61250,55.81300,-13.16430,-3.02810,1.89850,3.69190,-16.35540,3.3933,3.0554
2023-09-30,202.58400,105.28600,97.29800,48.61800,51.32700,45.97100,-21.02400,24.94700,6.46800,18.47900,18.47900,18.04800,54.54100,45.97100,15.21700,15.22000,1.19000,1.19000,0.68640,1.31450,-4.57030,48.02850,22.69230,22.69230,12.31440,8.90890,0.12210,,2.36270,38.09180,-6.75140,-1.65520,1.11350,2.12330,-17.67560,2.4239,1.8113
2023-06-30,208.41500,111.07300,97.34200,47.84000,50.55900,46.78300,-22.34600,24.43700,6.18900,18.24800,18.24800,17.80200,55.21200,46.78300,15.30800,15.31700,1.16000,1.16000,0.67420,1.32600,-4.44860,46.70590,22.44700,22.44700,11.72520,8.54160,0.12510,,2.30050,39.12210,-6.49390,-1.61990,1.09500,2.11700,-18.02680,1.7387,1.296
2023-03-31,213.76700,110.15100,103.61600,51.08700,53.86100,49.75500,-13.58600,36.16900,8.75900,27.41000,27.41000,26.73100,58.97700,49.75500,15.30400,15.33900,1.75000,1.74000,0.85980,1.30480,-4.65260,48.47150,23.27530,23.27530,16.91980,12.50470,0.12160,,2.29560,39.20490,-9.49480,-2.41040,1.55910,2.89390,-18.41680,1.04800,0.00300
2022-12-31,207.96500,113.38590,94.57910,58.80000,61.15510,33.42400,-14.06400,19.36000,8.00900,11.35100,11.35100,11.02300,42.50600,33.42400,15.87300,15.90100,0.75000,0.74000,1.01920,1.30120,-4.67710,45.47830,16.07190,16.07190,9.30930,5.30040,0.11050,,1.73330,51.92360,-3.77000,-0.98530,0.60330,1.13560,-19.30150,1.4964,1.358
2022-09-30,233.22000,138.88900,94.33100,46.33500,48.99900,45.33200,-16.59500,28.73700,7.78900,20.94800,20.94800,20.37300,54.23300,45.33200,15.37700,15.40300,1.32000,1.32000,1.24400,1.29010,-4.80690,40.44720,19.43740,19.43740,12.32180,8.73550,0.11830,,2.60500,34.54940,-6.94580,-1.94760,1.06230,2.01470,-19.23190,2.2638,1.8172
2022-06-30,237.79400,142.09900,95.69500,44.06300,46.72800,48.96700,-16.43600,32.53100,8.56900,23.96200,23.96200,23.28900,58.99800,48.96700,16.05000,16.08000,1.45000,1.45000,1.30840,1.28970,-4.48670,40.24280,20.59220,20.59220,13.68030,9.79380,0.12640,,2.58790,34.77770,-7.76330,-2.18920,1.27340,2.24880,-19.50680,2.323,1.903
2022-03-31,230.42300,137.67000,92.75300,41.54800,44.21300,48.54000,-14.38300,34.15700,9.30700,24.85000,24.85000,24.25200,58.47800,48.54000,16.72200,16.75800,1.45000,1.45000,1.42440,1.23970,-5.21260,40.25340,21.06560,21.06560,14.82360,10.52500,0.12200,,2.45110,36.71860,-9.37130,-2.35860,1.31600,2.24610,-15.83500,-0.46490,-0.61020
2021-12-31,229.63000,133.17100,96.45900,48.94700,51.64500,44.81400,-16.33500,28.47900,8.69100,19.78800,19.78800,19.20000,54.70400,44.81400,16.79900,16.89000,1.13000,1.13000,1.39840,1.21520,-5.69140,42.00630,19.51570,19.51570,12.40210,8.36130,0.11490,,1.91410,47.01970,-8.14970,-1.91410,0.98970,1.75360,-14.14630,3.0176,2.4872
