Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.85100,22.85100,6.47500,9.44800,-16.30600,-6.85800,-6.85800,-6.85800,-6.85800,15.54900,16.37600,23.24300,23.24300,-0.30000,-0.30000,0.98040,0.54330,1.18980,100.00000,41.34610,71.66430,-30.01180,-30.01180,0.03340,3.00320,29.96850,-2.31010,-2.31010,-1.00320,-1.05490,12.77270,0.6268,0.6268
2024-06-30,23.48200,23.48200,6.77900,9.55900,-1.72000,7.83900,7.83900,7.83900,7.83900,16.34000,16.70300,23.24300,23.24300,0.34000,0.34000,1.47370,0.53470,1.14900,100.00000,40.70780,71.13110,33.38300,33.38300,0.03340,1.14980,78.27190,2.50700,2.50700,1.11480,1.16660,13.45270,1.7862,1.7862
2024-03-31,25.47500,25.47500,7.03800,11.10700,-5.13800,5.96900,5.96900,5.96900,5.96900,17.74300,18.43700,23.24300,23.24300,0.26000,0.26000,1.39000,0.55460,1.24500,100.00000,43.59960,72.37290,23.43080,23.43080,0.03470,1.67810,53.63260,1.90220,1.90220,0.81210,0.84730,13.50050,0.06880,0.06880
2023-12-31,25.63300,25.63300,7.24200,10.89400,-7.46800,3.42600,3.42600,3.42600,3.42600,17.60300,18.39100,23.24300,23.24300,0.15000,0.15000,1.36200,0.54970,1.22100,100.00000,42.49990,71.74740,13.36560,13.36560,0.03510,3.01850,29.81630,1.08150,1.08150,0.46880,0.48700,13.62870,0.6798,0.6798
2023-09-30,25.86800,25.86800,7.32100,10.98800,-5.38900,5.59900,5.59900,5.59900,5.59900,17.72900,18.54700,23.24300,23.24300,0.24000,0.24000,1.78740,0.55290,1.23640,100.00000,42.47720,71.69860,21.64450,21.64450,0.03470,3.06310,29.38190,1.73720,1.73720,0.75000,0.77680,13.86630,1.8194,1.8194
2023-06-30,25.59500,25.59500,7.41900,10.84200,-6.96100,3.88100,3.88100,3.88100,3.88100,17.59800,18.17600,23.24300,23.24300,0.17000,0.17000,2.28270,0.56660,1.30720,100.00000,42.35980,71.01390,15.16310,15.16310,0.03310,1.34780,66.77480,1.19310,1.19310,0.50260,0.51710,13.99540,0.4525,0.4525
2023-03-31,26.16400,26.16400,7.68500,10.95400,-3.44800,7.50600,7.50600,7.50600,7.50600,17.76900,18.47900,23.24300,23.24300,0.32000,0.32000,1.37580,0.56250,1.28580,100.00000,41.86670,70.62760,28.68830,28.68830,0.03350,3.33550,26.98210,2.27440,2.27440,0.96110,0.99500,14.19850,0.93630,0.93630
2022-12-31,25.93500,25.93500,7.84200,11.50400,-12.72200,-1.21800,-1.21800,-1.21800,-1.21800,16.89500,18.09300,23.23000,23.23000,-0.06000,-0.06000,1.77160,0.57040,1.32750,100.00000,44.35700,69.76290,-4.69640,-4.69640,0.03260,3.20300,28.09830,-0.36640,-0.36640,-0.15290,-0.15740,14.30050,0.3409,0.3409
2022-09-30,21.55800,21.55800,5.96300,9.96300,-6.11800,3.84500,3.84500,3.84500,3.84500,14.92600,15.59500,23.24300,23.24300,0.17000,0.17000,1.71270,0.55710,1.25810,100.00000,46.21490,72.33970,17.83560,17.83560,0.02710,1.93500,46.51130,1.12090,1.12090,0.48260,0.49640,14.75800,-0.0055,-0.0055
2022-06-30,20.00000,20.00000,7.00300,8.05200,-0.70300,7.34900,7.34900,7.34900,7.34900,11.75700,12.99700,23.24100,23.24100,0.32000,0.32000,0.98030,0.54950,1.21970,100.00000,40.26000,64.98500,36.74500,36.74500,0.02500,3.18120,28.29150,2.11530,2.11530,0.91910,0.95290,14.94750,2.1138,2.1138
2022-03-31,20.03400,20.03400,6.49700,8.76300,-3.05600,5.70700,5.70700,5.70700,5.70700,12.55900,13.53700,23.19100,23.19100,0.25000,0.25000,1.97590,0.57390,1.34660,100.00000,43.74060,67.57010,28.48660,28.48660,0.02390,1.34190,67.07100,1.64030,1.64030,0.68040,0.69900,14.98940,0.65000,0.65000
2021-12-31,18.45200,18.45200,5.70200,7.61100,-4.47200,3.13900,3.13900,3.13900,3.13900,12.74800,12.75000,21.15000,21.15000,0.11000,0.11000,1.39810,0.57690,1.36320,100.00000,41.24760,69.09820,17.01170,17.01170,0.02170,2.45340,36.68380,0.89750,0.89750,0.36890,0.37980,15.09960,-5.3459,-5.3459
2021-09-30,18.37800,18.37800,6.64400,7.89200,0.38300,8.27500,8.27500,8.27500,8.27500,9.90500,11.73400,20.85100,20.85100,0.40000,0.40000,1.72810,0.54010,1.17460,100.00000,42.94270,63.84810,45.02670,45.02670,0.02520,0.80900,111.24390,2.55620,2.55620,1.13420,1.17550,15.46180,-0.8886,-0.8886
2021-06-30,17.34300,17.34300,7.03000,6.50200,4.00900,10.51100,10.51100,10.51100,10.51100,9.70100,10.31300,20.62600,20.62600,0.51000,0.51000,1.41100,0.52910,1.12360,100.00000,37.49060,59.46490,60.60660,60.60660,0.02480,2.14190,42.01870,3.28860,3.28860,1.50220,1.54860,15.42350,-1.2416,-1.2416
2021-03-31,17.97000,17.97000,6.37800,7.79000,0.37900,8.16900,8.16900,8.16900,8.16900,9.36000,11.59200,20.55200,20.55200,0.40000,0.40000,2.70820,0.51580,1.06530,100.00000,43.35000,64.50750,45.45910,45.45910,0.02680,0.69210,130.04680,2.59870,2.59870,1.21830,1.25830,15.27150,3.21170,3.21170
