Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,40.32300,27.33000,-0.22300,-67.87600,-14.19600,-82.07200,0.02200,-82.09400,-82.09400,-82.09400,-65.93800,-67.87600,266.08500,266.08500,-0.31000,-0.31000,13.68510,,,,,,,,,-17.21180,-17.21180,-9.92080,-17.21180,1.79230,-0.2883,-0.3243
2024-06-30,,,36.61200,21.90300,-0.41400,-58.92900,0.70800,-58.22100,0.05100,-58.27200,-58.27200,-58.27200,-57.03400,-58.92900,266.02580,266.02580,-0.22000,-0.22000,18.54590,0.07980,0.08680,,,,,,,-11.03960,-11.03960,-6.82650,-10.15830,1.98400,-0.1619,-0.1647
2024-03-31,10.09100,10.09100,30.67100,18.17700,,-38.75700,-13.94100,-52.69800,-0.00800,-52.69000,-52.69000,-52.69000,-36.95100,-38.75700,222.17100,222.17100,-0.24000,-0.24000,18.28570,,,100.00000,-384.07490,-384.07490,-522.22780,-522.14840,0.01120,-9.05280,-9.05280,-5.84510,-9.05280,2.18810,-0.18240,-0.18480
2023-12-31,0.00000,0.00000,37.54300,15.72800,,-53.27100,-23.92400,-77.19500,-0.02400,-77.17100,-77.17100,-77.17100,-51.49600,-53.27100,173.94200,173.94200,-0.45000,-0.45000,6.15380,,,,,,,,0.00000,-69.22780,-69.22780,-20.55800,-69.22780,0.64010,-0.1429,-0.1514
2023-09-30,0.40600,0.40600,32.31800,10.61100,-0.38200,-42.90500,-2.96500,-45.87000,-0.02100,-45.84900,-45.84900,-45.84900,-41.52600,-42.90500,173.98400,173.98400,-0.26000,-0.26000,8.21480,,,100.00000,-10567.74000,-10567.74000,-11298.03000,-11292.86000,0.00100,-25.39860,-25.39860,-11.29010,-25.39860,1.03780,-0.2307,-0.2392
2023-06-30,,,33.23200,11.12200,-0.02300,-44.37700,-1.13500,-45.51200,0.04000,-45.55200,-45.55200,-45.55200,-42.86500,-44.37700,173.86050,173.86050,-0.26000,-0.26000,8.65410,,,,,,,,,-19.86260,-19.86260,-10.10040,-19.86260,1.32040,-0.2194,-0.2446
2023-03-31,1.29200,1.29200,27.38800,9.28400,-3.76800,-39.14800,-0.67700,-39.82500,-0.01400,-39.81100,-39.81100,-39.81100,-37.24900,-39.14800,173.82600,173.82600,-0.23000,-0.23000,9.93730,,,100.00000,-3030.03100,-3030.03100,-3082.43000,-3081.34700,0.00280,-14.91500,-14.91500,-8.65510,-14.91500,1.54220,-0.24400,-0.26490
2022-12-31,3.82500,3.82500,7.54700,7.41200,,-11.64900,4.22000,-7.42900,19.52200,-26.95100,-26.95100,-26.95100,-10.00000,-11.64900,94.99300,94.99300,-0.23000,-0.23000,9.18280,,,100.00000,-304.54870,-304.54860,-194.22230,-704.60150,0.00780,-9.02360,-9.02360,-5.49710,-9.02360,1.72570,-0.111,-0.1133
2022-09-30,2.36900,2.36900,37.63200,8.23100,,-43.49400,-5.42500,-48.91900,-6.15200,-42.76700,-42.76700,-42.76700,-41.70700,-43.49400,91.24100,91.24100,-0.47000,-0.47000,5.46940,0.06560,0.07020,100.00000,-1835.96500,-1835.96500,-2064.96400,-1805.27600,0.00900,-26.53800,-26.53930,-16.21010,-24.79760,1.76840,-0.3473,-0.4216
2022-06-30,,,38.21200,8.26900,,-46.48100,-3.05200,-49.53300,-7.47400,-42.05900,-42.05900,-42.05900,-44.56200,-46.48100,90.93200,90.93200,-0.46000,-0.46000,7.29120,,,,,,,,,-19.60600,-19.60830,-13.39560,-19.60600,2.35970,-0.3387,-0.3677
2022-03-31,0.16600,0.16600,33.96300,7.98700,,-41.78400,-0.90200,-42.68600,-5.62400,-37.06200,-37.06200,-37.06200,-39.71700,-41.78400,90.91400,90.91400,-0.41000,-0.41000,10.73030,,,100.00000,-25171.09000,-25171.09000,-25714.46000,-22326.51000,0.00050,-13.66880,-13.67110,-10.18200,-13.66880,2.98260,-0.38530,-0.39380
2021-12-31,0.18000,0.18000,39.63500,7.59100,-0.00400,-47.05000,-1.04200,-48.09200,-6.42600,-41.66600,-41.66600,-41.66600,-44.94600,-47.05000,72.08400,72.08400,-0.50000,-0.50000,12.15200,,,100.00000,-26138.90000,-26138.91000,-26717.80000,-23147.79000,0.00040,-13.29820,-13.30100,-10.27370,-13.29820,3.44660,-0.1439,-0.1669
2021-09-30,0.23600,0.23600,32.29200,8.29900,,-40.35500,0.97900,-39.37600,-5.38500,-33.99100,-33.99100,-33.99100,-37.90700,-40.35500,72.89600,72.89600,-0.47000,-0.47000,6.87660,,,100.00000,-17099.58000,-17099.58000,-16684.75000,-14402.97000,0.00080,-13.88920,-13.89410,-11.45880,-13.88920,3.35620,-0.4471,-0.4987
2021-06-30,1.64500,1.64500,32.13100,7.23700,,-37.72300,-1.80700,-39.53000,-6.35700,-33.17300,-33.17300,-33.17300,-35.47900,-37.72300,70.83000,70.83000,-0.47000,-0.47000,9.56140,,,100.00000,-2293.19100,-2293.19100,-2403.04000,-2016.59600,0.00500,-11.69370,-11.69840,-10.03250,-11.69370,3.89980,-0.4461,-0.4639
2021-03-31,0.26900,0.26900,30.73100,8.73800,-0.67200,-39.87200,0.88200,-38.99000,-5.72400,-33.26600,-33.26600,-33.26600,-38.21000,-39.87200,62.44800,62.44800,-0.53000,-0.53000,9.41400,,,100.00000,-14822.31000,-14822.31000,-14494.42000,-12366.54000,0.00080,-11.10470,-11.10970,-9.51150,-11.10470,5.72280,-0.59800,-0.62840
2020-12-31,0.40400,0.40400,38.72800,9.00600,,-47.33000,-1.11200,-48.44200,-5.58100,-42.86100,-42.86100,-42.86100,-45.66800,-47.33000,51.55810,51.55810,-0.82000,-0.82000,5.85670,,,100.00000,-11715.34000,-11715.34000,-11990.59000,-10609.15000,0.00140,-20.40690,-20.42230,-14.56680,-20.40690,4.01240,-0.5558,-0.6637
