Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,0.18350,0.10870,0.07480,2.98650,2.98640,-2.91170,0.00050,-2.91110,,-2.91110,-2.91110,-2.91110,-2.90620,-2.91170,124.91600,124.91600,-0.02000,-0.02000,,5.34030,-1587.01100,-1587.01100,-1586.72400,-1586.72400,0.00090,-14.31880,-14.31880,-1.35390,-14.31880,0.16280,-0.04380,-0.04380
2023-09-30,0.46030,0.65520,-0.19490,7.78720,17.42180,-17.61680,0.10320,-17.51360,,-17.51360,-17.51360,-17.51360,-17.60850,-17.61680,55.14400,55.14400,-0.34000,-0.34000,,6.73230,-3827.44000,-3827.43900,-3805.02800,-3805.02800,0.00220,-111.59450,-111.59450,-8.53940,-111.59450,0.28150,-0.0813,-0.0813
2023-06-30,0.43030,90.30350,-89.87320,0.84200,0.84200,-90.71520,-0.01390,-90.72910,,-90.72910,-90.72910,-90.72910,-90.71240,-90.71520,55.79300,55.79300,-1.63000,-1.63000,,3.15900,-21080.78000,-21080.78000,-21084.00000,-21084.00000,0.00190,-269.60590,-269.60590,-40.74950,-269.60590,0.60320,-0.0031,-0.0031
2023-03-31,0.48990,0.40340,0.08650,1.24650,1.24650,-1.16000,-0.14510,-1.30510,,-1.30510,-1.30510,-1.30510,-1.15420,-1.16000,55.78100,77.01600,-0.02000,-0.02000,,0.88890,-236.79480,-236.79480,-266.40950,-266.40950,0.00150,-1.03350,-1.03350,-0.40330,-1.03350,2.26330,-0.0024,-0.0024
2022-12-31,0.16270,0.13030,0.03240,0.60720,0.60720,-0.57480,0.00110,-0.57370,,-0.57370,-0.57370,-0.57370,-0.56930,-0.57480,53.22900,53.22900,-0.01000,-0.01000,,0.87960,-353.29550,-353.29550,-352.61270,-352.61270,0.00050,-0.45150,-0.45150,-0.17840,-0.45150,2.27900,-0.01260,-0.01260
2022-09-30,0.78480,0.89520,-0.11030,28.28930,107.17870,-107.28910,-1.01580,-108.30490,,-107.79120,-107.79120,-107.79120,-107.28340,-107.28910,36.18900,36.18900,-2.98000,-2.97000,,0.90720,-13670.67000,-13670.67000,-13800.10000,-13734.65000,0.00260,-90.24290,-90.24290,-35.06690,-90.24290,2.57070,-0.0011,-0.0011
2022-06-30,1.16500,0.83360,0.33140,1.73880,1.73880,-1.40740,0.00730,-1.40010,0.03050,-1.43060,-1.43060,-1.43060,-1.40150,-1.40740,40.46500,40.46500,-0.04000,-0.04000,,0.54320,-120.81510,-120.81510,-120.18720,-122.80110,0.00290,-0.67530,-0.67530,-0.35880,-0.67530,5.23560,-0.0199,-0.0199
2022-03-31,4.30300,2.30510,1.99790,0.68030,0.68030,1.31760,-0.25050,1.06710,0.33440,0.73280,0.73280,0.73280,1.32380,1.31760,35.14300,56.52400,0.02000,0.01000,,0.54300,30.62040,30.62040,24.79980,17.02970,0.01030,0.32720,0.32720,0.17460,0.32720,5.53410,-0.0234,-0.0234
2021-12-31,2.81900,1.45560,1.36340,0.85170,0.85170,0.51170,0.00150,0.51320,0.14890,0.36430,0.36430,0.36430,0.51790,0.51170,25.61800,25.61800,0.01000,0.01000,,0.62600,18.15270,18.15270,18.20450,12.92340,0.00730,0.18850,0.18850,0.09380,0.18850,7.54270,0.02350,0.02350
2021-09-30,5.96990,4.88540,1.08450,0.44050,0.44050,0.64400,0.02630,0.67030,0.43640,0.23400,0.23400,0.23400,0.65020,0.64400,23.94400,23.94400,0.02000,0.02000,,0.62740,10.78820,10.78820,11.22820,3.91900,0.01550,0.12270,0.12270,0.06080,0.12270,7.44390,-0.0151,-0.0151
2021-06-30,31.62660,25.29670,6.32990,1.49220,1.49210,4.83770,0.00150,4.83920,1.21060,3.62870,3.62870,3.62870,4.85030,4.83770,25.10200,25.10200,0.14000,0.14000,,0.62810,15.29640,15.29640,15.30110,11.47340,0.08160,1.90910,1.90910,0.93680,1.90910,7.41950,-0.0079,-0.0079
2021-03-31,18.16300,14.47430,3.68870,0.56020,0.56010,3.12850,-0.16590,2.96270,0.74140,2.22120,2.22120,2.22120,3.14100,3.12850,22.52500,22.52500,0.10000,0.10000,,0.65540,17.22480,17.22480,16.31160,12.22950,0.04800,1.25430,1.25430,0.58650,1.25430,7.86200,-0.0307,-0.0307
2020-12-31,2.73170,1.85360,0.87810,0.38530,0.38530,0.49280,-0.10300,0.38980,0.09820,0.29160,0.29160,0.29160,0.50510,0.49280,22.52600,22.52600,0.01000,0.01000,,0.66070,18.04030,18.04030,14.26870,10.67410,0.00740,0.16600,0.16600,0.07860,0.16600,7.79620,0.02850,0.02850
2020-09-30,5.64050,4.46960,1.17090,0.04520,0.04520,1.12570,4.21950,5.34530,0.90730,4.43800,4.43800,4.43800,1.14210,1.12570,22.52500,22.52500,0.17000,0.17000,,0.65310,19.95810,19.95810,94.76570,78.68110,0.01590,2.63660,2.63660,1.25380,2.63660,7.47250,0.018,0.018
2020-06-30,3.01720,4.43120,-1.41400,1.05070,1.05080,-2.46480,-0.07460,-2.53930,0.03590,-2.57520,-2.57520,-2.57520,-2.44610,-2.46480,22.52600,22.52600,-0.11000,-0.11000,0.09830,0.68580,-81.69020,-81.69020,-84.16100,-85.34950,0.00880,-1.63850,-1.63850,-0.74690,-1.47740,6.97730,-0.0243,-0.0243
2020-03-31,1.86280,1.46640,0.39640,1.01980,1.01980,-0.62340,-0.11230,-0.73570,-0.11170,-0.62400,-0.62400,-0.62400,-0.60450,-0.62340,22.52500,22.52500,-0.01000,-0.01000,0.09840,0.67660,-33.46640,-33.46640,-39.49580,-33.49940,0.00530,-0.39150,-0.39150,-0.17900,-0.35300,7.07550,-0.0056,-0.0056
2019-12-31,2.26500,1.70560,0.55940,0.78900,0.78900,-0.22960,-0.01730,-0.24690,0.01050,-0.25740,-0.25740,-0.25740,-0.21080,-0.22960,22.52500,22.52500,-0.01000,-0.01000,0.09800,0.67340,-10.13720,-10.13720,-10.89890,-11.36330,0.00640,-0.15810,-0.15810,-0.07240,-0.14260,7.22860,0.11030,0.11030
2019-09-30,15.10340,9.68210,5.42130,1.07370,1.07370,4.34760,0.02310,4.37070,1.64750,2.72320,2.72320,2.72320,4.36680,4.34760,22.52500,22.52500,0.10000,0.10000,,0.68640,28.78570,28.78570,28.93870,18.03070,0.04340,1.71600,1.71600,0.78280,1.71600,7.04550,-0.012,-0.012
2019-06-30,7.87240,7.09170,0.78070,0.55300,0.55300,0.22770,-0.02130,0.20640,0.05320,0.15320,0.15320,0.15320,0.24770,0.22770,22.52500,22.52500,0.02000,0.02000,0.15860,0.69650,2.89240,2.89240,2.62200,1.94560,0.02170,0.09410,0.09410,0.04220,0.07920,7.22410,0.0774,0.0774
