Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,71.18600,46.85700,24.32900,21.96600,,23.85900,0.47000,-1.22200,-0.75200,0.05200,-0.80400,-0.80400,,-0.80400,2.40300,0.47000,10.91900,10.91900,-0.07000,-0.07000,1.74920,0.33170,0.58960,34.17670,0.66020,0.66020,-1.05640,-1.12940,0.45240,1.54500,58.25110,-0.96930,33.51400,-0.51100,-0.64780,7.53570,0.5931,0.5591
2024-06-30,68.13700,44.50700,23.63000,21.56800,,23.54900,0.08100,-1.06100,-0.98000,-0.21900,-0.76100,-0.76100,,-0.76100,2.10200,0.08100,10.88000,10.88000,-0.07000,-0.07000,2.01940,0.34220,0.61330,34.68010,0.11890,0.11890,-1.43830,-1.11690,0.42650,1.46750,61.32790,-0.91510,20.87790,-0.47640,-0.60190,7.59050,0.6712,0.6253
2024-03-31,68.76500,45.32700,23.43800,21.01600,,23.02300,0.41500,-1.23500,-0.82000,-0.02800,-0.79200,-0.79200,,-0.79200,2.47100,0.41500,10.83100,10.83100,-0.07000,-0.07000,2.08990,0.37440,0.69120,34.08420,0.60350,0.60350,-1.19250,-1.15170,0.40320,1.31190,68.60500,-0.94790,16.53440,-0.46440,-0.59300,7.64510,0.68150,0.63590
2023-12-31,73.56700,48.12000,25.44700,20.17500,,22.21900,3.22800,-1.60200,1.62600,0.62700,0.99900,0.99900,,0.99900,5.32700,3.22800,10.76600,10.76600,0.11000,0.11000,0.78670,,0.73790,34.59020,4.38780,4.38780,2.21020,1.35790,0.41210,1.29570,69.45830,1.16790,-22.59160,0.55960,1.16790,7.85600,0.4964,0.442
2023-09-30,83.48400,53.50500,29.97900,22.67900,,24.71200,5.26700,-1.67200,3.59500,0.95500,2.64000,2.64000,,2.64000,7.35300,5.26700,10.79100,10.80300,0.24000,0.24000,0.83310,0.04840,0.76860,35.90990,6.30900,6.30900,4.30620,3.16230,0.45450,1.24080,72.53560,3.07280,-63.52250,1.43730,2.92410,7.90760,0.232,0.1835
2023-06-30,80.80000,51.22600,29.57400,22.58400,,24.52400,5.05000,-1.50200,3.54800,0.94400,2.60400,2.60400,,2.60400,7.03500,5.05000,10.75900,10.77000,0.24000,0.24000,2.42100,0.42800,0.79560,36.60150,6.25000,6.25000,4.39110,3.22280,0.44290,1.30860,68.77540,3.08570,-36.06150,1.42730,1.76510,7.78560,0.7975,0.7286
2023-03-31,75.31600,48.53200,26.78400,23.21200,-22.54500,47.51400,-20.73000,-1.20000,-21.93000,-5.46400,-16.46600,-16.46600,,-16.46600,-18.92700,-20.73000,10.71200,10.71200,-1.54000,-1.54000,2.89690,0.42340,0.78240,35.56220,-27.52400,-27.52400,-29.11730,-21.86260,0.43820,1.20430,74.73310,-19.80090,-400.34050,-9.57990,-11.41700,7.69550,0.36770,0.29820
2022-12-31,77.28300,50.22500,27.05800,23.21000,,24.29800,2.76000,-0.64500,2.11500,0.69800,1.41700,1.41700,0.31600,1.73300,3.86400,2.76000,10.42700,10.47300,0.17000,0.17000,2.70010,0.38350,0.66180,35.01160,3.57130,3.57130,2.73670,2.24240,0.39700,1.16590,77.19230,1.40660,-70.53300,0.72790,0.86720,9.35080,0.0635,-0.0346
2022-09-30,78.50800,50.50800,28.00000,20.38600,,21.53100,6.46900,-0.37600,6.09300,1.44100,4.65200,4.65200,,4.65200,7.63100,6.46900,10.49200,10.53300,0.44000,0.44000,2.97710,0.21800,0.27870,35.66520,8.23990,8.23990,7.76100,5.92550,0.52600,1.22000,73.76930,4.80110,13.84100,3.11660,3.75470,9.22800,-0.643,-0.7515
2022-06-30,74.08900,49.03000,25.05900,19.89800,,20.82000,4.23900,-0.06900,4.17000,0.98600,3.18400,3.18400,-0.00800,3.17600,5.16800,4.23900,10.47200,10.51400,0.30000,0.30000,2.45120,0.15920,0.18930,33.82280,5.72150,5.72150,5.62840,4.28670,0.54490,1.47830,60.87970,3.41320,10.03430,2.34180,2.86990,8.89940,-0.0638,-0.204
