,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-22,2024-09-30,$0.87,$0.73
1,2024-07-23,2024-06-30,$2.27,$1.38
2,2024-04-23,2024-03-31,$0.06,$0.23
3,2024-01-30,2023-12-31,$2.67,$1.98
4,2023-10-24,2023-09-30,$2.72,$2.71
5,2023-07-25,2023-06-30,$2.13,$2.42
6,2023-04-25,2023-03-31,$1.73,$2.05
7,2023-01-31,2022-12-31,$3.28,$3.46
8,2022-10-25,2022-09-30,$2.85,$3.25
9,2022-07-26,2022-06-30,$2.09,$2.42
10,2022-04-26,2022-03-31,$1.76,$1.29
11,2022-01-25,2021-12-31,$2.04,$2.16
12,2021-10-26,2021-09-30,$1.96,$1.98
13,2021-07-27,2021-06-30,$2.23,$2.70
14,2021-04-27,2021-03-31,$1.56,$2.30
15,2021-01-26,2020-12-31,$2.85,$3.34
16,2020-10-27,2020-09-30,$2.18,$2.85
17,2020-07-28,2020-06-30,$0.60,$1.30
18,2020-04-28,2020-03-31,$0.58,$0.22
19,2020-01-28,2019-12-31,$1.78,$1.83
20,2019-10-22,2019-09-30,$1.57,$1.68
21,2019-07-23,2019-06-30,$1.66,$1.73
22,2019-04-23,2019-03-31,$0.92,$1.08
23,2019-01-29,2018-12-31,$1.82,$1.83
24,2018-10-22,2018-09-30,$1.57,$1.86
25,2018-07-25,2018-06-30,$1.63,$1.77
26,2018-04-24,2018-03-31,$0.87,$1.06
27,2018-01-30,2017-12-31,$1.47,$1.47
28,2017-10-24,2017-09-30,$1.22,$1.46
29,2017-07-20,2017-06-30,$1.08,$1.16
30,2017-04-25,2017-03-31,$0.70,$0.75
31,2017-01-24,2016-12-31,$1.15,$1.18
32,2016-10-25,2016-09-30,$0.45,$0.50
33,2016-07-20,2016-06-30,$1.07,$1.09
34,2016-04-21,2016-03-31,$0.69,$0.71
35,2016-01-26,2015-12-31,$1.69,$1.66
36,2015-10-21,2015-09-30,$2.28,$2.30
37,2015-07-22,2015-06-30,$1.58,$1.49
38,2015-04-23,2015-03-31,$1.29,$1.30
39,2015-01-27,2014-12-31,$1.95,$1.98
