Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,66.20300,13.63400,52.56900,26.28300,-16.72200,44.19400,8.37500,2.56900,10.94400,0.12800,10.81600,10.50000,10.50000,8.59500,8.37500,181.42300,192.97700,0.06000,0.05000,3.32460,,79.40580,12.65050,12.65050,16.53100,15.86030,0.16680,0.86570,103.96160,3.62300,4.13140,2.64560,3.62300,1.60270,-0.0586,-0.0692
2023-06-30,58.52900,12.60800,45.92100,27.05800,-16.10100,51.55100,-5.63000,5.79800,0.16800,0.07000,0.09800,-0.25300,-0.25300,5.98400,-5.63000,183.62300,183.62300,0.00000,0.00000,2.84070,,78.45850,-9.61920,-9.61920,0.28700,-0.43230,0.13190,0.69470,129.55580,-0.08560,-0.09740,-0.05700,-0.08560,1.61360,0.1355,0.1227
2023-03-31,41.12000,10.78000,30.34000,21.70000,-14.32600,37.50400,-7.16400,2.82300,-4.34100,0.00100,-4.34200,-4.65600,-4.65600,-5.33600,-7.16400,184.36500,184.36500,-0.03000,-0.03000,3.28750,,73.78410,-17.42220,-17.42220,-10.55690,-11.32300,0.09530,0.58310,154.35480,-1.51710,-1.76610,-1.07860,-1.51710,1.65680,-0.02990,-0.04190
2022-12-31,51.95100,11.08200,40.86900,21.94100,-14.68500,38.13200,2.73700,2.89700,5.63400,0.09000,5.54400,5.27100,5.27100,5.00700,2.73700,181.85400,181.85400,0.03000,0.03000,3.58400,,78.66840,5.26840,5.26840,10.84480,10.14610,0.12420,0.97690,92.13090,1.70980,1.99290,1.26020,1.70980,1.67060,0.0411,0.03
2022-09-30,50.86400,11.60700,39.25700,39.28500,-14.52500,55.37100,-16.11400,1.01100,-15.10300,0.04400,-15.14700,-15.47200,-15.47200,-13.32800,-16.11400,182.49300,182.49300,-0.08000,-0.08000,3.34060,,77.18030,-31.68060,-31.68060,-29.69290,-30.41840,0.12450,1.02650,87.68030,-5.22140,-6.14430,-3.78700,-5.22140,1.61420,-0.1069,-0.1181
2022-06-30,43.37100,10.52100,32.85000,22.50400,-13.13200,36.81100,-3.96100,0.10200,-3.85900,-0.22700,-3.63200,-3.63200,-3.63200,-1.08700,-3.96100,181.73000,181.73000,-0.02000,-0.02000,3.53470,,75.74190,-9.13280,-9.13280,-8.89770,-8.37430,0.10340,1.13410,79.35460,-1.18310,-1.38650,-0.86600,-1.18310,1.67960,0.0811,0.0697
2022-03-31,27.82400,7.84800,19.97600,18.87100,-11.98800,32.55500,-12.57900,4.44400,-8.13500,0.01100,-8.14600,-8.14600,-8.14600,-9.12800,-12.57900,179.67100,179.67100,-0.05000,-0.05000,4.36350,,71.79410,-45.20920,-45.20920,-29.23740,-29.27690,0.07030,1.06130,84.79870,-2.66440,-3.03000,-2.05760,-2.66440,1.68150,-0.00620,-0.01750
2021-12-31,38.00600,8.04100,29.96500,20.69800,-13.13900,35.59200,-5.62700,39.56600,33.93900,0.05500,33.88400,33.88400,33.88400,-1.74200,-5.62700,89.00400,89.00400,0.45000,0.45000,5.24190,,78.84280,-14.80550,-14.80550,89.29910,89.15440,0.09570,1.46050,61.62370,11.58060,13.28970,8.53170,11.58060,1.64990,-0.0157,-0.0524
2021-09-30,35.15300,8.03600,27.11700,15.30200,-9.23200,26.40700,0.71000,-85.21000,-84.50000,0.03600,-84.53600,-84.53600,-84.53600,4.80500,0.71000,116.59700,116.59700,-0.73000,-0.73000,5.66540,,77.13990,2.01970,2.01970,-240.37780,-240.48020,0.09020,4.43630,20.28730,-994.89140,282.52100,-21.68440,-994.89240,0.05390,-0.6456,-0.5824
2021-06-30,24.48200,6.28300,18.19900,10.19400,-8.56800,20.61100,-2.41200,-0.72500,-3.13700,-0.33100,-2.80600,-2.80600,-2.80600,1.31400,-2.41200,31.33300,31.33300,-0.09000,-0.09000,0.16450,0.00580,74.33630,-9.85210,-9.85210,-12.81350,-11.46150,0.08880,,,-56.12000,-56.12000,-1.01800,-56.12000,0.42630,0.7478,0.6923
2021-03-31,12.19600,4.17600,8.02000,9.30200,-6.70100,17.85300,-9.83300,-0.74400,-10.57700,0.01400,-10.59100,-10.59100,-10.59100,-6.14400,-9.83300,30.59900,30.59900,-0.35000,-0.35000,0.29580,0.00360,65.75930,-80.62480,-80.62480,-86.72520,-86.83990,0.04420,,,-211.81980,-211.82000,-3.83800,-211.81980,0.49110,0.07450,0.02270
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,1.756,1.9542
2020-09-30,13.26000,4.32200,8.93800,7.36100,-6.81500,16.28100,-7.34300,-3.08600,-10.42900,-0.07000,-10.35900,-10.35900,-10.35900,-7.34300,-7.34300,30.00800,30.00800,-0.35000,-0.35000,,,67.40570,-55.37710,-55.37710,-78.65010,-78.12220,,,,,,,,,-1.756,-1.9542
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
