Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2023-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,0.402,0.402
2023-03-31,,-0.95150,-0.95150,0.54920,-0.40230,0.10480,-0.50710,-0.50710,-0.50710,-0.95150,-0.95150,2.15600,2.15600,-0.05000,-0.05000,0.10130,,-0.31040,12.10730,12.10740,-0.88750,12.10730,-1.62600,-0.40200,-0.40200
2022-12-31,,-2.45220,-5.84570,-1.75470,-2.21200,,-2.22000,-2.22000,-2.22000,-5.84570,-0.45730,6.37800,6.37800,-0.34000,-0.34000,0.13020,0.02750,0.44180,-16.91600,-19.68480,-8.66240,-16.45080,1312.35500,0.6495,0.5753
2022-09-30,,-0.27370,-0.27370,0.41630,0.14270,,0.14270,0.14270,0.14270,-0.27370,-0.27370,2.15600,2.15600,0.01000,0.01000,1.66340,,,-6.10930,-6.10930,0.16120,-6.10930,-0.90650,-0.6963,-0.6802
2022-06-30,,-0.22490,-0.22490,0.07130,-0.15360,,-0.15360,-0.15360,-0.15360,-0.22490,-0.22490,2.15630,2.15630,-0.01000,-0.01000,3.69120,,,6.97990,6.97990,-0.17400,6.97990,-0.85440,0.5844,0.5683
2022-03-31,,-0.19990,-0.19990,0.03900,-0.16090,,-0.16090,-0.16090,-0.16090,-0.19990,-0.19990,2.00600,2.00600,-0.03000,-0.03000,8.67640,,,7.85670,7.85670,-0.18200,7.85670,-0.79480,-0.22870,-0.22870
2021-12-31,0.01680,,-0.01680,,-0.01680,0.00000,-0.01680,-0.01680,-0.01680,-0.01680,-0.01680,,,,0.00000,1.04720,,21.18060,-204.32980,-204.32990,-9.21210,-204.32980,0.00380,0.0081,0.0081
2021-09-30,,0.00000,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,1.87500,1.87500,0.00000,0.00000,,,,,,,,,0,0
2021-06-30,,-0.00010,-0.00010,,-0.00010,,-0.00010,-0.00010,-0.00010,-0.00010,-0.00010,1.87500,1.87500,0.00000,0.00000,,,,,,,,,-0.0081,-0.0081
2021-03-31,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,0.00000,
