Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.02900,0.01300,0.01600,3.50200,5.37600,8.87800,-8.86200,0.94300,-7.91900,-7.91900,-7.91900,-7.91900,-8.66100,-8.86200,33.52270,33.52270,-0.24000,-0.24000,2.11340,0.00010,0.00560,55.17240,-30558.63000,-30558.63000,-27306.90000,-27306.90000,0.00040,0.36710,245.17240,-14.49010,-14.49010,-10.02390,-14.48930,1.61960,-0.2081,-0.209
2024-06-30,0.02400,0.02000,0.00400,4.40600,4.85100,9.25700,-9.25300,0.95000,-8.30300,-8.30300,-8.30300,-8.30300,-9.04500,-9.25300,32.93300,32.93300,-0.25000,-0.25000,2.08200,0.00040,0.00700,16.66670,-38554.17000,-38554.17000,-34595.84000,-34595.84000,0.00030,0.23760,378.75000,-13.89550,-13.89550,-9.78420,-13.89020,1.79150,-0.1834,-0.1835
2024-03-31,,0.01700,-0.01700,3.68300,5.39700,9.08000,-9.09700,1.00000,-8.09700,-8.09700,-8.09700,-8.09700,-8.88400,-9.09700,32.22000,32.22000,-0.25000,-0.25000,2.19170,0.00120,0.00820,,,,,,,,,-12.50500,-12.50500,-9.00810,-12.48940,1.98810,0.15500,0.15450
2023-12-31,0.04100,0.02400,0.01700,3.89500,4.97000,8.86500,-8.84800,0.92300,-7.92500,-7.92500,-7.92500,-7.92500,-8.63600,-8.84800,31.20100,31.20100,-0.25000,-0.25000,2.50970,0.00280,0.00910,41.46340,-21580.50000,-21580.50000,-19329.27000,-19329.27000,0.00040,0.00360,25178.05000,-11.29590,-11.29590,-8.30360,-11.26450,2.21290,-0.2186,-0.2191
2023-09-30,0.04200,0.04400,-0.00200,3.53900,4.64300,8.18200,-8.18400,0.97400,-7.21000,-7.21000,-7.21000,-7.21000,-7.96800,-8.18400,31.28620,31.28620,-0.23000,-0.23000,3.51020,0.00410,0.00990,-4.76190,-19485.71000,-19485.71000,-17166.67000,-17166.67000,0.00050,0.27100,332.14290,-9.56090,-9.56090,-8.00600,-9.52190,2.40650,-0.24,-0.2395
2023-06-30,0.12300,0.08000,0.04300,3.68800,7.81500,11.50300,-11.46000,0.91800,-10.54200,-10.54200,-10.54200,-10.54200,-11.22500,-11.46000,31.07700,31.07700,-0.34000,-0.34000,4.54260,0.00520,0.01070,34.95940,-9317.07200,-9317.07200,-8570.73100,-8570.73100,0.00130,0.75460,119.26830,-12.99280,-12.99280,-10.90400,-12.92560,2.60070,-0.2554,-0.2483
2023-03-31,0.10000,0.06200,0.03800,4.10300,7.26400,11.36700,-11.32900,0.76400,-10.56500,-10.56500,-10.56500,-10.56500,-11.09200,-11.32900,31.01900,31.01900,-0.34000,-0.34000,5.22540,0.00570,0.01080,38.00000,-11329.00000,-11329.00000,-10565.00000,-10565.00000,0.00090,0.83330,108.00000,-11.71160,-11.71160,-10.00380,-11.64460,2.90830,-0.15740,-0.15860
2022-12-31,0.06500,0.05900,0.00600,3.48500,6.93900,10.42400,-10.41800,0.67200,-9.74600,-9.74600,-9.74600,-9.74600,-10.21500,-10.41800,30.94300,30.94300,-0.31000,-0.31000,5.80030,0.00630,0.01100,9.23080,-16027.70000,-16027.69000,-14993.84000,-14993.84000,0.00060,0.01060,8464.15200,-9.85010,-9.85010,-8.37800,-9.78820,3.18990,-0.2357,-0.242
2022-09-30,0.08700,0.05800,0.02900,4.17600,7.04100,11.21700,-11.18800,0.47600,-10.71200,-10.71200,-10.71200,-10.71200,-10.98500,-11.18800,31.00600,31.00600,-0.35000,-0.35000,10.48100,0.00680,0.01130,33.33330,-12859.77000,-12859.77000,-12312.64000,-12312.64000,0.00070,0.81310,110.68970,-9.99640,-9.99640,-9.19000,-9.92830,3.45480,-0.2819,-0.2939
2022-06-30,0.07800,0.05600,0.02200,3.26100,8.50700,11.76800,-11.74600,0.22600,-11.52000,-11.52000,-11.52000,-11.52000,-11.56100,-11.74600,30.94600,30.94600,-0.37000,-0.37000,14.79520,0.00720,0.01120,28.20510,-15058.97000,-15058.97000,-14769.23000,-14769.23000,0.00060,0.60940,147.69230,-9.85420,-9.85420,-9.21190,-9.78320,3.77210,-0.2906,-0.2973
