Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,2.06000,1.24000,,,-3.30000,0.08500,-3.21500,-3.21500,-3.21500,,-3.21500,-3.27700,-3.30000,16.47100,16.47100,-0.20000,-0.20000,3.64330,,,,,,,,,,,-84.42760,-84.42750,-61.73200,-84.42750,0.22870,-0.1384,-0.1383
2024-06-30,,,,1.41700,1.09400,,,-2.51100,0.04600,-2.46500,-2.46500,-2.46500,,-2.46500,-2.49700,-2.51100,14.84700,14.84700,-0.17000,-0.17000,5.32290,,,,,,,,,,,-40.71010,-40.71020,-33.15850,-40.71020,0.37920,-0.1226,-0.1228
2024-03-31,,,,1.16900,1.21500,,,-2.38400,0.01300,-2.37100,-2.37100,-2.37100,,-2.37100,-2.35600,-2.38400,14.05600,14.05600,-0.17000,-0.17000,5.91720,,,,,,,,,,,-38.44660,-38.44660,-32.18410,-38.44660,0.42830,-0.17220,-0.17320
2023-12-31,,,,1.13000,0.93800,,,-2.06800,-1.08600,-3.15400,-3.15400,-3.15400,,-3.15400,-2.03300,-2.06800,10.20000,10.20000,-0.23000,-0.23000,2.09220,,,,,,,,,,,-70.07330,-70.07330,-37.87680,-70.07330,0.38450,-0.2633,-0.2634
2023-09-30,,,,1.61200,0.93200,,,-2.54400,0.09800,-2.44600,-2.44600,-2.44600,,-2.44600,-2.52400,-2.54400,11.70700,11.70700,-0.21000,-0.21000,5.63850,,,,,,,,,,,-33.24280,-33.24270,-27.52030,-33.24270,0.62850,-0.0236,-0.0256
2023-06-30,,,,1.36500,0.95900,,,-2.32400,0.03700,-2.28700,-2.28700,-2.28700,,-2.28700,-2.29800,-2.32400,9.19900,9.19900,-0.25000,-0.25000,7.80890,,,,,,,,,,,-24.15510,-24.15510,-21.01250,-24.15510,0.80870,-0.15,-0.1511
2023-03-31,,,,1.61700,1.30200,,,-2.91900,0.06600,-2.85300,-2.85300,-2.85300,,-2.85300,-2.89400,-2.91900,8.01300,8.01300,-0.36000,-0.36000,4.52640,,,,,,,,,,,-58.84900,-58.84900,-45.95680,-58.84900,0.59620,-0.39970,-0.39970
2022-12-31,,,,1.88400,1.18400,,,-3.06800,0.07000,-2.99800,-2.99800,-2.99800,,-2.99800,-3.03500,-3.06800,7.26000,7.26000,-0.38000,-0.38000,4.26000,,,,,,,,,,,-41.13050,-41.13050,-31.43550,-41.13050,0.92370,-0.3125,-0.3123
2022-09-30,,,,1.95300,1.52100,,,-3.47400,0.00600,-3.46800,-3.46800,-3.46800,,-3.46800,-3.44900,-3.47400,7.10800,7.10800,-0.49000,-0.49000,4.00180,,,,,,,,,,,-62.67850,-62.67850,-46.80790,-62.67850,0.77840,-0.4158,-0.4165
2022-06-30,,,,2.19300,1.37000,,,-3.56300,0.05000,-3.51300,-3.51300,-3.51300,,-3.51300,-3.54000,-3.56300,7.10800,7.10800,-0.49000,-0.49000,5.59690,,,,,,,,,,,-41.13580,-41.13580,-33.32390,-41.13580,1.20150,-0.4395,-0.4482
