Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-12.64600,-12.64600,23.66300,27.89800,-10.43000,-5.65500,-16.08500,-11.70100,-4.38400,-4.38400,182.92800,117.91000,-2.57200,-10.43000,23.41900,23.41900,5.03000,5.04000,0.93120,,0.05090,100.00000,82.47660,82.47660,127.19440,-932.39000,-0.01730,-0.22590,-398.45970,-0.85070,-6.10030,-0.60000,-0.85070,15.19610,0.6468,0.5057
2024-06-30,56.03700,56.03700,45.03300,-4.70400,-0.66900,-7.90600,-8.57500,5.27100,-13.84600,-13.84600,5.54800,-7.54500,9.60900,-0.66900,23.42100,23.42100,-0.32000,-0.32000,2.98230,0.50140,1.08150,100.00000,-1.19390,-1.19390,-15.30240,-13.46430,0.06500,1.15170,78.14390,-4.00270,17.90830,-1.60680,-1.99570,10.33320,0.36,0.1849
2024-03-31,94.54200,94.54200,54.16200,-20.89000,9.42100,-5.49300,3.92800,0.58000,3.34800,3.34800,,1.87800,19.75200,9.42100,23.33100,23.71800,0.08000,0.08000,0.80610,0.49800,1.06790,100.00000,9.96490,9.96490,4.15480,1.98640,0.10920,1.42090,63.34230,0.96740,-1.17140,0.38680,0.48560,10.34060,0.6745,0.4724
2023-12-31,91.99000,91.99000,53.53200,-20.18700,8.53200,-6.81400,1.71800,0.18200,1.53600,1.53600,,1.09800,18.68500,8.53200,23.26700,33.82800,0.05000,0.04000,0.49920,0.46050,1.12270,100.00000,9.27490,9.27490,1.86760,1.19360,0.10490,1.34830,66.75010,0.45560,-0.51390,0.17520,0.24580,10.10300,0.38580,0.29170
2023-09-30,-10.43900,-10.43900,24.47900,26.72600,-10.27400,-5.78500,-16.05900,-3.31500,-12.74400,-12.74400,16.19300,4.54800,-0.46000,-10.27400,23.13800,23.13800,0.19000,0.19000,0.91530,0.54170,1.18190,100.00000,98.41950,98.41950,153.83660,-43.56740,-0.01180,-0.20560,-437.84390,-3.88190,12.39260,-1.44090,-1.77910,9.84510,0.4688,0.2798
2023-06-30,57.26000,57.26000,45.04500,-10.12700,-4.57700,-6.63300,-11.21000,-0.29200,-10.91800,-10.91800,4.84000,-5.15500,5.16400,-4.57700,23.18000,23.18000,-0.22000,-0.22000,0.99680,0.55450,1.24490,100.00000,-7.99340,-7.99340,-19.57740,-9.00280,0.06540,0.94210,95.53420,-3.48880,3.40460,-1.24660,-1.55410,9.39740,0.3823,0.0884
2023-03-31,93.87200,93.87200,57.20400,-22.20900,5.44400,-6.19900,-0.75500,-0.56300,-0.19200,-0.19200,,0.03600,14.82700,5.44400,23.13600,34.26900,0.00000,0.00000,0.82670,0.55280,1.23620,100.00000,5.79940,5.79940,-0.80430,0.03840,0.10630,1.64840,54.59710,-0.06160,0.05870,-0.02170,-0.02750,9.37040,-0.0351,-0.0791
2022-12-31,86.02900,86.02900,51.00300,-20.51200,5.83800,-5.28700,0.55100,0.38200,0.16900,0.16900,,-0.24000,14.87500,5.83800,22.99900,22.99900,-0.01000,-0.01000,0.80500,0.55420,1.24300,100.00000,6.78610,6.78610,0.64050,-0.27900,0.09890,1.63390,55.08340,0.05570,-0.05240,0.01940,0.02480,9.15990,0.79040,0.60960
2022-09-30,-44.86000,-44.86000,13.78800,50.18300,-13.47800,-5.46800,-18.94600,1.30600,-20.25200,-20.25200,,-3.47300,-4.39400,-13.47800,22.25000,22.25000,-0.16000,-0.16000,0.75330,0.48260,0.93280,100.00000,30.04460,30.04460,42.23360,7.74190,-0.05820,-0.84110,-107.00090,-6.58200,8.37310,-2.62910,-3.40540,9.30020,0.3545,0.1822
2022-06-30,80.55300,80.55300,47.77500,-35.50900,-2.73100,-3.76700,-6.49800,-1.81000,-4.68800,-4.68800,,-3.72800,6.23400,-2.73100,22.23000,22.23000,-0.17000,-0.17000,0.69270,0.51460,1.06000,100.00000,-3.39030,-3.39030,-8.06670,-4.62800,0.10320,1.84530,48.77250,-1.61380,1.77680,-0.60070,-0.78340,8.97380,0.1983,0.0505
