Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,54.14620,13.40020,40.74590,3.40850,,10.08840,30.65760,-3.02450,27.63310,27.63310,,27.63310,,27.63310,36.22350,30.65760,6.95400,6.99200,3.97000,3.95000,1.65110,0.34440,0.63490,75.25180,56.62010,56.62010,51.03430,51.03430,0.09320,4.28570,10.45310,8.60990,8.04680,8.04680,4.75730,5.27520,48.95990,4.774,4.5599
2024-06-30,58.72460,12.46800,46.25660,2.78940,5.69080,3.91930,42.33730,-1.58880,40.74860,40.74860,,40.74860,,40.74860,48.04410,42.33730,6.92300,6.97900,5.89000,5.84000,1.46460,0.34380,0.64480,78.76880,72.09470,72.09470,69.38930,69.38930,0.10730,4.51700,11.52570,7.80860,12.74910,12.74910,7.44220,8.36580,45.56890,4.8956,9.9909
2024-03-31,46.71840,18.05310,28.66530,2.83410,,8.27530,20.38990,-0.38780,20.00220,20.00220,,20.00220,,20.00220,24.73180,20.38990,6.92300,6.96900,2.89000,2.87000,0.96040,0.27790,0.52130,61.35770,43.64440,43.64440,42.81440,42.81440,0.10030,5.90040,8.24410,10.91690,7.07480,7.07480,4.29280,5.10900,40.30860,3.61510,-0.46490
2023-12-31,49.05890,13.41660,35.64230,3.03940,1.08130,7.95250,27.68980,-2.97060,24.71930,24.71930,,24.71930,,24.71930,32.53170,27.68980,6.93000,6.93600,3.58000,3.62000,1.28880,0.27110,0.48770,72.65210,56.44190,56.44190,50.38690,50.38690,0.11550,5.28560,11.37190,7.91430,9.27290,9.27290,5.82080,6.75880,38.00620,5.6221,5.639
2023-09-30,50.66620,11.48160,39.18460,2.36610,2.36790,5.94810,33.23650,-1.03680,32.19970,32.19970,,32.19980,,32.19980,36.89300,33.23650,6.90000,6.93100,4.67000,4.65000,1.34400,0.30630,0.56000,77.33880,65.59890,65.59890,63.55270,63.55270,0.12390,4.17930,4.98560,18.05210,13.13730,13.13730,7.87450,9.11340,35.24600,4.5248,4.4222
2023-06-30,47.69560,10.92470,36.77090,2.47900,0.13950,7.95610,28.81480,0.06080,28.87570,28.87570,,28.87570,,28.87570,30.68920,28.81480,6.92000,6.95600,4.17000,4.15000,0.72440,0.28490,0.60690,77.09500,60.41410,60.41410,60.54160,60.54160,0.12100,4.24680,5.43680,16.55390,13.29550,13.29550,7.32650,9.50710,31.04400,5.0681,5.0971
2023-03-31,41.93660,10.83930,31.09730,2.58120,6.44840,1.40750,29.68990,-0.93520,28.75460,28.75460,,28.75460,,28.75460,31.25920,29.68990,6.99800,7.01400,4.11000,4.10000,0.65670,0.26620,0.62630,74.15310,70.79700,70.79700,68.56680,68.56680,0.11620,4.27310,3.80370,23.66120,14.99170,14.99170,7.96410,11.00040,27.34970,3.52880,4.92390
2022-12-31,42.88590,15.09060,27.79530,2.94770,1.96000,6.33530,21.46000,-1.12440,20.33560,20.33560,,20.33560,,20.33560,23.01800,21.46010,7.18200,7.19000,2.88000,2.91000,0.63600,0.23550,0.63770,64.81230,50.03990,50.03990,47.41800,47.41800,0.13050,6.54350,7.04400,12.77680,12.09340,12.09340,6.18870,9.24480,23.63060,2.6446,-2.2367
2022-09-30,45.95520,13.67570,32.27950,2.23690,,7.58390,24.69560,0.52760,25.22320,25.22320,,25.22320,,25.22320,26.24430,24.69560,7.19940,7.21120,3.50000,3.50000,0.62210,0.32890,0.74950,70.24130,53.73840,53.73840,54.88640,54.88640,0.14290,5.69200,34.56370,2.60390,16.45920,16.45920,7.84070,11.04640,21.39710,4.3992,4.3166
2022-06-30,48.47960,10.34370,38.13600,2.15130,,6.25780,31.87810,-1.12830,30.74980,30.74980,,30.74980,,30.74980,34.22260,31.87810,7.22400,7.25800,4.26000,4.24000,0.22780,0.32600,0.77950,78.66390,65.75570,65.75570,63.42840,63.42840,0.16800,4.26480,32.47000,2.77180,22.95100,22.95100,10.65740,15.46940,18.40390,4.6572,4.6329
