Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1061.80400,414.18000,647.62400,394.46700,402.95790,244.66600,244.66600,51.68100,192.98500,192.98500,,186.79900,169.56900,169.89400,1.10000,1.10000,0.09010,0.44810,41.21570,31.46760,0.00750,2.16490,3.22390,0.24290,1.90900,53.65550,0.2674,0.2119
2024-06-30,1018.58400,403.98900,614.59500,376.30500,385.02100,229.57400,229.57400,47.94100,181.63300,181.63300,,177.47100,169.67500,169.93700,1.03000,1.03000,0.09390,0.44980,41.32040,31.94250,0.00720,2.13050,3.26260,0.23640,1.86830,51.39540,1.3245,1.2912
2024-03-31,1051.20300,384.11100,667.09200,372.22900,381.42300,285.66900,285.66900,69.34600,216.32300,216.32300,,210.05900,170.44500,170.70400,1.23000,1.23000,0.09470,0.56430,45.95760,33.79370,0.00820,2.55590,3.93560,0.28400,2.23890,50.72070,1.42750,1.40400
2023-12-31,996.96180,362.12600,634.83580,404.60310,413.22100,221.61470,221.61500,36.22200,185.39300,185.39300,,185.22100,171.77500,171.88300,1.06000,1.07000,0.10770,0.44500,37.00770,30.93020,0.00800,2.20550,3.16620,0.24740,1.90370,50.51680,0.4948,0.4745
2023-09-30,1021.17100,343.65300,677.51800,390.17900,399.07800,278.44010,278.44000,51.96500,226.47500,226.47500,,220.16700,171.21000,171.35000,1.29000,1.28000,0.11360,0.36810,43.43720,34.34650,0.00880,2.86130,4.22840,0.30970,2.44840,47.65430,2.5157,2.4554
2023-06-30,1022.77000,349.56700,673.20300,366.39400,375.58700,297.61600,297.61600,62.64800,234.96800,234.96800,,230.80600,172.73900,172.80300,1.32000,1.32000,0.11280,0.67710,46.37890,35.96760,0.00870,2.93870,4.32910,0.31740,2.51790,47.78760,1.4437,1.3894
2023-03-31,901.69400,235.64500,666.04900,369.71900,379.21600,286.83300,286.83300,65.82900,221.00400,221.00400,,214.99600,172.76600,172.88300,1.24000,1.24000,0.11440,1.19820,46.31570,34.71600,0.00830,2.75900,4.06780,0.29530,2.35970,47.47410,1.23950,1.18000
2022-12-31,845.77200,141.21800,704.55400,383.15000,391.39000,313.16390,313.16400,68.41300,244.75100,244.75100,,240.58800,167.45200,167.54700,1.55000,1.55000,0.11750,0.95400,47.33760,36.36710,0.00930,3.14910,4.58100,0.34340,2.68090,46.29780,1.8759,1.8107
2022-09-30,731.20500,66.56600,664.63900,358.09100,366.60200,298.03700,298.03700,64.06900,233.96800,233.96800,,229.80600,173.86800,173.94400,1.31000,1.31000,0.12080,0.74760,47.45000,36.58700,0.00910,3.10200,4.58280,0.33880,2.62850,44.94940,2.466,2.4175
2022-06-30,634.68000,27.08700,607.59300,361.66800,370.47000,237.12300,237.12300,54.81200,182.31100,182.31100,,178.14800,175.84500,175.89500,1.00000,1.00000,0.11860,0.66660,39.82920,29.92320,0.00880,2.36340,3.46060,0.26970,2.00910,45.43140,2.1713,2.1466
2022-03-31,513.86300,15.58000,498.28310,542.24300,548.63000,-50.34690,-50.34700,-33.60000,-16.74700,-16.74700,,-20.17800,147.39400,147.39400,-0.14000,-0.14000,0.11650,0.19660,-16.27050,-6.52090,0.00480,-0.21220,-0.30790,-0.02570,-0.18090,45.91270,1.46040,1.42890
2021-12-31,326.15800,9.23800,316.92000,173.73500,174.85300,142.06700,142.06700,31.02900,111.03800,111.03800,,109.06900,89.98300,90.20600,1.20000,1.21000,0.14070,0.36320,42.80160,32.86000,0.00950,3.37160,3.85270,0.31800,2.77510,37.95730,2.4894,2.4334
2021-09-30,323.46700,10.00100,313.46600,186.86300,187.98700,125.47900,125.47900,29.76600,95.71300,95.71300,,93.74500,90.03800,90.23200,1.03000,1.03000,0.14280,0.39380,41.04430,30.66410,0.00860,2.95310,3.38350,0.27060,2.42290,37.38010,1.6724,1.6355
2021-06-30,304.26000,10.70600,293.55400,164.39600,165.52800,128.02600,128.02600,33.99100,94.03500,94.03500,,92.06600,90.02700,90.22100,1.02000,1.01000,0.14510,0.36370,40.63620,29.22230,0.00930,2.95270,3.39330,0.27860,2.41420,36.75420,0.9323,0.9151
2021-03-31,312.33100,11.81000,300.52100,161.09300,162.23200,138.28900,138.28900,30.21100,108.07800,108.07800,,106.10900,89.80900,90.10800,1.18000,1.17000,0.14750,0.36770,42.38470,32.52170,0.00980,3.45530,3.98330,0.32500,2.81500,36.20100,2.53950,2.50140
2020-12-31,312.82800,19.13600,293.69200,217.38300,218.53000,75.16210,75.16200,15.11800,60.04400,60.04400,,59.10600,89.96700,90.15100,0.63000,0.64000,0.14930,0.52440,25.50530,20.05690,0.00900,1.94340,2.24560,0.18420,1.57920,35.86100,2.4216,2.3442
2020-09-30,314.29900,19.98300,294.31600,205.65700,206.74600,87.57000,87.57000,18.28900,69.28100,69.28100,,66.89000,89.63000,89.73800,0.75000,0.75000,0.15010,0.71560,32.24630,24.63120,0.00820,2.25330,2.60670,0.21000,1.82870,35.69340,1.3432,1.2294
