Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,36.36600,18.51600,17.85000,20.39200,20.81400,-2.96400,0.11800,-2.84600,-0.00400,-2.84200,-2.84200,-2.52700,-2.63500,-2.96400,59.49000,59.49000,-0.04000,-0.04000,2.84820,49.08430,-8.15050,-8.15050,-7.82600,-6.94880,0.49910,0.89490,3.63370,24.76820,-5.83390,-6.25450,-3.90070,-5.83390,0.66770,0.0661,0.0637
2024-06-30,40.42600,23.48400,16.94200,22.74300,24.01100,-7.06900,0.14200,-6.92700,0.03400,-6.96100,-6.96100,-5.89100,-6.64700,-7.06900,58.65300,58.65300,-0.10000,-0.10000,3.09030,41.90870,-17.48630,-17.48630,-17.13500,-14.57230,0.55550,1.05530,3.56140,25.27060,-13.77790,-14.76040,-9.56520,-13.77790,0.69550,0.0075,0.0065
2024-03-31,38.79900,21.08000,17.71900,24.67400,25.00200,-7.28300,0.09700,-7.18600,0.01300,-7.19900,-7.19900,-5.82400,-6.93600,-7.28300,55.89000,55.89000,-0.10000,-0.10000,2.78350,45.66870,-18.77110,-18.77110,-18.52110,-15.01070,0.45610,0.68840,2.76190,32.58640,-12.84230,-13.68060,-8.46310,-12.84230,0.77590,-0.05730,-0.05790
2023-12-31,37.79400,22.40500,15.38900,23.90300,24.28400,-8.89500,-0.23500,-9.13000,0.02300,-9.15300,-9.15300,-7.25500,-8.49500,-8.89500,50.61900,50.61900,-0.14000,-0.13000,2.98330,40.71810,-23.53550,-23.53550,-24.15730,-19.19620,0.41600,0.64850,3.39900,26.47800,-14.81860,-15.71490,-10.07410,-14.81860,0.86380,-0.131,-0.1306
2023-09-30,43.08900,23.51700,19.57200,30.58100,30.99200,-11.42000,0.16500,-11.25500,-0.00500,-11.25000,-11.25000,-8.21700,-10.99000,-11.42000,50.75400,50.75400,-0.16000,-0.16000,2.35230,45.42230,-26.50330,-26.50330,-26.12040,-19.06980,0.37030,0.47610,2.63190,34.19620,-16.24480,-17.22190,-9.66870,-16.24480,0.97160,-0.2119,-0.1672
2023-06-30,42.24100,22.54900,19.69200,24.66500,25.06900,-5.37700,0.40300,-4.97400,0.03500,-5.00900,-5.00900,-3.93100,-4.95400,-5.37700,50.09400,50.09400,-0.08000,-0.08000,2.99830,46.61820,-12.72930,-12.72930,-11.77530,-9.30610,0.36560,0.59980,2.49400,36.08650,-6.37070,-6.71950,-4.33520,-6.37070,1.10690,-0.1087,-0.1259
2023-03-31,43.30000,23.19500,20.10500,22.93700,23.35600,-3.25100,0.34000,-2.91100,-0.00100,-2.91000,-2.91000,-2.09100,-2.81300,-3.25100,49.37300,72.25000,-0.03000,-0.04000,3.43240,46.43190,-7.50810,-7.50810,-6.72290,-4.82910,0.38240,0.80120,3.02460,29.75610,-3.58030,-3.77650,-2.57020,-3.58030,1.15150,0.13010,0.11810
2022-12-31,35.36600,19.71300,15.65300,21.66000,22.00200,-6.34900,0.22200,-6.12700,0.04300,-6.17000,-6.17000,-4.38500,-5.98800,-6.34900,43.46900,43.46900,-0.10000,-0.10000,5.17080,44.26000,-17.95220,-17.95230,-17.32460,-12.39890,0.35750,0.71490,3.19270,28.18890,-7.54410,-7.97150,-6.23660,-7.54410,1.17550,-0.0569,-0.069
2022-09-30,44.23900,25.07100,19.16800,28.06300,28.38900,-9.22100,0.02600,-9.19500,0.00100,-9.19600,-9.19600,-7.48400,-8.87500,-9.22100,45.93900,45.93900,-0.16000,-0.16000,3.64990,43.32830,-20.84360,-20.84360,-20.78480,-16.91720,0.39020,0.67250,3.26780,27.54180,-10.83780,-11.31630,-8.11150,-10.83780,1.23320,0.0439,0.0334
2022-06-30,45.54200,26.22100,19.32100,33.73600,34.06400,-14.74300,-0.04400,-14.78700,0.00900,-14.79600,-14.79600,-11.09000,-14.39000,-14.74300,42.05200,42.05200,-0.27000,-0.27000,4.08270,42.42460,-32.37230,-32.37230,-32.46890,-24.35120,0.40400,0.77290,2.66090,33.82260,-16.96810,-17.70680,-13.12420,-16.96810,1.28290,-0.1679,-0.1902
2022-03-31,38.03400,22.15500,15.87900,33.08300,33.43400,-17.55500,0.08200,-17.47300,0.01200,-17.48500,-17.48500,-10.89800,-17.20400,-17.55500,38.37200,38.37200,-0.28000,-0.28000,4.83970,41.74950,-46.15610,-46.15610,-45.94050,-28.65330,0.32650,0.68340,2.83350,31.76290,-18.62860,-19.39050,-15.01120,-18.62860,1.40240,-0.29710,-0.31180
2021-12-31,34.17000,18.42400,15.74600,52.92600,53.21000,-37.46400,0.04400,-37.42000,-0.01600,-37.40400,-37.40400,-20.16300,-37.18000,-37.46400,34.45000,34.45000,-0.58000,-0.58000,5.72990,46.08140,-109.64000,-109.64000,-109.51130,-59.00790,0.27340,0.58490,3.77690,23.82880,-35.77310,-37.28250,-29.92490,-35.77310,1.61920,-0.1367,-0.1609
2021-09-30,38.95600,21.18900,17.76700,67.02600,67.26500,-49.49800,-0.21300,-49.71100,0.05000,-49.76100,-49.76100,-25.82300,-49.18200,-49.49800,34.44100,34.44100,-0.75000,-0.75000,6.23570,45.60790,-127.06130,-127.06130,-127.60810,-66.28760,0.29930,0.85000,2.68530,33.51550,-45.08480,-46.68710,-38.23590,-45.08480,1.70940,-0.3802,-0.4472
2021-06-30,34.35200,18.11200,16.24000,16.71700,16.94700,-0.70700,-0.04200,-0.74900,,-0.74900,-0.74900,,-0.46000,-0.70700,,,,0.00000,2.35440,47.27530,-2.05810,-2.05810,-2.18040,,0.66840,0.80340,3.64790,24.67190,0.37470,-2.60800,-1.45750,-2.30060,13.14900,0,0
2021-03-31,30.69400,16.50600,14.18800,13.70100,13.94500,0.24300,0.00400,0.24700,,0.24700,0.24700,,0.48700,0.24300,,,,0.00000,,46.22400,0.79170,0.79170,0.80470,,,,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-09-30,32.03500,17.10900,14.92600,11.93600,12.19200,2.73400,-0.27600,2.45800,,2.45800,2.45800,2.45800,3.00300,2.73400,,,,0.00000,,46.59280,8.53440,8.53440,7.67290,7.67290,,,,,,,,,,0.0879,0.1038
2020-06-30,27.67700,13.84200,13.83500,10.36000,10.61000,3.22500,-0.11800,3.10700,,3.10700,3.10700,0.46000,3.22500,3.22500,4.55000,30.74800,0.10000,0.10000,,49.98740,11.65230,11.65230,11.22590,1.66200,,,,,,,,,,-0.0879,-0.1038
