Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,44.71300,16.33300,-10.72800,-71.77400,5.48100,-66.29300,,-66.29300,-66.29300,-66.29300,-70.26600,-71.77400,209.18860,209.18860,-0.32000,-0.32000,9.34620,,,,,,,,-14.29510,-14.29510,-11.25290,-14.29510,2.21360,-0.1533,-0.1554
2024-06-30,,,50.35500,16.08700,-4.98900,-71.43100,5.07300,-66.35800,,-66.35800,-66.35800,-66.35800,-69.98800,-71.43100,190.02660,190.02660,-0.35000,-0.35000,12.25370,,,,,,,,-12.88410,-12.88410,-10.25810,-12.88410,2.46370,-0.2983,-0.2982
2024-03-31,0.02200,0.02200,52.25900,17.26700,,-69.50400,4.50400,-65.00000,,-65.00000,-65.00000,-65.00000,-68.74600,-69.50400,169.12840,169.12840,-0.38000,-0.38000,12.79740,,100.00000,-315927.30000,-315927.30000,-295454.50000,-295454.50000,0.00000,-14.08860,-14.08860,-11.08550,-14.08860,2.70670,-0.33050,-0.33060
2023-12-31,0.02100,0.02100,54.66100,17.22400,,-85.10900,-0.66900,-85.77800,,-85.77800,-85.77800,-85.77800,-84.93100,-85.10900,156.93180,156.93180,-0.49000,-0.49000,12.38210,,100.00000,-405280.90000,-405281.00000,-408466.80000,-408466.80000,0.00000,-16.74590,-16.74590,-13.34370,-16.74590,3.03740,-0.4172,-0.4189
2023-09-30,0.02200,0.02200,45.97700,17.04100,,-62.99600,0.70900,-62.28700,,-62.28700,-62.28700,-62.28700,-62.36800,-62.99600,167.64900,167.64900,-0.37000,-0.37000,12.57980,,100.00000,-286345.50000,-286345.50000,-283122.70000,-283122.70000,0.00000,-10.68200,-10.68200,-8.74420,-10.68200,3.46720,-0.2224,-0.2212
2023-06-30,0.02200,0.02200,62.03800,18.52400,,-80.54000,1.30800,-79.23200,,-79.23200,-79.23200,-79.23200,-77.97100,-80.54000,146.79580,146.79580,-0.54000,-0.54000,9.17570,,100.00000,-366090.90000,-366090.90000,-360145.50000,-360145.50000,0.00000,-12.71970,-12.71970,-10.27690,-12.71970,3.72700,-0.4143,-0.4163
2023-03-31,0.03000,0.03000,80.23800,18.88400,,-99.09200,-0.87600,-99.96800,,-99.96800,-99.96800,-99.96800,-95.07700,-99.09200,144.56380,144.56380,-0.69000,-0.69000,8.08030,,100.00000,-330306.70000,-330306.70000,-333226.70000,-333226.70000,0.00000,-16.87900,-16.87900,-13.38490,-16.87900,4.06380,-0.46100,-0.46810
2022-12-31,-0.04000,-0.04000,75.41900,21.00200,,-96.46100,-6.16800,-102.62900,,-102.62900,-102.62900,-102.62900,-93.23700,-96.46100,143.14720,143.14720,-0.72000,-0.72000,9.84260,,100.00000,241152.50000,241152.50000,256572.50000,256572.50000,0.00000,-15.38940,-15.38940,-12.49170,-15.38940,4.61710,-0.4377,-0.4497
2022-09-30,0.04900,0.04900,63.64100,18.89700,,-82.48900,-0.65900,-83.14800,,-83.14800,-83.14800,-83.14800,-78.13400,-82.48900,143.66170,143.66170,-0.58000,-0.58000,11.64390,,100.00000,-168344.90000,-168344.90000,-169689.80000,-169689.80000,0.00010,-11.23680,-11.23680,-9.36800,-11.23680,5.13750,-0.3303,-0.3317
2022-06-30,0.08600,0.08600,57.17100,19.50900,,-76.59400,1.80700,-74.78700,,-74.78700,-74.78700,-74.78700,-72.01100,-76.59400,143.38500,143.38500,-0.52000,-0.52000,11.42370,,100.00000,-89062.79000,-89062.79000,-86961.63000,-86961.63000,0.00010,-9.32570,-9.32570,-7.89190,-9.32570,5.57980,-0.2898,-0.2992
