Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.06100,0.06100,60.15600,19.89700,,-79.99200,0.14200,-79.85000,,-79.85000,-79.85000,-79.85000,-74.96800,-79.99200,141.35630,141.35630,-0.56000,-0.56000,12.73810,,100.00000,-131134.40000,-131134.40000,-130901.60000,-130901.60000,0.00010,-9.33670,-9.33670,-8.27780,-9.33670,5.95690,-0.48270,-0.49620
2021-12-31,75.65100,75.65100,53.98300,19.96000,,1.70800,-1.62200,0.08600,,0.08600,0.08600,0.08600,7.54400,1.70800,135.82040,135.82040,0.01000,0.01000,9.83830,,100.00000,2.25770,2.25770,0.11370,0.11370,0.07200,0.00930,0.00930,0.00820,0.00930,6.48700,-0.3435,-0.3503
2021-09-30,0.04900,0.04900,58.72000,18.99900,,-77.67000,-0.51600,-78.18600,,-78.18600,-78.18600,-78.18600,-73.72500,-77.67000,137.02570,137.02570,-0.57000,-0.57000,9.40100,,100.00000,-158510.20000,-158510.20000,-159563.30000,-159563.30000,0.00000,-8.06090,-8.06090,-7.24450,-8.06090,6.80950,-0.346,-0.3683
2021-06-30,0.04400,0.04400,52.29000,18.78300,,-71.02900,0.09300,-70.93600,,-70.93600,-70.93600,-70.93600,-67.23000,-71.02900,134.82680,134.82680,-0.53000,-0.53000,13.09120,,100.00000,-161429.50000,-161429.50000,-161218.20000,-161218.20000,0.00000,-6.92860,-6.92860,-6.29580,-6.92860,7.20380,-0.298,-0.3779
2021-03-31,38.34500,38.34500,55.18300,16.36300,,-33.20100,0.18600,-33.01500,,-33.01500,-33.01500,-33.01500,-29.37200,-33.20100,132.16500,132.16500,-0.25000,-0.25000,13.05510,,100.00000,-86.58490,-86.58490,-86.09990,-86.09990,0.03250,-3.08620,-3.08620,-2.80020,-3.08620,7.56190,-0.37320,-0.42210
2020-12-31,,,52.22800,17.13400,,-69.36200,-65.36800,-134.73000,,-134.73000,-134.73000,-134.73000,-65.70500,-69.36200,120.37020,120.37020,-1.08000,-1.08000,8.96020,,,,,,,,-12.47940,-12.47940,-10.97300,-12.47940,7.68550,-0.1294,-0.2954
2020-09-30,,,51.42100,16.61900,,-68.04000,1.84300,-66.19700,,-66.19700,-66.19700,-66.19700,-64.81300,-68.04000,127.14100,127.14100,-0.52000,-0.52000,17.03690,,,,,,,,-5.91720,-5.91720,-5.41490,-5.91720,8.00490,-0.2415,-0.3781
2020-06-30,,,47.29600,15.86200,,-63.15800,2.18400,-60.97400,,-60.97400,-60.97400,-60.97400,-61.04300,-63.15800,115.37720,115.37720,-0.53000,-0.53000,22.24180,,,,,,,,-5.24090,-5.24090,-4.84480,-5.24090,8.35590,-0.2108,-0.3436
2020-03-31,,,42.04200,15.64100,,-57.68300,3.20300,-54.48000,,-54.48000,-54.48000,-54.48000,-55.84600,-57.68300,108.96400,108.96400,-0.50000,-0.50000,18.80880,,,,,,,,-8.98240,-8.98240,-7.91260,-8.98240,4.84200,-0.37450,-0.48700
2019-12-31,,,49.36300,15.21200,,-64.57500,3.39000,-61.18500,-0.15500,-61.03000,-61.03000,-61.03000,-63.18000,-64.57500,101.06110,101.06110,-0.60000,-0.60000,16.46290,,,,,,,,-9.70240,-9.70470,-8.50230,-9.70240,5.06190,-0.5069,-0.6506
2019-09-30,,,39.99500,15.01600,,-55.01100,4.30900,-50.70200,0.03300,-50.73500,-50.73500,-50.73500,-54.53400,-55.01100,102.18700,102.18700,-0.50000,-0.50000,15.28320,,,,,,,,-8.18680,-8.19080,-7.29430,-8.18680,5.08400,-0.2999,-0.4757
2019-06-30,,,31.77400,14.18700,,-45.96100,4.55900,-41.40200,-0.15900,-41.24300,-41.24300,-41.24300,-45.87400,-45.96100,99.84700,99.84700,-0.41000,-0.41000,13.46160,,,,,,,,-6.29050,-6.29490,-5.61900,-6.29050,5.39040,-0.2414,-0.3174
2019-03-31,,,23.40300,13.05800,,-36.46100,4.82500,-31.63600,-0.05000,-31.58600,-31.58600,-31.58600,-36.98900,-36.46100,97.31600,97.31600,-0.32000,-0.32000,17.48130,,,,,,,,-4.63660,-4.64070,-4.21500,-4.63660,5.60560,-0.31090,-0.41800
2018-12-31,,,18.50400,14.54200,,-33.04600,2.42000,-30.62600,,-30.50900,-30.50900,-30.50900,-33.66000,-33.04600,28.94840,28.94840,47.32000,47.32000,15.88590,,,,,,,,-4.33880,-4.34350,-3.94250,-4.33880,5.78820,4.1649,4.9686
2018-09-30,,,10.87000,11.31700,,-22.18700,-21.31000,-43.49700,,-43.49700,-43.49700,-43.49700,-21.55900,-22.18700,4.06000,4.06000,-10.71000,-10.71000,1.55100,0.57550,,,,,,,25.82300,-17.99590,-9.99390,-17.92890,7.75830,-3.7451,-3.8775
2018-06-30,,,122.48600,12.52600,,-135.01200,0.11000,-134.90200,,-134.90200,-134.90200,-134.90200,-135.01200,-135.01200,3.07900,3.07900,-43.82000,-43.82000,,,,,,,,,,,,,,-1.9625,-2.818
2018-03-31,,,,2.59700,,-2.59700,,-2.59700,,-2.59700,-2.59700,-2.59700,-2.59700,-2.59700,26.25000,26.25000,-0.10000,-0.10000,,,,,,,,,,,,,,0.00020,0.00020
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
