Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,90.78800,35.82100,54.96700,34.74600,34.85400,20.11300,20.11300,3.62300,16.49000,16.49000,,16.49000,11.65600,11.71900,1.41000,1.41000,0.14110,1.01070,37.36390,30.63350,0.00890,2.69400,2.73970,0.27320,2.31380,52.40060,1.502,1.4093
2024-06-30,90.76000,34.10900,56.65100,35.69300,35.80200,20.84900,20.84900,3.86100,16.98800,16.98800,,16.98800,11.64200,11.64200,1.46000,1.45000,0.15020,1.14450,36.41240,29.66920,0.00960,2.98670,3.04180,0.28510,2.53820,49.10740,3.7122,3.5835
2024-03-31,84.19600,32.57400,51.62200,34.94400,35.05200,16.57000,16.57000,3.16300,13.40700,13.40700,,13.40700,11.76700,11.76700,1.14000,1.13000,0.15090,0.62730,32.49530,26.29240,0.00880,2.37220,2.41680,0.23210,2.01430,48.30710,-2.28920,-2.35760
2023-12-31,83.04500,31.33500,51.71000,35.28800,35.34600,16.36400,16.36400,3.21900,13.14500,13.14500,,13.14500,11.99200,12.08000,1.12000,1.09000,0.14930,0.74110,31.08130,24.96730,0.00910,2.29880,2.34190,0.22620,1.95560,48.44190,1.096,1.0085
2023-09-30,83.12400,28.53400,54.59000,34.30300,34.36200,20.22800,20.22800,4.34900,15.87900,15.87900,,15.87900,11.93500,11.97700,1.33000,1.33000,0.15870,0.45620,36.26060,28.46460,0.00970,2.98650,3.04710,0.27620,2.51260,44.81460,0.6773,0.5274
2023-06-30,81.38700,25.48000,55.90700,33.04100,33.09900,22.80800,22.80800,4.48800,18.32000,18.32000,,18.32000,12.03200,12.03200,1.52000,1.52000,0.15500,0.42390,39.64820,31.84650,0.01010,3.35330,3.41990,0.32030,2.83360,45.64150,3.6637,3.5328
2023-03-31,79.35200,18.27100,61.08100,35.02600,35.13700,25.94400,25.94400,5.48800,20.45600,20.45600,,20.45600,12.20100,12.20100,1.68000,1.67000,0.15270,0.58770,42.94870,33.86360,0.01050,3.68240,3.75470,0.35460,3.12000,45.78180,1.24350,1.02850
2022-12-31,75.61100,13.33000,62.28100,34.96100,35.17800,27.10300,27.10300,4.49900,22.60400,22.60400,,22.60400,12.51600,12.60700,1.84000,1.82000,0.15800,0.68750,44.11370,36.79100,0.01080,4.24020,4.32800,0.39790,3.57010,43.58390,2.3457,2.0452
2022-09-30,67.64100,6.75900,60.88200,37.85700,38.07300,22.80900,22.80900,4.67600,18.13300,18.13300,,18.13300,12.30400,12.30400,1.47000,1.46000,0.16360,0.63230,39.62170,31.49900,0.01010,3.54660,3.62480,0.31950,2.96650,41.75180,1.4841,1.0649
2022-06-30,62.01700,3.86700,58.15000,35.05000,35.22700,22.92300,22.92300,4.69900,18.22400,18.22400,,18.22400,12.58100,12.68300,1.45000,1.44000,0.15380,0.75980,40.98740,32.58530,0.01010,3.31560,3.38490,0.32820,2.80560,44.52920,0.4804,0.0333
2022-03-31,55.84900,3.40700,52.44200,30.91700,31.07500,21.36700,21.36700,4.38000,16.98700,16.98700,,16.98700,12.97100,12.97100,1.31000,1.30000,0.14630,0.43050,40.59470,32.27320,0.00980,2.91600,2.94590,0.31610,2.48940,45.65090,2.41990,2.30720
2021-12-31,57.14600,3.72300,53.42300,33.90300,34.06100,19.36200,19.36200,4.08100,15.28100,15.28100,,15.28100,13.55800,13.67400,1.15000,1.15000,0.13920,0.38700,35.11040,27.71010,0.01010,2.47770,2.50230,0.28040,2.13270,46.97810,1.1109,0.9943
2021-09-30,59.43800,4.71700,54.72100,28.82400,28.98200,25.73900,25.73900,5.37500,20.36400,20.36400,,20.36400,13.53400,13.53400,1.50000,1.49000,0.13760,0.43010,45.09440,35.67750,0.01050,3.26010,3.29300,0.37350,2.81140,46.73010,1.778,1.6781
2021-06-30,60.03700,5.76800,54.26900,28.62600,28.88400,25.38500,25.38500,5.27100,20.11400,20.11400,,20.11400,13.71000,13.81200,1.47000,1.46000,0.21710,0.53070,45.67620,36.19190,0.01000,3.19490,3.22770,0.36060,2.50140,46.08980,2.178,2.1018
2021-03-31,60.36900,6.54400,53.82500,29.65800,29.94700,23.87800,23.87800,5.01000,18.86800,18.86800,,18.86800,13.71600,13.71600,1.38000,1.36000,0.22190,0.51950,44.05620,34.81250,0.00970,3.08570,3.11970,0.33670,2.40110,44.65260,1.78860,1.70440
2020-12-31,62.57500,8.04200,54.53300,32.28600,32.57300,21.96000,21.96000,4.17200,17.78800,17.78800,,17.78800,14.04300,14.10400,1.27000,1.28000,0.21670,0.53970,41.40820,33.54140,0.00960,2.82470,2.85610,0.32190,2.21270,45.78940,0.7188,0.6239
2020-09-30,63.06500,9.43100,53.63400,36.19900,36.48800,17.14600,17.14600,3.69200,13.45400,13.45400,,13.45400,14.05300,14.05300,0.96000,0.96000,0.21790,0.52870,34.89640,27.38230,0.00900,2.15390,2.17910,0.24720,1.68460,44.99990,0.0321,-0.1666
2020-06-30,62.27200,10.55600,51.71600,35.06000,35.34900,16.36700,16.36700,3.16400,13.20300,13.20300,,13.20300,14.08400,14.08400,0.94000,0.93000,0.21710,0.58510,35.80150,28.88050,0.00820,2.10670,2.13220,0.23720,1.64930,44.49800,1.2769,1.2155
2020-03-31,64.84100,12.53600,52.30500,34.39700,34.68600,17.61900,17.61900,2.75100,14.86800,14.86800,,14.86800,14.22100,14.29900,1.05000,1.04000,0.14020,0.36790,36.37730,30.69740,0.00950,2.42060,2.45180,0.29310,2.08120,43.61200,1.23710,1.06440
2019-12-31,66.42100,13.78400,52.63700,29.89800,30.18500,22.45200,22.45200,4.55900,17.89300,17.89300,,17.89300,14.20100,14.33000,1.26000,1.25000,0.14230,0.68380,43.18770,34.41820,0.01040,2.96700,3.00740,0.35680,2.54480,42.28780,1.5482,1.3057
2019-09-30,68.84200,14.26300,54.57900,30.38600,30.67500,23.90400,23.90400,4.17200,19.73200,19.73200,,19.73200,14.21000,14.31700,1.39000,1.38000,0.14340,0.65960,45.41980,37.49260,0.01060,3.30650,3.35360,0.39680,2.83220,41.98450,1.7224,1.6212
2019-06-30,65.88000,13.80200,52.07800,29.69400,29.98300,22.09500,22.09500,3.72000,18.37500,18.37500,,18.37500,14.19200,14.19200,1.29000,1.28000,0.14850,0.64140,43.77150,36.40200,0.01040,3.21070,3.26010,0.37720,2.73380,40.29890,0.6582,0.3545
2019-03-31,64.80800,12.75300,52.05500,30.12000,30.44500,21.61000,21.61000,3.99800,17.61200,17.61200,,17.61200,14.15900,14.15900,1.24000,1.23000,0.15500,0.44250,43.12940,35.15020,0.01050,3.23970,3.29400,0.36860,2.73750,38.36250,2.10180,1.94080
2018-12-31,63.36200,11.58500,51.77700,30.39800,30.72400,21.05300,21.05300,3.76500,17.28800,17.28800,,17.28800,14.13200,14.26000,1.23000,1.22000,0.15770,0.74740,42.25220,34.69610,0.01070,3.24980,3.30750,0.36970,2.73720,37.59240,1.4741,1.3712
2018-09-30,67.58600,9.99700,57.58900,29.19700,29.60900,27.98000,27.98000,5.46400,22.51600,22.51600,,22.51600,14.14600,14.29900,1.59000,1.57000,0.16390,0.89170,49.70780,40.00070,0.01230,4.43120,4.51660,0.49120,3.70510,35.90170,1.5621,1.6019
2018-06-30,57.40200,8.73100,48.67100,31.45300,31.86500,16.80600,16.80600,2.96700,13.83900,13.83900,,13.83900,14.12500,14.12500,0.98000,0.97000,0.16880,0.92900,35.97100,29.62050,0.01020,2.82270,2.88160,0.30290,2.34630,34.68740,1.4673,1.3411
2018-03-31,53.81700,7.44400,46.37300,29.85000,30.26200,16.11100,16.11100,2.64500,13.46600,13.46600,,13.46600,14.10100,14.23200,0.95000,0.95000,0.17170,0.71870,36.26730,30.31310,0.01010,2.80540,2.86780,0.30530,2.32370,34.01600,2.10200,1.80120
