Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.00600,8.29900,12.70700,8.47700,8.74100,3.96600,,3.96600,0.74700,3.21900,3.21900,3.21900,5.13800,5.34700,0.63000,0.60000,0.18880,0.23270,31.11080,25.25100,0.00820,2.15840,2.31050,0.20610,1.75090,29.07210,0.5588,0.4072
2024-06-30,19.62700,7.46900,12.15800,8.68400,8.94800,3.21000,,3.21000,0.56000,2.65000,2.65000,2.65000,5.14200,5.15300,0.52000,0.51000,0.19540,0.24280,26.32440,21.73200,0.00780,1.85470,1.99550,0.16980,1.49230,27.78720,-0.2276,-0.4642
2024-03-31,19.90200,6.39500,13.50700,8.05000,8.39100,5.11600,,5.11600,0.92000,4.19600,4.19600,4.19600,5.13000,5.14200,0.82000,0.82000,0.19680,0.24500,37.77320,30.98050,0.00920,2.96350,3.19720,0.28480,2.38030,27.53060,0.63400,0.63750
2023-12-31,33.42500,5.77100,27.65400,8.91600,9.34600,18.30800,,18.30800,5.34300,12.96500,12.96500,12.96500,5.11400,5.12300,2.54000,2.53000,0.19870,0.24800,62.97040,44.59310,0.02000,9.27170,10.03920,0.89040,7.42930,27.31670,-0.6669,-0.9708
2023-09-30,18.28600,5.15700,13.12900,9.44800,9.89300,3.23600,,3.23600,0.56400,2.67200,2.67200,2.67200,5.11500,5.12700,0.52000,0.52000,0.23190,0.30190,25.43430,21.00130,0.00910,2.32660,2.59580,0.19090,1.78710,22.42650,1.7772,1.7311
2023-06-30,17.47200,4.08300,13.38900,9.48700,9.93300,3.45600,,3.45600,0.69900,2.75700,2.75700,2.75700,5.11200,5.11600,0.54000,0.54000,0.22910,0.29730,26.67280,21.27810,0.00900,2.36470,2.64500,0.19240,1.82280,22.80690,0.2551,0.032
2023-03-31,17.05400,2.66100,14.39300,8.66300,9.10800,5.28500,,5.28500,1.12900,4.15600,4.15600,4.15600,5.11000,5.11600,0.81000,0.81000,0.11110,0.12600,36.92450,29.03650,0.01000,3.54620,3.98100,0.29050,3.15220,22.90310,1.41340,1.38060
2022-12-31,16.21800,1.99100,14.22700,8.55200,8.99800,5.22900,,5.22900,1.07600,4.15300,4.15300,4.15300,5.13700,5.14900,0.81000,0.81000,0.11730,0.20610,36.75410,29.19100,0.01010,3.77010,4.28540,0.29480,3.32790,21.59900,0.9804,0.98
2022-09-30,15.02600,1.27200,13.75400,8.38200,8.82700,4.92700,,4.92700,0.99800,3.92900,3.92900,3.92900,5.10700,5.11900,0.77000,0.77000,0.14180,0.33490,35.82230,28.56620,0.00960,3.68210,4.22400,0.27550,3.16010,20.93510,0.7479,0.7936
2022-06-30,13.06300,0.79500,12.26800,11.74800,12.19400,0.07400,,0.07400,-0.04400,0.11800,0.11800,0.11800,5.14800,5.15700,0.02000,0.02000,0.13410,0.43770,0.87220,1.39090,0.00610,0.10370,0.11840,0.00850,0.08980,22.18640,0.4138,0.3988
