Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.70600,12.70600,2.45100,-10.17000,-4.81500,8.36200,3.54700,,3.54700,3.54700,,0.92100,0.51700,-4.81500,3.85920,3.87120,0.24000,0.24000,0.94000,0.22370,100.00000,-37.89550,-37.89550,27.91590,7.24850,0.01590,0.41470,217.04550,0.75550,0.75630,0.44290,0.75550,118.49550,0.432,9.607
2024-06-30,12.52300,12.52300,2.43700,-9.28400,-4.01900,-1.15200,-5.17100,,-5.17100,-5.17100,,-1.63200,1.21700,-4.01900,3.85220,3.85220,-0.42000,-0.42000,0.75230,0.22430,100.00000,-32.09300,-32.09300,-41.29200,-13.03200,0.01660,0.43310,207.81280,-1.10470,-1.10590,-0.68380,-1.10470,118.38110,0.3276,0.4717
2024-03-31,11.17600,11.17600,2.86800,-8.20800,-3.91200,0.83700,-3.07500,0.09500,-3.17000,-3.17000,,-1.02000,0.34600,-3.91200,3.84850,3.84850,-0.27000,-0.27000,0.61790,0.22230,100.00000,-35.00360,-35.00360,-27.51430,-9.12670,0.01540,0.45320,198.60240,-0.67100,-0.67250,-0.43580,-0.67100,121.79090,0.28760,0.79930
2023-12-31,10.50200,10.50200,2.54000,-8.08600,-4.24300,-1.45500,-5.69800,,-5.69200,-5.69200,,-1.56000,0.67600,-4.24300,3.84530,3.84530,-0.53000,-0.53000,0.64260,0.14870,100.00000,-40.40190,-40.40190,-54.25630,-14.85430,0.01560,0.53340,168.72210,-1.20950,-1.20950,-0.84750,-1.20950,121.31970,1.8444,2.1308
2023-09-30,10.18300,10.18300,1.67500,-8.20000,-3.79900,0.18100,-3.61800,,-3.61800,-3.61800,,-1.06800,1.13100,-3.79900,3.84590,3.84590,-0.28000,-0.28000,0.65800,0.14410,100.00000,-37.30730,-37.30730,-35.52980,-10.48810,0.01520,0.42550,211.50840,-0.74500,-0.74500,-0.53950,-0.74500,125.26000,1.2173,1.4541
2023-06-30,10.27000,10.27000,1.79500,-7.62900,-3.51300,2.33400,-1.17900,,-1.17900,-1.17900,,-0.33500,1.13000,-3.51300,3.84400,3.84400,-0.09000,-0.09000,0.60770,0.14400,100.00000,-34.20640,-34.20640,-11.48000,-3.26190,0.01540,0.44560,201.95230,-0.24250,-0.24250,-0.17710,-0.24250,125.41550,1.1193,1.0064
2023-03-31,10.13800,10.13800,1.99400,-7.57000,-4.83900,-0.43300,-5.27200,0.00600,-5.27800,-5.27800,,-1.54000,-0.37500,-4.83900,3.84350,3.84350,-0.40000,-0.40000,0.52610,0.10110,100.00000,-47.73130,-47.73130,-52.00240,-15.19040,0.01580,0.50320,178.85480,-1.08890,-1.08890,-0.82090,-1.08890,126.12570,-0.57140,-1.10500
2022-12-31,9.72300,9.72300,2.11100,-7.23200,-3.53700,0.78700,-2.75000,,-3.11200,-3.11200,,-1.01000,1.41200,-3.53700,3.84350,3.84350,-0.27000,-0.27000,0.60200,0.11180,100.00000,-36.37760,-36.37770,-28.28350,-10.38770,0.01480,0.54270,165.83770,-0.63250,-0.63250,-0.47230,-0.63250,128.02190,-1.8257,-2.4337
2022-09-30,8.67700,8.67700,1.80200,-5.53800,-2.32200,2.58700,0.26500,,0.26500,0.26500,0.31100,0.28700,1.87100,-2.32200,3.84350,3.84350,0.08000,0.08000,1.20420,0.09390,100.00000,-26.76040,-26.76040,3.05410,3.30760,0.01150,0.54390,165.47890,0.04520,0.04520,0.03500,0.04520,,1.732,-0.6536
2022-06-30,8.00700,8.00700,1.56300,-4.62400,-2.29600,0.12300,-2.17300,,-2.17300,-2.17300,,-0.12000,2.31000,-2.29600,3.84350,3.84350,-0.03000,-0.03000,,,100.00000,-28.67490,-28.67490,-27.13880,-1.49870,,,,,,,,,-0.1517,-1.0563
2022-03-31,7.73700,7.73700,1.62600,-3.42300,-1.79400,0.21600,-1.57800,-0.36200,-1.21600,-1.21600,,-0.15700,2.90700,-1.79400,3.84350,3.84350,-0.04000,-0.04000,,,100.00000,-23.18730,-23.18730,-20.39550,-2.02920,,,,,,,,,1.15550,0.20190
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-09-30,3.83100,3.83100,1.06300,-0.89900,0.15400,0.10400,0.25800,-0.01000,0.26800,0.26800,45.92100,40.79200,0.15400,0.15400,,,,0.00000,,,100.00000,4.01980,4.01980,6.73450,1064.78700,,,,,,,,,0,0
