Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1875.03800,1241.74300,633.29420,124.67430,78.64530,7.11410,196.20600,437.08860,76.40120,513.48980,65.79530,447.69450,,447.69450,448.63330,827.47640,437.08860,2487.28700,2484.32500,0.17980,0.17830,2.19330,0.13630,0.20410,33.77500,23.31090,23.31090,27.38560,23.92660,0.10530,1.05160,1.69190,53.19520,3.91920,3.96060,2.51470,3.38510,,0.2229,-0.0547
2024-06-30,1755.09800,1137.61600,617.48160,119.04650,76.69530,7.50550,188.23700,429.24520,78.14290,507.38810,81.73400,425.65410,,425.65410,425.99240,757.65520,429.24520,2482.83800,2505.98800,0.17150,0.17000,1.65810,0.11770,0.14210,35.18220,24.45710,24.45710,28.90940,24.27170,0.09680,1.01330,1.63820,54.93810,3.86840,3.91220,2.34690,3.41330,4.39110,0.2738,0.0356
2024-03-31,1737.30100,1199.89900,537.40190,108.35550,75.87500,17.75980,166.47100,370.93100,33.59300,404.52410,72.86300,331.66110,,331.66110,332.50530,708.08150,370.93100,2482.81800,2515.50500,0.13360,0.13200,2.32080,0.10300,0.14430,30.93320,21.35100,21.35100,23.28460,19.13920,0.09630,1.09080,1.58380,56.82440,2.75750,2.78710,1.83920,2.47340,,0.26320,-0.09640
2023-12-31,1845.44000,1245.72200,599.71800,131.79420,91.94560,43.36970,180.37000,419.34790,-5.11120,414.23730,11.99250,402.24480,,402.24480,402.34940,784.34600,419.34800,2427.59100,2427.59100,-0.60020,-0.58890,2.12760,0.11630,0.17100,32.49730,22.72350,22.72350,22.44650,21.80240,0.10340,1.06810,1.74280,51.64060,3.58340,3.62960,2.25340,3.16660,4.47940,0.4054,0.0712
2023-09-30,1803.37600,1156.81000,646.56620,102.86730,77.89130,18.04840,162.71000,483.85600,105.43360,589.28940,84.77040,504.51900,,504.51900,504.68100,763.86020,483.85600,2474.22600,2513.35500,0.20380,0.20070,2.38170,0.12360,0.19130,35.85310,26.83060,26.83060,32.67700,27.98530,0.10430,1.00130,1.70990,52.63340,4.56140,4.61390,2.91730,3.99750,,0.2217,0.0296
2023-06-30,1835.26300,1175.04300,660.22020,108.14610,79.25150,38.17410,149.22300,510.99670,91.63060,602.62720,84.39560,518.23160,,518.23160,509.89390,805.99260,510.99670,2469.79700,2505.23600,0.20700,0.20380,1.67180,0.09940,0.11080,35.97410,27.84320,27.84320,32.83600,27.78320,0.10180,1.04320,1.70140,52.89880,4.86300,4.91890,2.87360,4.37990,,0.1778,-0.1338
2023-03-31,1783.49100,1151.00700,632.48410,91.02140,100.42760,35.37990,156.06900,476.41500,152.91110,629.32600,90.27440,539.05160,,539.05160,532.42080,771.56380,476.41500,2469.77600,2519.44700,0.21550,0.21060,2.28520,0.09500,0.10520,35.46330,26.71250,26.71250,35.28620,29.85270,0.09860,1.07060,1.87130,48.09530,4.60820,4.66030,2.98100,4.17070,,0.35210,-0.03630
2022-12-31,1875.03300,1075.77400,799.25900,95.41580,93.00810,35.90940,152.51400,646.74450,142.60010,789.34360,197.46920,591.87450,,591.87450,591.35880,944.86520,646.74430,2419.06300,2497.93000,0.25680,0.22600,2.24110,0.10990,0.12350,42.62640,34.49240,34.49240,42.09760,31.53860,0.10980,1.06400,1.48420,60.64070,5.63440,5.71000,3.46680,5.01490,4.20030,0.5345,0.0676
2022-09-30,2480.38300,1307.04000,1173.34300,108.71710,114.77030,42.31790,181.16900,992.17400,72.00000,1064.17400,164.61010,899.56370,,899.56370,888.17440,1303.01800,992.17400,2461.10400,2527.13200,0.36030,0.35200,2.47150,0.12770,0.14710,47.30490,40.00080,40.00080,42.90360,35.80800,0.14520,1.31980,1.62220,55.48180,8.67490,8.79210,5.26430,7.56710,,0.4826,0.2028
2022-06-30,2449.87500,1311.82100,1138.05400,109.11820,118.81250,47.45290,180.47800,957.57620,-87.94070,869.63550,138.96040,730.67510,,730.67510,725.11180,1281.48300,957.57620,2456.69600,2510.67500,0.29500,0.29000,2.01630,0.13890,0.16350,46.45360,39.08670,39.08670,35.49710,29.59790,0.14420,1.41120,1.63700,54.97860,7.58720,7.69910,4.30020,6.53310,,0.4542,0.318
