Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,44.51900,42.25000,2.26900,-3.85400,3.85400,-1.58500,-0.86900,-2.45400,-0.45600,-1.99800,-1.99800,-2.09800,-1.97300,-1.58500,20.40000,20.40000,-0.10000,-0.10000,0.31900,-3.56030,-3.56030,-5.51230,-4.71260,0.11500,-1.89020,-1.93580,-0.51630,-1.88920,5.18430,0.0044,0.0029
2024-06-30,47.66800,43.39100,4.27700,-4.25900,4.25900,0.01800,-0.86700,-0.84900,-0.16500,-0.68400,-0.68400,-0.78400,-0.52700,0.01800,20.40000,20.40000,-0.04000,-0.04000,0.33510,0.03780,0.03780,-1.78110,-1.64470,0.12350,-0.67980,-0.69700,-0.17720,-0.67940,4.93500,0.0204,0.0176
2024-03-31,46.99700,44.59100,2.40600,-4.05700,4.05700,-1.65100,-0.85500,-2.50600,-0.50800,-1.99800,-1.99800,-2.09700,-0.85500,-1.65100,20.40200,20.40200,-0.10000,-0.10000,0.32820,-3.51300,-3.51300,-5.33230,-4.46200,0.12850,-1.94460,-1.99280,-0.54630,-1.94350,5.03940,-0.26070,-0.26260
2023-12-31,46.74500,45.15100,1.59400,-3.83400,3.83400,-2.24000,-0.86200,-3.10200,-0.87400,-2.22800,-2.22800,-2.32800,13.97600,-2.24000,20.40400,20.40400,-0.11000,-0.11000,0.31450,-4.79200,-4.79190,-6.63600,-4.98020,0.12260,-2.07800,-2.12740,-0.58440,-2.07690,5.25800,0.2912,0.2907
2023-09-30,44.59100,37.88200,6.70900,-3.72100,3.72100,2.98800,-0.85000,2.13800,0.37900,1.75900,1.75900,1.65900,2.43700,2.98800,20.40200,21.78000,0.08000,0.08000,,6.70090,6.70090,4.79470,3.72050,,,,,,,0.0773,0.0772
2023-06-30,49.18800,42.21300,6.97500,-3.95100,3.95100,3.02400,-0.80700,2.21700,0.47300,1.74400,1.74400,1.64400,4.24100,3.02400,20.40400,20.40400,0.08000,0.08000,0.32600,6.14780,6.14780,4.50720,3.34230,0.13190,1.68610,1.72770,0.46760,1.68530,5.07230,0.3289,0.3285
2023-03-31,46.26900,43.37800,2.89100,-3.95900,3.95900,-1.06800,-0.75000,-1.81800,-0.37200,-1.44600,-1.44600,-1.54500,-0.85800,-1.06800,20.40700,20.40700,-0.08000,-0.08000,0.32320,-2.30820,-2.30820,-3.92920,-3.33920,0.13090,-1.38610,-1.41990,-0.40890,-1.38530,5.11540,-0.56890,-0.57180
2022-12-31,45.23100,39.72300,5.50800,-3.48300,3.48300,2.02500,-0.66100,1.36400,0.31800,1.04600,1.04600,0.94600,24.39500,2.02500,20.39000,20.39000,0.06000,0.06000,0.33010,4.47700,4.47700,3.01560,2.09150,0.12320,1.02410,1.04970,0.28500,1.02360,5.00770,0.4267,0.426
2022-09-30,46.34300,43.47300,2.87000,-3.29600,3.29600,-0.42600,-0.52300,-0.94900,-0.26500,-0.68400,-0.68400,-0.78400,0.62000,-0.42600,20.38900,20.38900,-0.04000,-0.04000,0.34460,-0.91920,-0.91920,-2.04780,-1.69170,0.12860,-0.69900,-0.71720,-0.18980,-0.69860,4.80730,0.1062,0.1041
2022-06-30,44.66900,42.96800,1.70100,-3.40200,3.40200,-1.70100,-0.41400,-2.11500,-0.43600,-1.67900,-1.67900,-1.77900,-3.84500,-1.70100,20.40200,20.40200,-0.09000,-0.09000,0.30920,-3.80800,-3.80800,-4.73480,-3.98260,0.11780,-1.53970,-1.57570,-0.44270,-1.53890,5.34850,0.1516,0.1482
2022-03-31,51.60800,44.00500,7.60300,-3.45300,3.45300,4.15000,-0.35400,3.79600,0.95400,2.84200,2.84200,2.74300,3.21300,4.15000,20.38000,21.75800,0.13000,0.13000,0.26690,8.04140,8.04140,7.35540,5.31510,0.13760,2.24900,2.29420,0.75780,2.24800,6.19600,-0.36800,-0.36800
