Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,23.71900,23.71900,22.38900,-1.82400,-0.49400,0.96100,0.46700,0.30800,0.15900,0.15900,0.15900,0.65500,-0.49400,8.12370,8.48840,0.01000,0.01000,4.24350,100.00000,-2.08270,-2.08270,1.96890,0.67030,0.15660,1.62500,55.38350,0.13210,0.26870,0.10490,0.13210,12.98500,0.0171,0.016
2024-06-30,22.68800,22.68800,22.05900,-4.80700,-4.17800,0.77200,-3.40600,-1.19300,-2.21300,-2.21300,-2.21300,-2.99400,-4.17800,8.21860,8.21860,-0.27000,-0.27000,4.75730,100.00000,-18.41500,-18.41500,-15.01230,-9.75410,0.15390,1.58390,56.82120,-1.83700,-3.80010,-1.50160,-1.83700,12.96310,0.4527,0.4501
2024-03-31,22.73200,22.73200,19.79100,,2.94100,0.64000,3.58100,1.41500,2.16600,2.16600,2.16600,4.15700,2.94100,8.09900,8.39200,0.28000,0.27000,4.54740,100.00000,12.93770,12.93770,15.75310,9.52840,0.15250,1.49770,60.09240,1.75020,3.58060,1.45330,1.75020,13.26280,0.96910,0.96880
2023-12-31,23.22900,23.22900,21.55900,1.17300,2.84300,0.90800,3.75100,1.16800,2.58300,2.58300,2.58300,4.04500,2.84300,7.96400,8.11200,0.33000,0.31000,3.87400,100.00000,12.23900,12.23900,16.14790,11.11970,0.14970,1.61380,55.76910,2.10950,4.44260,1.66470,2.10950,13.39670,0.5542,0.5507
2023-09-30,21.88000,21.88000,20.85000,-2.48300,-1.45300,5.51200,4.05900,-0.31600,4.37500,4.37500,4.37500,-0.24500,-1.45300,8.00250,8.11670,0.42000,0.41000,4.01160,100.00000,-6.64080,-6.64080,18.55120,19.99540,0.14510,1.66080,54.18920,3.65180,8.03400,2.90210,3.65180,13.05040,-0.2204,-0.2231
2023-06-30,21.94500,21.94500,22.35400,4.07800,3.66900,0.47400,4.14300,1.24400,2.89900,2.89900,2.89900,4.88100,3.66900,7.99120,8.13130,0.36000,0.36000,3.76290,100.00000,16.71910,16.71910,18.87900,13.21030,0.15440,1.61250,55.81270,2.51870,5.95170,2.04000,2.51870,12.53390,-0.081,-0.0823
2023-03-31,22.72700,22.72700,21.57200,,0.94600,0.54400,1.49000,0.77600,0.71400,0.71400,0.71400,2.14300,0.94600,7.85400,7.96900,0.09000,0.09000,4.00050,100.00000,4.16240,4.16240,6.55610,3.14160,0.16030,1.49670,60.13330,0.63820,1.62240,0.50350,0.63820,12.14390,-0.39890,-0.40950
2022-12-31,20.45600,20.45600,18.75900,,-3.80800,-0.50200,-4.31000,-1.18500,-3.12500,-3.12500,-3.12500,-2.93800,-3.80800,7.84400,7.84400,-0.40000,-0.40000,3.30370,100.00000,-18.61560,-18.61560,-21.06960,-15.27670,0.13970,1.42590,63.11790,-2.82430,-6.79880,-2.13420,-2.82430,12.45760,4.5988,4.5738
2022-09-30,15.40600,15.40600,15.78700,,-1.08200,0.06100,-1.02100,0.15400,-1.17500,-1.17500,-1.17500,-0.53900,-1.08200,7.79400,7.79400,-0.15000,-0.15000,7.22010,100.00000,-7.02320,-7.02320,-6.62730,-7.62690,0.11760,1.65830,54.27110,-1.03520,-1.35970,-0.89700,-1.03520,13.49510,0.4372,0.4317
2022-06-30,15.60300,15.60300,15.11400,,-0.39800,-0.06000,-0.45800,-0.08000,-0.37800,-0.37800,-0.37800,0.18300,-0.39800,7.94400,7.94400,-0.05000,-0.05000,8.81790,100.00000,-2.55080,-2.55080,-2.93530,-2.42260,0.12010,1.67950,53.58590,-0.32670,-0.42850,-0.29090,-0.32670,13.59630,0.4225,0.416
