Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.40030,0.72910,1.67120,0.87400,-1.09860,3.04060,-1.36940,-0.73410,-2.10350,-2.10350,-2.10350,-2.96960,-0.17300,-1.36940,5.43400,5.43400,-0.55000,-0.55000,0.90670,9.71640,-57.05300,-57.05300,-87.63760,-123.71860,0.02220,-31.91040,-31.91050,-1.94820,-2.97770,1.21620,0.1025,-0.9945
2024-06-30,2.25920,0.68360,1.57560,0.84280,-1.02310,3.04620,-1.47060,0.00910,-1.46150,-1.46150,-1.46150,-2.26170,-0.17480,-1.47060,5.43400,5.43400,-0.42000,-0.42000,0.86710,6.52530,-65.09330,-65.09330,-64.68950,-100.11010,0.02160,-15.43820,-15.43820,-1.39860,-2.05150,1.74660,0.0358,0.0358
2024-03-31,2.43320,0.65470,1.77850,0.73180,-1.02070,2.97910,-1.20070,-0.67840,-1.87910,-1.87910,-1.87910,-2.92020,0.14150,-1.20070,4.39000,4.39000,-0.67000,-0.67000,0.83470,5.05000,-49.34510,-49.34510,-77.22820,-120.01690,0.02330,-15.29440,-15.29440,-1.79590,-2.52800,2.26680,0.00590,0.00590
2023-12-31,3.12250,0.63400,2.48850,0.89280,-1.03780,3.37220,-0.88370,-0.40180,-1.28550,-1.28550,-1.28550,-2.16430,0.67980,-0.88370,2.52000,2.52000,-0.90000,-0.90000,0.93870,15.30640,-28.29970,-28.29970,-41.16690,-69.31330,0.02870,-31.57320,-31.57320,-1.18270,-1.93630,1.55330,-0.0022,-0.4757
2023-09-30,1.84410,0.43140,1.41280,0.87670,-0.77060,2.62870,-1.21600,0.00270,-1.21330,-1.21330,-1.21330,-1.82890,-0.16790,-1.21600,2.61800,2.61800,-0.70000,-0.70000,0.90540,9.57390,-65.93770,-65.93770,-65.79000,-99.17330,0.01660,-18.56190,-18.56190,-1.09530,-1.75540,2.49570,0.2091,-11.9264
2023-06-30,1.32890,0.32030,1.00860,0.64170,-0.46680,1.66640,-0.65780,-0.09460,-0.75240,-0.75240,-0.75240,-0.88150,-0.14700,-0.65780,2.61500,2.61500,-0.34000,-0.34000,0.81140,4.30080,-49.50320,-49.50320,-56.61900,-66.33130,0.02140,-8.87560,-8.87560,-1.21270,-1.67440,3.23800,0.1329,0.0804
2023-03-31,1.33700,0.31360,1.02340,0.69540,-0.46920,1.72220,-0.69880,-0.49160,-1.19040,-1.19040,-1.19040,-1.31760,-0.13860,-0.69880,2.54100,2.54100,-0.52000,-0.52000,0.79220,3.81180,-52.26140,-52.26140,-89.02910,-98.54370,0.02120,-12.39350,-12.39350,-1.88430,-2.57560,3.67850,-0.33490,-0.35460
2022-12-31,1.39730,0.35980,1.03750,0.81040,-0.53190,1.90220,-0.86460,-0.00820,-0.87290,-0.87290,-0.87290,-0.97640,-0.30150,-0.86460,2.31300,2.31300,-0.40000,-0.40000,0.76740,3.29840,-61.87590,-61.87590,-62.46520,-69.87320,0.02180,-7.83760,-7.83760,-1.35940,-1.82340,4.45110,0.1328,0.1403
2022-09-30,1.47410,0.26980,1.20430,0.74360,-0.38240,1.68750,-0.48320,-0.02890,-0.51210,-0.51210,-0.51210,-0.63890,0.07980,-0.48320,2.30500,2.30500,-0.28000,-0.28000,0.74170,2.87080,-32.78020,-32.78020,-34.74140,-43.34350,0.02310,-4.15720,-4.15720,-0.80260,-1.07400,4.94930,0.176,0.2805
2022-06-30,1.37910,0.32520,1.05390,0.78340,-0.37560,1.71770,-0.66380,-0.25290,-0.91670,-0.91670,-0.91670,-1.04690,-0.10350,-0.66380,2.25500,2.25500,-0.46000,-0.46000,0.74650,2.94520,-48.13530,-48.13530,-66.47050,-75.91010,0.02110,-7.61480,-7.61480,-1.40380,-1.93010,5.33150,0.0395,0.1553
