Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.51090,0.71300,-1.28020,-16.53490,12.96990,-3.56500,-3.56500,-3.56500,-3.56500,-16.50400,-16.53490,65.53700,65.53700,-0.05000,-0.05000,2.30560,,0.00060,-4.61750,-4.61750,-3.99240,-4.61750,1.15980,-0.0178,-0.0229
2024-06-30,10.46400,0.70080,-0.99350,-12.18970,8.52090,-3.67370,-3.67370,-3.67370,-3.67370,-12.15830,-12.18970,64.51440,64.51440,-0.06000,-0.06000,1.53530,,0.00090,-5.35340,-5.35340,-4.69200,-5.35340,1.06240,-0.1081,-0.1104
2024-03-31,6.54240,0.60850,-0.94810,-8.12530,5.18080,-2.94450,-2.94450,-2.94450,-2.94450,-8.09900,-8.12530,64.12300,64.12300,-0.05000,-0.05000,2.10740,,0.00020,-4.18490,-4.18490,-3.75980,-4.18490,1.09340,-0.05470,-0.05490
2023-12-31,9.22450,0.72430,-0.74490,-10.71790,6.85840,-3.86820,-3.86820,-3.86820,-3.86820,-10.69370,-10.71790,63.19100,63.19100,-0.07000,-0.07000,0.87990,,0.00040,-5.35040,-5.35040,-4.65560,-5.35040,1.12750,-0.0941,-0.0948
2023-09-30,8.66420,0.55390,-0.37390,-9.61580,6.97320,-2.63010,-2.63010,-2.63010,-2.63010,-9.59200,-9.61580,63.17610,63.17610,-0.04000,-0.04000,1.24420,,0.00080,-3.58660,-3.58660,-3.03440,-3.58660,1.16030,-0.1064,-0.1107
2023-06-30,6.31260,0.55300,-5.03580,-11.92020,4.25130,-7.67280,-7.67280,-7.67280,-7.67280,-11.90140,-11.92020,63.16420,63.16420,-0.12000,-0.12000,1.31290,,0.00110,-10.19430,-10.19430,-8.14140,-10.19430,1.19160,-0.069,-0.0711
2023-03-31,5.70640,0.55350,-1.76850,-8.04530,3.44520,-4.60010,-4.60010,-4.60010,-4.60010,-8.02840,-8.04530,63.01800,63.01800,-0.07000,-0.07000,1.53180,,0.00050,-5.60220,-5.60220,-4.76900,-5.60220,1.30050,-0.06580,-0.06580
2022-12-31,5.63260,0.80490,-4.32910,-10.78630,0.32930,-10.45690,-10.45690,-10.45690,-10.45690,-10.76660,-10.78630,62.98700,62.98700,-0.17000,-0.17000,1.89980,,0.00080,-12.18320,-12.18320,-10.51530,-12.18320,1.36210,-0.1048,-0.1068
2022-09-30,4.59000,0.64110,-0.69180,-5.93810,0.18380,-5.75430,-5.75430,-5.75430,-5.75430,-5.92280,-5.93810,62.98800,62.98800,-0.09000,-0.09000,3.55020,0.00010,0.00100,-6.02050,-6.02050,-5.41420,-6.01980,1.51740,-0.1017,-0.1062
2022-06-30,4.30630,0.68890,-1.37680,-6.38690,0.12950,-6.25740,-6.25740,-6.25740,-6.25740,-6.37200,-6.38690,62.98800,62.98800,-0.10000,-0.10000,4.50570,0.00020,0.00120,-6.22000,-6.22000,-5.55680,-6.21860,1.59710,-0.0797,-0.0806
