Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,40.26900,33.76800,6.50100,4.64900,,4.64900,1.85200,-3.17800,-1.32600,0.01100,-1.33700,-1.33700,-3.09800,-4.43500,1.77200,1.85200,29.51400,29.51400,-0.15000,-0.15000,0.65990,-1.55820,16.14390,4.59910,4.59910,-3.29290,-11.01340,0.84010,341.26270,0.26370,6.80960,6.18580,-2.78930,6.80960,-0.66480,-0.1257,-0.1267
2024-06-30,15.13100,18.46600,-3.33500,9.74300,,9.74300,-13.07800,-3.83100,-16.90900,0.00900,-16.91800,-16.91800,,-16.91800,-12.87000,-13.07800,29.36000,29.36000,-0.58000,-0.58000,0.77020,-2.44830,-22.04080,-86.43180,-86.43180,-111.75070,-111.81020,0.23160,7.38100,12.19350,112.76410,99.52350,-25.89460,112.76410,-0.50830,0.0134,0.0114
2024-03-31,13.21100,17.49200,-4.28100,11.74200,,11.74200,-16.02300,-1.36100,-17.38400,0.00600,-17.39000,-17.39000,,-17.39000,-15.81800,-16.02300,29.11600,29.11600,-0.60000,-0.60000,0.77150,12.40080,-32.40480,-121.28530,-121.28530,-131.58730,-131.63270,0.19380,5.40110,16.66340,-1026.56900,5485.80600,-25.50900,-1026.56400,0.05790,-0.26430,-0.26620
2023-12-31,41.00400,45.16300,-4.15900,14.32300,,14.32300,-18.48200,-14.39900,-32.88100,,-32.88300,-32.88300,,-23.62000,-18.14800,-18.48200,15.24500,15.24500,-1.22000,-1.22000,0.97610,1.46540,-10.14290,-45.07370,-45.07370,-80.18970,-57.60410,0.57180,92.76920,0.97010,-222.92040,-258.41260,-45.85430,-222.92050,0.52600,-0.5535,-0.5463
2023-09-30,3.65400,3.33500,0.31900,2.15200,,2.15200,-1.83300,-0.72900,-2.56200,0.00000,-2.56200,-2.56200,-9.26300,-11.82500,-1.83600,-1.83300,16.74700,16.74700,-0.71000,-0.71000,0.11090,,8.73020,-50.16420,-50.16420,-70.11490,-323.61790,0.05190,,,58.85240,58.85240,-3.63700,58.85240,-0.63090,-0.2792,-0.2799
2023-06-30,13.01500,16.16400,-3.14900,6.13200,,6.13200,-9.28100,-0.58100,-9.86200,0.00000,-9.86200,-9.86200,,-9.86200,-9.09400,-9.28100,11.41800,11.41800,-0.86000,-0.86000,0.51880,,-24.19520,-71.31000,-71.31000,-75.77410,-75.77410,0.18350,,,551.67490,551.67370,-13.90800,551.67490,-0.25910,-0.4859,-0.5102
2023-03-31,15.66500,17.36300,-1.69800,6.21500,,6.21500,-7.91300,0.39800,-7.51500,0.00000,-7.51500,-7.51500,,-7.51500,-7.75200,-7.91300,11.26900,11.26900,-0.67000,-0.67000,1.27640,,-10.83950,-50.51390,-50.51390,-47.97320,-47.97320,0.05400,,,-480.97910,-480.97880,-2.59280,-480.97910,0.22640,-0.67510,-0.69910
2022-12-31,,,,,,,-104.41520,-1.42670,-9.13590,-0.23150,-8.90450,-8.90450,,-8.87150,-104.41520,-7.70920,11.26890,11.26890,-0.82000,-0.82000,0.35480,-4.24250,,,,,,,,,157.48990,112.44450,-29.42950,157.07320,-0.50310,-1.7486,-1.7716
2022-09-30,,,,,-0.36260,,-0.36260,0.75680,0.39420,0.14660,0.24760,0.24760,,0.24760,-0.36260,-0.36260,6.90000,6.90000,0.01000,0.01000,7.36000,,,,,,,,,,-3.21520,-3.21530,0.08710,-3.21520,-1.11610,-0.0497,-0.0497
2022-06-30,,,,,-0.61950,,-0.61950,0.37310,-0.24640,0.02990,-0.27620,-0.27620,,-0.27620,-0.61950,-0.61950,6.90000,6.90000,-0.01000,-0.01000,10.78160,,,,,,,,,,3.78820,3.78820,-0.09720,3.78820,-1.05680,-0.0512,-0.0512
2022-03-31,,,,,-0.49370,,-0.49370,0.02680,-0.46690,,-0.46690,-0.46690,,-0.46690,-0.49370,-0.49370,6.90000,6.90000,-0.01000,-0.01000,15.33010,,,,,,,,,,6.79240,6.79240,-0.16410,6.79240,-0.99620,-0.05240,-0.05240
2021-12-31,,,,0.38220,-0.38220,,-0.38220,0.00120,-0.38120,0.00000,-0.38120,-0.38120,0.00000,-0.38120,-0.38220,-0.38220,6.09160,6.09160,,0.00000,22.38580,,,,,,,,,,6.10390,6.10390,-0.13370,6.10390,-0.90510,-0.1776,-0.1776
2021-09-30,,,,,-0.00010,,-0.00010,,-0.00010,,-0.00010,-0.00010,,-0.00010,-0.00010,-0.00010,5.00000,5.00000,0.00000,0.00000,,,,,,,,,,,,,,,,-0.0222,-0.0222
2021-06-30,,,,,-0.00010,,-0.00010,,-0.00010,,-0.00010,-0.00010,,-0.00010,-0.00010,-0.00010,5.00000,5.00000,0.00000,0.00000,,,,,,,,,,,,,,,,0,0
2021-03-31,,,,,-0.00070,,-0.00070,,-0.00070,,-0.00070,-0.00070,,-0.00070,-0.00070,-0.00070,5.00000,5.00000,0.00000,0.00000,,,,,,,,,,,,,,,,0.00000,
