Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,,,,4.34600,3.50000,-0.84600,0.14100,-0.70500,,-0.70500,-0.70500,,-0.70500,-0.85900,-0.84600,13.35800,13.35800,-0.05000,-0.05000,4.72630,,,,,,,,,,,-3.50710,-3.50710,-2.83810,-3.50710,1.50430,-0.2378,-0.2379
2019-06-30,,,4.73900,5.92900,1.41000,-9.25800,-0.17200,-9.43000,,-9.43000,-9.43000,,-9.43000,-8.31200,-9.25800,13.34400,13.34400,-0.71000,-0.71000,8.61480,,,,,,,,,,,-23.54910,-23.54910,-20.93690,-23.54910,2.99980,-0.8896,-0.784
2019-03-31,,,6.36100,3.68300,,-10.04400,-0.41400,-10.45800,,-10.45800,-10.45800,,-10.45800,-9.04100,-10.04400,13.34300,13.34300,-0.78000,-0.78000,5.39140,0.21640,0.30620,,,,,,,,,-21.35860,-21.35860,-14.06530,-16.73740,3.66960,-1.02320,-0.97710
2018-12-31,,,10.23100,4.04100,,-14.27200,-1.50000,-15.77200,-2.89700,-12.87500,-12.87500,3.93100,-8.94400,-13.66200,-14.27200,13.34300,13.34300,-0.67000,-0.67000,5.14380,0.20180,0.25290,,,,,,,,,-21.88920,-21.88920,-14.54100,-17.47140,4.40820,-1.4158,-1.4103
2018-09-30,,,12.95900,3.77700,,-16.73600,-0.40300,-17.13900,-4.79800,-12.34100,-12.34100,16.33000,3.98900,-15.95800,-16.73600,13.34300,13.34300,0.30000,0.30000,3.95500,0.18040,0.22000,,,,,,,,,-18.40760,-18.40760,-11.87590,-15.08770,5.02460,-0.9829,-0.9828
2018-06-30,,,13.67800,3.51300,,-17.19100,-0.57800,-17.76900,,-17.76900,-17.76900,,-17.76900,-16.25400,-17.19100,13.34300,13.34300,-1.33000,-1.33000,3.44980,,,,,,,,,,,-28.53270,-28.53270,-22.14870,-28.53270,4.66730,-1.2173,-1.225
2018-03-31,,,13.10600,4.27000,,-17.37600,-0.40600,-17.78200,,-17.78200,-17.78200,,-17.78200,-16.27800,-17.37600,13.34300,13.34300,-1.33000,-1.33000,4.39770,,,,,,,,,,,-22.43670,-22.43670,-18.23890,-22.43670,5.93970,-1.29950,-1.30070
2017-12-31,,,12.36000,4.65400,,-17.01400,-4.84200,-21.85600,-10.02700,-11.82900,-11.82900,-1.12200,-12.95100,-14.60600,-17.01400,13.23200,13.23200,-0.92000,-0.92000,4.80590,,,,,,,,,,,-12.28550,-12.28550,-10.08220,-12.28550,7.21610,-1.9022,-1.9162
2017-09-30,,,13.59800,3.36600,,-16.96400,9.50800,-7.45600,-2.13300,-5.32300,-5.32300,8.45600,3.10200,-16.20900,-16.96400,13.28200,13.28200,0.24000,0.24000,3.34450,0.30880,0.44690,,,,,,,,,-4.76830,-4.76830,-2.69050,-3.29560,8.41000,-1.9147,-1.9489
2017-06-30,,,19.75100,14.79800,,-34.54900,-25.33600,-59.88500,-30.23900,-29.64600,-29.64600,540.48500,511.56300,-33.67300,-34.54900,13.24600,13.24600,38.62000,38.62000,2.45190,0.31470,0.45920,,,,,,,,,-27.83450,-27.83450,-13.88900,-19.07550,8.02370,-4.9135,-4.8296
2017-03-31,,,21.60500,5.63400,,-27.23900,-1.96700,-29.20600,,-29.20600,-29.20600,-0.94700,-29.68600,-26.05700,-27.23900,13.05900,13.05900,-2.27000,-2.27000,0.42850,-3.77910,-0.79080,,,,,,,,,10.59190,10.59190,-42.55020,50.61960,-20.90330,-0.77770,-0.79990
2016-12-31,,,25.62100,11.01400,,-41.53600,-2.00900,-43.54500,-3.45400,-40.09100,-40.09100,6.46400,-32.44900,-40.82200,-41.53600,12.53300,12.53300,-2.48000,-2.48000,0.65100,-6.33000,-0.86360,,,,,,,,,15.96490,15.96490,-49.20170,117.02330,-19.28730,-2.7991,-2.7878
2016-09-30,,,28.24700,6.44800,,-35.50400,-1.11100,-36.61500,-9.77000,-26.84500,-26.84500,-3.43000,-30.06800,-33.65600,-35.50400,12.92100,12.92100,-2.33000,-2.33000,1.01510,-21.88190,-0.95630,,,,,,,,,11.83740,11.31230,-22.67140,270.86080,-17.52090,-2.5071,-2.5666
2016-06-30,,,27.69500,8.13800,,-35.83300,-15.80000,-51.63300,,-51.63300,-51.63300,0.67500,-50.75000,-34.69800,-35.83300,12.61610,12.61610,-4.00000,-4.00000,1.30970,15.24360,-1.07020,,,,,,,,,25.63650,24.34660,-34.41760,-365.15560,-15.61380,-3.6657,-3.7223
2016-03-31,,,28.00200,6.45200,,-34.45400,-3.26100,-37.71500,,-37.71500,-37.71500,-0.94300,-38.47300,-33.25600,-34.45400,11.60640,11.60640,-3.30000,-3.30000,1.65030,6.09300,-1.19630,,,,,,,,,17.36440,16.54070,-19.54830,-88.43740,-18.65780,-4.61150,-4.71740
2015-12-31,,,4.78500,-14.41200,,9.62700,-4.90200,-63.11500,,-51.90000,-51.90000,,-47.82600,8.55700,-58.21300,11.13600,11.13600,-4.19000,-4.19000,1.94120,3.49470,-1.40080,,,,,,,,,28.21760,26.63070,-22.09640,-70.39480,-15.87350,-0.3832,-0.729
2015-09-30,16.44000,16.44000,37.76300,16.95600,,-38.27900,-4.10700,-42.38600,,-42.38600,-42.38600,,-42.59400,-36.05100,-38.27900,11.24170,11.24170,-3.80000,-3.80000,0.74450,-8.48240,-0.89450,100.00000,-232.84060,-232.84060,-257.82240,-259.08760,0.16010,8.01560,11.22810,30.02990,27.84230,-41.27810,284.75660,-12.26280,-3.653,-4.0027
2015-06-30,36.55800,36.55800,42.80600,12.31500,,-18.56300,-4.33800,-22.90100,,-22.90100,-22.90100,,-22.77800,-17.52500,-18.56300,10.99750,10.99750,-2.10000,-2.10000,0.68950,-6.08890,-0.86630,100.00000,-50.77690,-50.77690,-62.64290,-62.30650,0.34800,20.74800,4.33780,15.97700,14.82200,-21.80160,113.25910,-12.93680,-2.1507,-2.4116
2015-03-31,14.84200,14.84200,35.67900,9.18900,,-30.02600,-4.40600,-34.43200,,-34.43200,-34.43200,,-34.75900,-28.97200,-30.02600,10.71480,10.71480,-3.20000,-3.20000,0.95750,-17.10280,-0.94480,100.00000,-202.30430,-202.30430,-231.99030,-234.19350,0.11680,3.49390,25.75930,26.64640,24.51230,-27.10750,482.37590,-11.81300,-3.27390,-3.38630
2014-12-31,33.90500,33.90500,30.74400,8.27700,,-5.11600,-4.36100,-9.47700,,-9.47700,-9.47700,,-9.69600,-4.70400,-5.11600,10.44100,10.44100,-0.90000,-0.90000,1.18860,23.46320,-1.17490,100.00000,-15.08920,-15.08920,-27.95160,-28.59760,0.21390,10.23390,8.79430,9.27840,8.35200,-5.97900,-208.42320,-9.57290,-3.036,-3.1645
2014-09-30,28.00200,28.00200,43.63200,8.09500,,-23.72500,-4.31300,-28.03800,,-28.03800,-28.03800,,-27.90100,-23.15500,-23.72500,10.48710,10.48710,-2.70000,-2.70000,1.33740,27.84810,-1.19000,100.00000,-84.72610,-84.72610,-100.12860,-99.63930,0.14850,10.90420,8.25370,28.11840,25.23130,-14.86620,-754.92640,-9.43770,5.8886,5.7264
2014-06-30,27.81500,27.81500,33.79500,7.92100,,-13.90100,-4.38900,-18.29000,,-18.29000,-18.29000,,-18.10900,-12.54600,-13.90100,10.38090,10.38090,-1.70000,-1.70000,1.14300,3.75170,-1.50670,100.00000,-49.97660,-49.97660,-65.75590,-65.10520,0.21430,4.21120,21.37160,23.71870,20.64290,-14.08950,-65.26780,-7.37820,-3.1358,-3.2833
2014-03-31,13.03400,13.03400,30.32400,6.22400,,-23.51400,-4.24000,-27.75400,,-27.75400,-27.75400,,-27.58500,-22.62800,-23.51400,10.28880,10.28880,-2.70000,-2.70000,2.43700,2.84130,-1.72540,100.00000,-180.40510,-180.40510,-212.93540,-211.63880,0.07900,1.07230,83.93050,42.07450,35.79590,-16.82240,-77.47100,-6.38190,-3.05060,-3.19040
2013-12-31,7.82300,7.82300,30.05500,6.01000,,-28.24200,-4.10600,-32.34800,,-32.34800,-32.34800,,-33.05900,-27.57900,-28.24200,9.89190,9.89190,-3.30000,-3.30000,2.88640,1.72490,-2.56930,100.00000,-361.01250,-361.01240,-413.49860,-422.58720,0.04070,1.33570,67.38210,74.42310,58.69180,-16.81140,-53.94750,-4.23950,-2.9239,-3.0246
2013-09-30,6.85600,6.85600,37.63000,5.15000,,-35.92400,-3.83900,-39.76300,,-39.76300,-39.76300,,-39.63100,-35.31700,-35.92400,10.11550,10.11550,-3.90000,-3.90000,3.29090,1.18330,-6.84640,100.00000,-523.97910,-523.97910,-579.97380,-578.04840,0.03060,0.77600,115.97870,244.52990,142.05640,-17.73210,-44.83270,-1.58990,-1.9737,-2.5258
2013-06-30,18.45200,18.45200,42.46500,5.09500,,-29.10800,-1.14300,-30.25100,,-30.25100,-30.25100,,-30.08200,-28.48900,-29.10800,9.61700,9.61700,-3.10000,-3.10000,1.48830,-1.10250,-0.69530,100.00000,-157.74980,-157.74980,-163.94430,-163.02840,0.17190,1.26930,70.90450,51.85200,42.63050,-28.18770,109.01650,-6.05450,-2.5132,-2.6114
2013-03-31,14.65500,14.65500,36.98900,4.93200,,-27.26600,-1.05700,-28.32300,,-28.32300,-28.32300,,-28.15300,-26.56600,-27.26600,9.58790,9.58790,-2.90000,-2.90000,2.20950,17.60120,-1.25480,100.00000,-186.05250,-186.05250,-193.26510,-192.10510,0.11510,1.49570,60.17200,88.12380,63.16460,-22.24540,-1462.96400,-3.34970,-2.21070,-2.45620
2012-12-31,14.19100,14.19100,34.56400,4.15500,,-24.52800,-0.36500,-24.89300,,-24.89300,-24.89300,,-22.66100,-23.80700,-24.52800,7.28310,7.28310,13.30000,13.30000,3.33080,1.21050,-6.11550,100.00000,-172.84190,-172.84190,-175.41390,-159.68570,0.09530,1.53130,58.77180,381.96980,128.99930,-16.70960,-80.39070,-0.68010,-4.5166,-4.8024
2012-09-30,11.32300,11.32300,30.88500,4.31200,,-23.87400,0.55400,-23.32000,,-23.32000,-23.32000,,-23.19900,-23.19400,-23.87400,9.37240,9.37240,-2.50000,-2.50000,3.69230,,,100.00000,-210.84520,-210.84520,-205.95250,-204.88390,0.09190,1.87030,48.11980,-179.12260,-14666.98000,-18.92690,-179.12280,1.38460,-1.9778,-2.0314
2012-06-30,12.06300,12.06300,28.75800,3.61000,,-20.30500,0.16600,-20.13900,,-20.13900,-20.13900,,-20.09300,-19.24300,-20.30500,9.05810,9.05810,-2.20000,-2.20000,4.51120,,,100.00000,-168.32460,-168.32460,-166.94850,-166.56720,0.08700,1.73820,51.77820,-60.87050,-99.97030,-14.51920,-60.87050,3.53700,11.9147,12.0915
2012-03-31,11.34400,11.34400,31.65100,3.72800,,-24.03500,0.63300,-23.40200,,-23.40200,-23.40200,,-25.32400,-22.83400,-24.03500,1.18460,1.18460,-21.40000,-21.40000,1.84610,,-0.00020,100.00000,-211.87410,-211.87410,-206.29410,-223.23690,0.17600,1.89700,47.44360,7.50470,41.32730,-36.31150,53.66690,-36.62220,-16.37940,-16.65460
2011-12-31,12.57700,12.57700,27.54000,3.22000,,-18.18300,-0.05800,-18.23000,0.00000,-18.23000,-18.11600,0.00000,-18.11600,-17.05500,-18.18300,1.02930,1.02930,-17.60000,-17.60000,2.50810,,-0.00220,100.02390,-144.57340,-144.57340,-144.94710,-144.04070,0.14740,1.69360,53.13990,6.24870,52.07100,-21.23820,83.51850,-18.32940,-10.599,-12.0753
2011-09-30,8.58200,8.58200,23.91300,3.30600,,-18.63700,-0.08700,-18.72400,,-18.72400,-18.72400,,-20.66100,-17.46000,-18.63700,1.13890,1.13890,-18.10000,-18.10000,,,,100.00000,-217.16380,-217.16380,-218.17760,-240.74810,,,,,,,,,-13.8109,-14.3532
2011-06-30,6.59500,6.59500,31.18700,4.83200,,-29.42400,0.22800,-29.19600,,-29.19600,-29.19600,,-31.18000,-28.28800,-29.42400,1.12820,1.12820,-27.60000,-27.60000,,,,100.00000,-446.15620,-446.15620,-442.69900,-472.78240,,,,,,,,,-17.9431,-19.0608
2011-03-31,6.46100,6.46100,18.00100,3.10100,,-14.64100,1.10600,-13.53500,,-13.53500,-13.53500,,-14.99400,-13.49200,-14.64100,1.11060,1.11060,-13.50000,-13.50000,,,,100.00000,-226.60580,-226.60580,-209.48770,-232.06940,,,,,,,,,-8.95370,-9.46070
2010-12-31,6.30900,6.30900,,,,6.30900,,6.30900,,6.30900,-10.09500,0.00000,-10.09500,6.30900,6.30900,0.61930,0.61930,-16.30000,-16.30000,2.22300,-0.00540,-0.03760,100.00000,100.00000,100.00000,100.00000,-160.00950,0.10960,1.68690,53.35240,4.61090,24.56210,-17.53520,36.66910,-24.99770,-42.5642,-50.6217
2010-09-30,5.73300,5.73300,,,,5.73300,,5.73300,,5.73300,-13.69600,0.00000,-13.69600,5.73300,5.73300,1.02980,1.02980,-13.30000,-13.30000,,,,100.00000,100.00000,100.00000,100.00000,-238.89760,,,,,,,,,0,0
2010-06-30,4.29400,4.29400,,,,4.29400,,4.29400,,4.29400,-13.24900,0.00000,-13.24900,4.29400,4.29400,1.01920,1.01920,-13.00000,-13.00000,,,,100.00000,100.00000,100.00000,100.00000,-308.54680,,,,,,,,,0,0
2010-03-31,3.96900,3.96900,,,,3.96900,,3.96900,,3.96900,-13.06400,0.00000,-13.06400,3.96900,3.96900,0.99730,0.99730,-13.10000,-13.10000,,,,100.00000,100.00000,100.00000,100.00000,-329.15090,,,,,,,,,0.00000,
2009-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
