Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,,0.53100,,-0.53100,0.25200,-0.27900,,-0.27900,-0.27900,,-0.27900,-0.67000,-0.53100,14.32100,14.32100,-0.02000,-0.02000,39.13590,,,,,,,,,,,-1.48360,-1.48360,-1.44570,-1.48360,1.31320,-0.0141,-0.0141
2023-06-30,,,,0.56900,,-0.56900,0.17800,-0.39100,,-0.39100,-0.39100,,-0.39100,-0.56900,-0.56900,14.29400,14.29400,-0.03000,-0.03000,47.30410,,,,,,,,,,,-2.05390,-2.05390,-2.01050,-2.05390,1.32930,-0.0466,-0.0466
2023-03-31,,,,0.58600,0.13900,-0.44700,0.17600,-0.27100,,-0.27100,-0.27100,,-0.27100,-0.44700,-0.44700,14.25200,14.25200,-0.02000,-0.02000,42.39310,,,,,,,,,,,-1.41350,-1.41350,-1.38020,-1.41350,1.34490,-0.02500,-0.02500
2022-12-31,,,,0.60700,,-0.60700,0.11800,-0.48900,,-0.49200,-0.49200,,-0.49200,-0.60700,-0.60700,13.52400,13.52400,-0.03000,-0.03000,33.66380,,,,,,,,,,,-2.55620,-2.55620,-2.48030,-2.55620,1.35400,-0.0127,-0.0127
2022-09-30,,,,0.50400,,-0.50400,0.06200,-0.44200,,-0.44200,-0.44200,,-0.44200,-0.50400,-0.50400,13.41000,13.41000,-0.03000,-0.03000,30.41960,,,,,,,,,,,-3.35130,-3.35130,-3.24120,-3.35130,0.98350,-0.0197,-0.0197
2022-06-30,,,,0.48600,,-0.48600,0.00800,-0.47800,,-0.47800,-0.47800,,-0.47800,-0.48600,-0.48600,13.41000,13.41000,-0.04000,-0.04000,31.84810,,,,,,,,,,,-3.51110,-3.51110,-3.40090,-3.51110,1.01520,-0.07,-0.07
2022-03-31,,,,0.57700,0.44500,-0.13200,,-0.13200,,-0.13200,-0.13200,,-0.13200,-0.13200,-0.13200,13.41000,13.41000,-0.01000,-0.01000,25.91140,,,,,,,,,,,-0.93780,-0.93780,-0.90170,-0.93780,1.04960,-0.02640,-0.02640
2021-12-31,,,,0.47300,0.00000,-0.47300,0.00100,-0.47200,,-0.47500,-0.47500,,-0.47500,-0.47300,-0.47300,13.40700,13.40700,-0.03000,-0.03000,26.12630,,,,,,,,,,,-3.34810,-3.34810,-3.22060,-3.34810,1.05790,-0.0265,-0.0265
2021-09-30,,,,0.61900,0.09400,-0.52500,,-0.52500,,-0.52500,-0.52500,,-0.52500,-0.52500,-0.52500,13.41000,13.41000,-0.04000,-0.04000,22.24600,,,,,,,,,,,-3.59120,-3.59120,-3.43090,-3.59120,1.09020,-0.0332,-0.0332
2021-06-30,,,,0.77800,,-0.77800,0.01900,-0.75900,,-0.75900,-0.75900,,-0.75900,-0.77800,-0.77800,13.41000,13.41000,-0.06000,-0.06000,20.35490,,,,,,,,,,,-5.02950,-5.02950,-4.78470,-5.02950,1.12540,0.076,0.076
2021-03-31,,,,0.74600,0.05000,-0.69600,,-0.69600,,-0.69600,-0.69600,,-0.69600,-0.69600,-0.69600,13.39700,13.39700,-0.05000,-0.05000,23.75730,,,,,,,,,,,-4.41710,-4.41710,-4.23330,-4.41710,1.17500,-0.03260,-0.03260
2020-12-31,,,,0.88600,,-0.88600,-0.20800,-1.09400,,-1.10800,-1.10800,,-1.10800,-0.88600,-0.88600,13.38000,13.38000,-0.08000,-0.08000,21.48570,,,,,,,,,,,-6.92240,-6.92240,-6.60470,-6.92240,1.19630,-0.1328,-0.1328
2020-09-30,,,,1.00700,,-1.00700,0.00100,-1.00600,,-1.00600,-1.00600,,-1.00600,-1.00700,-1.00700,13.38000,13.38000,-0.08000,-0.08000,8.42380,,,,,,,,,,,-6.00960,-6.00960,-5.30650,-6.00960,1.25110,0.0101,0.0101
2020-06-30,,,,1.18400,,-1.18400,0.02100,-1.16300,,-1.16300,-1.16300,,-1.16300,-1.18400,-1.18400,13.38000,13.38000,-0.09000,-0.09000,8.29380,,,,,,,,,,,-6.70470,-6.70470,-5.90930,-6.70470,1.29640,-0.1479,-0.1479
2020-03-31,,,,1.93500,2.13900,0.20400,0.04500,0.24900,,0.24900,0.24900,,0.24900,0.20400,0.20400,13.38000,13.38000,0.02000,0.02000,6.05950,,,,,,,,,,,1.37990,1.37990,1.16680,1.37990,1.34870,-0.07510,-0.07510
2019-12-31,,,0.00000,2.21100,0.00000,-2.21100,0.06400,-2.14700,,-0.67400,-0.67400,,3.26100,-2.21100,-2.21100,13.35300,13.35300,0.24000,0.24000,6.74800,,,,,,,,,,,-3.89330,-3.89330,-3.35620,-3.89330,1.29390,-0.1985,-0.1985
