Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.92700,0.51300,1.41400,2.16400,3.21700,5.38100,-3.96700,-0.31800,-4.28500,-4.28500,-4.28500,,-4.28500,-3.94400,-3.96700,31.03900,31.03900,-0.14000,-0.14000,0.71390,,8.59980,73.37830,-205.86400,-205.86400,-222.36640,-222.36640,0.08010,0.21590,1.89670,47.45200,-352.08340,86.53070,-17.80520,-352.09530,0.03920,-0.1011,-0.1011
2024-06-30,2.17100,0.35600,1.81500,2.24700,2.97200,5.21900,-3.40400,-0.29600,-3.70000,-3.70000,-3.70000,,-3.70000,-3.40600,-3.40400,31.03800,31.03800,-0.12000,-0.12000,0.90980,,2.49060,83.60200,-156.79410,-156.79410,-170.42840,-170.42840,0.07270,0.14390,2.14530,41.95300,-73.45630,326.85530,-12.39370,-73.45640,0.16230,-0.1153,-0.1153
2024-03-31,1.82700,0.28900,1.53800,4.11900,3.13600,7.25500,-5.71700,-1.92600,-7.64300,-7.64300,-7.64300,,-7.64300,-5.66600,-5.71700,30.63700,30.63700,-0.25000,-0.25000,1.05440,,1.76050,84.18170,-312.91730,-312.91730,-418.33610,-418.33610,0.05040,0.12050,1.79120,50.24630,-92.08440,-358.65770,-21.10100,-92.08430,0.26740,-0.22080,-0.22080
2023-12-31,2.66900,0.65800,2.01100,5.61300,2.65200,8.26500,-6.25400,4.81300,-1.44100,-1.44100,-1.44100,,-1.44100,-6.02100,-6.25400,26.25600,26.52000,0.02000,-0.08000,1.28360,,1.12720,75.34660,-234.31990,-234.31990,-53.99030,-53.99030,0.05910,0.29650,2.11660,42.52150,-9.74770,-16.72860,-3.18880,-9.74770,0.48730,-0.3494,-0.3463
2023-09-30,1.74400,0.31200,1.43200,7.19900,3.79000,10.98900,-9.55700,6.54200,-3.01500,-3.01500,-3.01500,,-3.01500,-9.48100,-9.55700,27.21100,27.51100,-0.11000,-0.14000,1.19120,,1.29810,82.11010,-547.99310,-547.99310,-172.87840,-172.87840,0.03190,0.12380,1.97510,45.56770,-20.92870,-36.60310,-5.50910,-20.92880,0.50500,-0.1891,-0.1894
2023-06-30,2.08100,0.35900,1.72200,7.94600,3.82700,11.77300,-10.05100,-1.13000,-11.18100,-11.18100,-11.18100,,-11.18100,-10.01700,-10.05100,24.50800,24.50800,-0.46000,-0.46000,0.97250,,3.76750,82.74870,-482.98890,-482.98890,-537.28970,-537.28970,0.04280,0.15870,1.59590,56.39600,-203.28930,1671.30000,-22.97920,-203.29090,0.22350,-0.3723,-0.3739
2023-03-31,2.05400,0.38800,1.66600,8.59300,4.09500,12.68800,-11.02200,-0.96500,-11.98700,-11.98700,-11.98700,,-11.98700,-10.97800,-11.02200,23.76700,23.94000,-0.50000,-0.52000,1.20000,,1.38850,81.11000,-536.61150,-536.61150,-583.59300,-583.59300,0.03520,0.17550,1.46610,61.38750,-78.13190,-130.67700,-20.54360,-78.13190,0.67380,-0.38690,-0.38690
2022-12-31,3.31500,0.51500,2.80000,9.95300,4.34500,14.29800,-11.49800,1.02900,-10.46900,-10.46900,-10.46900,,-10.46900,-11.36700,-11.49800,22.77700,22.77700,-0.45000,-0.45000,1.51140,,0.84730,84.46460,-346.84770,-346.84770,-315.80690,-315.80690,0.05520,0.24370,0.96840,92.93210,-41.90120,-55.63880,-17.41930,-41.90120,1.09660,-0.3693,-0.3701
2022-09-30,11.97700,0.34500,11.63200,9.88100,3.88300,13.76400,-2.13200,-0.33900,-2.47100,-2.47100,-2.47100,,-2.47100,-1.96900,-2.13200,22.77700,22.77700,-0.11000,-0.11000,4.44310,0.33970,0.60350,97.11950,-17.80080,-17.80080,-20.63120,-20.63120,0.17490,0.15200,3.70920,24.26400,-7.08960,-8.61430,-3.60880,-4.68150,1.53010,-0.0978,-0.099
2022-06-30,2.07600,0.39300,1.68300,8.81700,3.95200,12.76900,-11.08600,-0.46500,-11.55100,-11.55100,-11.55100,,-11.55100,-10.92500,-11.08600,22.77400,22.77400,-0.51000,-0.51000,5.70710,0.35210,0.56940,81.06940,-534.00770,-534.00770,-556.40660,-556.40660,0.02970,0.18420,1.72430,52.19650,-31.47070,-37.82870,-16.50640,-20.38900,1.61150,-0.4425,-0.444
2022-03-31,1.91500,0.33500,1.58000,8.21100,3.73500,11.94600,-10.36600,-0.47600,-10.84200,-10.84200,-10.84200,,-10.84200,-10.20700,-10.36600,22.76800,22.76800,-0.48000,-0.48000,7.82830,0.30370,0.43620,82.50650,-541.30550,-541.30550,-566.16190,-566.16190,0.02380,0.16140,1.99480,45.11750,-22.77390,-26.16440,-13.46310,-15.85740,2.09080,-0.24420,-0.24560
2021-12-31,7.29700,0.88000,6.41700,8.41500,4.51400,12.92900,-6.51200,-0.49600,-7.00800,-7.00800,-7.00800,,-7.00800,-6.19100,-6.51200,22.50500,22.50500,-0.31000,-0.31000,8.12820,0.26310,0.35710,87.94030,-89.24220,-89.24220,-96.03940,-96.03940,0.07930,0.47060,1.12660,79.88630,-12.12830,-13.57800,-7.61820,-8.93720,2.53790,-0.5062,-0.5068
2021-09-30,2.16500,0.36400,1.80100,8.02300,3.23600,11.25900,-9.45800,-0.51900,-9.97700,-9.97700,-9.97700,,-9.97700,-9.30800,-9.45800,22.74990,22.74990,-0.40000,-0.40000,9.12180,0.24250,0.32010,83.18710,-436.85910,-436.85910,-460.83150,-460.83150,0.02210,0.16040,2.28860,39.32560,-15.58250,-17.24390,-10.18460,-11.80390,2.81430,-0.3233,-0.3304
2021-06-30,2.30300,0.35900,1.94400,7.43300,3.16800,10.60100,-8.65700,-0.48900,-9.14600,-9.14600,-9.14600,,-9.14600,-8.56200,-8.65700,22.74280,22.74280,-0.40000,-0.40000,11.60330,0.21700,0.27710,84.41160,-375.90100,-375.90100,-397.13420,-397.13420,0.02170,0.18720,2.82230,31.88880,-12.44980,-13.59110,-8.60660,-9.74810,3.22920,-0.3361,-0.3369
2021-03-31,2.21200,0.35200,1.86000,7.97500,3.53100,11.50600,-9.64600,-0.48800,-10.13400,-10.13400,-10.13400,,-10.13400,-9.54900,-9.64600,21.75370,21.75370,-0.50000,-0.50000,8.95510,0.18100,0.25640,84.08680,-436.07600,-436.07600,-458.13750,-458.13750,0.01910,0.18010,2.22760,40.40240,-12.40040,-13.41290,-8.73210,-10.15580,3.59460,-0.49230,-0.49240
