Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,49.85000,40.66800,9.18200,5.64200,0.05000,5.59200,3.59000,0.63400,4.22400,0.82000,3.40400,3.40400,3.40400,4.29400,3.59000,33.83700,33.83700,0.10000,0.10000,4.68790,18.41930,7.20160,7.20160,8.47340,6.82850,0.28270,0.77320,8.80430,10.22230,2.64300,2.72280,1.93060,2.64300,3.71020,0.1517,0.0968
2024-06-30,69.54700,56.37300,13.17400,7.42400,,7.42400,5.75000,0.87900,6.62900,1.04400,5.58500,5.58500,4.86600,6.45200,5.75000,33.82200,33.82200,0.14000,0.14000,4.79010,18.94260,8.26780,8.26780,9.53170,6.99670,0.39580,1.06200,11.66700,7.71410,4.32090,4.45080,3.17820,4.32090,3.72300,0.1121,0.089
2024-03-31,69.34000,55.35600,13.98400,8.74200,,8.74200,5.24200,0.85100,6.09300,1.49600,4.59700,4.59700,4.59700,5.92400,5.24200,33.75200,33.75200,0.13000,0.13000,4.69610,20.16730,7.55980,7.55980,8.78710,6.62970,0.33980,1.00260,8.94360,10.06300,3.03670,3.11430,2.25300,3.03670,4.36470,0.47150,0.44540
2023-12-31,70.87100,57.40800,13.46300,7.71800,0.07400,7.64400,5.81900,0.79400,6.61300,1.19100,5.42200,5.42200,4.76600,6.48500,5.81900,33.60900,33.60900,0.15000,0.15000,6.17030,18.99650,8.21070,8.21070,9.33100,6.72490,0.36570,0.93180,24.98980,3.60150,3.57680,3.66810,2.79770,3.57680,4.39810,0.4966,0.4788
2023-09-30,77.78600,58.54800,19.23800,8.78900,1.96200,6.82700,12.41100,0.86000,13.27100,2.86800,10.40300,10.40300,10.40300,13.02100,12.41100,33.62800,33.62800,0.30000,0.30000,5.13420,24.73200,15.95530,15.95530,17.06090,13.37390,0.39540,0.83900,7.10890,12.66010,6.93010,7.10880,5.28790,6.93010,4.35530,-0.0184,-0.0208
2023-06-30,116.15800,87.50200,28.65600,12.17300,,12.17300,16.48300,0.72300,17.20600,2.88500,14.32100,14.32100,13.97800,17.10000,16.48300,33.61900,33.61900,0.42000,0.42000,5.02400,24.66990,14.19020,14.19020,14.81260,12.03360,0.61050,1.42290,9.23060,9.75020,9.96610,10.23480,7.52640,9.96610,4.16910,0.4102,0.2495
2023-03-31,118.91400,89.89200,29.02200,14.53300,,14.53300,14.48900,0.48300,14.97200,3.42300,11.54900,11.54900,11.54900,15.01200,14.48900,33.55800,33.55800,0.34000,0.34000,4.17700,24.40590,12.18440,12.18440,12.59060,9.71210,0.64570,1.34490,10.71880,8.39650,8.69220,8.94630,6.27060,8.69220,3.85810,0.80300,0.74970
2022-12-31,108.50900,81.18900,27.32000,12.47200,,12.47200,14.84800,0.28600,15.13400,3.27700,11.85700,11.85700,10.99900,15.33700,14.84800,33.44000,33.44000,0.34000,0.34000,5.29880,25.17760,13.68370,13.68370,13.94720,10.13650,0.66280,1.11200,20.21400,4.45240,9.53280,9.83100,7.24250,9.53280,3.63500,0.6649,0.6312
2022-09-30,100.06100,75.05600,25.00500,10.32600,,10.32600,14.67900,0.07600,14.75500,3.28300,11.47200,11.47200,11.47200,15.15900,14.67900,33.45700,33.45700,0.34000,0.34000,4.06100,24.98980,14.67010,14.67010,14.74600,11.46500,0.61890,0.90630,8.63340,10.42460,9.87320,10.20460,7.09560,9.87320,3.39570,0.2979,0.2807
2022-06-30,95.81300,72.81600,22.99700,9.88300,,9.88300,13.11400,-0.00700,13.10700,3.15200,9.95500,9.95500,9.95500,13.57800,13.11400,33.44800,33.44800,0.29000,0.29000,4.24370,24.00200,13.68710,13.68710,13.67980,10.39000,0.64040,0.93030,10.17020,8.84940,9.20700,9.53990,6.65430,9.20700,3.15800,0.3776,0.3599
2022-03-31,76.61200,58.21700,18.39500,9.24000,,9.24000,9.15500,-0.01700,9.13800,2.07500,7.06300,7.06300,7.06300,9.62700,9.15500,33.40700,33.40700,0.21000,0.21000,4.19880,24.01060,11.94980,11.94980,11.92760,9.21920,0.54080,0.74470,7.46050,12.06350,6.96390,7.23300,4.98550,6.96390,2.97060,0.13530,0.12920
2021-12-31,76.53700,57.37900,19.15800,8.49700,,8.49700,10.66100,-0.00600,10.65500,2.20700,8.44800,8.44800,8.28300,11.13200,10.66100,33.31200,33.31200,0.24000,0.24000,5.15300,25.03100,13.92920,13.92920,13.92140,10.82220,0.57620,0.78320,23.39150,3.84760,8.57450,8.91590,6.35950,8.57450,2.89850,0.2724,0.2566
2021-09-30,75.84300,59.79900,16.04400,7.70100,,7.70100,8.34300,0.00400,8.34700,1.66000,6.68700,6.68700,6.55600,8.79100,8.34300,33.32100,33.32100,0.20000,0.20000,3.34000,21.15420,11.00040,11.00040,11.00560,8.64420,0.54250,0.77920,7.08090,12.71030,7.09620,7.39220,4.78350,7.09620,2.77210,-0.4419,-0.4472
2021-06-30,67.25900,52.65100,14.60800,7.24500,,7.24500,7.36300,0.01000,7.37300,1.57900,5.79400,5.79400,5.68200,7.81300,7.36300,33.32100,33.32100,0.17000,0.17000,3.20710,21.71900,10.94720,10.94720,10.96210,8.44790,0.49360,0.92190,8.15850,11.03140,6.36450,6.63970,4.25230,6.36450,2.67800,-0.0609,-0.0702
2021-03-31,78.37500,59.91300,18.46200,8.43700,,8.43700,10.02500,0.00800,10.03300,1.93600,8.09700,8.09700,7.93900,10.47200,10.02500,33.28700,33.28700,0.24000,0.24000,3.33150,23.55600,12.79110,12.79110,12.80130,10.12950,0.60210,1.30450,9.46790,9.50580,9.12490,9.53010,6.22060,9.12490,2.61030,0.24410,0.23710
2020-12-31,71.11000,53.67900,17.43100,8.34800,,8.34800,9.08300,0.00900,9.09200,2.09800,6.99400,6.99400,6.77500,9.52800,9.08300,33.19200,33.19200,0.21000,0.21000,3.71780,24.51270,12.77320,12.77320,12.78580,9.52750,0.59550,1.26870,15.11050,5.95610,8.27510,8.66170,5.85650,8.27510,2.49550,0.2185,0.1992
2020-09-30,68.77800,52.54200,16.23600,7.88600,,7.88600,8.35000,0.01000,8.36000,1.82500,6.53500,6.53500,6.39600,8.78600,8.35000,33.21300,33.21300,0.19000,0.19000,3.27430,23.60640,12.14050,12.14050,12.15510,9.29950,0.58550,1.22500,7.88470,11.41460,8.12050,8.52000,5.56310,8.12050,2.37610,0.3294,0.3175
2020-06-30,40.81800,32.98700,7.83100,5.75700,,5.75700,2.07400,0.01500,2.08900,0.38200,1.70700,1.70700,1.64900,2.61100,2.07400,33.21100,33.21100,0.05000,0.05000,3.32330,19.18520,5.08110,5.08110,5.11780,4.03990,0.36810,0.76380,4.19850,21.43610,2.22940,2.34490,1.53950,2.22940,2.25410,0.1696,0.1586
2020-03-31,59.11900,47.01200,12.10700,7.25300,,7.25300,4.85400,0.06100,4.91500,0.70700,4.20800,4.20800,4.20800,5.39000,4.85400,33.94000,33.16500,0.12000,0.12000,3.29020,20.47900,8.21060,8.21060,8.31370,7.11780,0.53830,1.02320,5.96980,15.07590,5.46590,5.74760,3.83160,5.46590,2.26620,0.18250,0.16250
2019-12-31,48.17500,37.65300,10.52200,6.34400,,6.34400,4.17800,0.08800,4.26600,0.72400,3.54200,3.54200,3.28100,4.71200,4.17800,33.23000,33.23000,0.11000,0.11000,4.16210,21.84120,8.67250,8.67250,8.85520,6.81060,0.45980,0.90610,6.41140,14.03760,4.58740,4.82300,3.38090,4.58740,2.27970,0.1747,0.1651
2019-09-30,72.21200,56.46300,15.74900,6.03900,,6.03900,9.71000,0.08300,9.79300,1.93800,7.85500,7.85500,7.85500,10.23900,9.71000,33.18400,33.18400,0.23000,0.23000,3.12570,21.80940,13.44650,13.44650,13.56150,10.87770,0.60670,1.25440,4.76210,18.89940,9.56330,10.02370,6.59910,9.56330,2.41860,0.4743,0.4653
2019-06-30,88.69600,68.27200,20.42400,9.04500,,9.04500,11.37900,0.09500,11.47400,2.10100,9.37300,9.37300,9.14800,11.90100,11.37900,33.25800,33.25800,0.27000,0.27000,3.14700,23.02700,12.82920,12.82920,12.93630,10.31390,0.77900,1.34120,5.96320,15.09270,11.85320,12.44710,8.23250,11.85320,2.32260,0.0108,-0.0077
2019-03-31,83.05300,64.35400,18.69900,9.83100,,9.83100,8.86800,0.05700,8.92500,1.45600,7.46900,7.46900,7.28600,9.36800,8.86800,34.24300,33.37100,0.22000,0.22000,2.78160,22.51450,10.67750,10.67750,10.74620,8.77270,0.74960,1.34560,8.02750,11.21140,10.06200,10.60080,6.74130,10.06200,2.17520,0.36090,0.32770
2018-12-31,62.06200,49.04500,13.01700,7.00100,,7.00100,6.01600,0.04800,6.06400,1.33600,4.72800,4.72800,5.18600,6.51900,6.01600,34.52900,33.57000,0.14000,0.14000,3.55590,20.97420,9.69350,9.69350,9.77090,8.35620,0.61520,1.04860,14.35290,6.27050,6.28620,6.61820,4.68680,6.28620,2.19100,0.137,0.1298
2018-09-30,72.01200,55.82900,16.18300,6.99600,,6.99600,9.18700,0.10200,9.28900,2.12800,7.16100,7.16100,7.16100,9.71600,9.18700,33.58900,33.58900,0.21000,0.21000,2.71670,22.47260,12.75760,12.75760,12.89920,9.94420,0.63100,1.11950,9.63370,9.34220,8.89620,9.33370,6.27500,8.89620,2.33330,0.0024,-0.0331
2018-06-30,87.00600,67.53400,19.47200,8.32100,,8.32100,11.15100,0.08500,11.23600,2.24600,8.99000,8.99000,8.74400,11.64800,11.15100,33.60800,33.60800,0.26000,0.26000,2.32950,22.38010,12.81640,12.81640,12.91410,10.04990,0.75700,1.50310,9.95610,9.03970,11.64950,12.24830,7.82190,11.64950,2.23370,0.3156,0.3034
2018-03-31,77.53600,59.88500,17.65100,8.61800,,8.61800,9.03300,0.03300,9.06600,1.45700,7.60900,7.60900,7.39700,9.53700,9.03300,33.62100,33.62100,0.22000,0.22000,2.36320,22.76490,11.65010,11.65010,11.69260,9.54010,0.72600,1.35980,8.68070,10.36780,10.66360,11.25890,7.12500,10.66360,2.06430,0.22340,0.21420
2017-12-31,65.59100,51.22500,14.36600,6.89600,,6.89600,7.47000,0.04000,7.51000,4.15400,3.35600,3.35600,3.69500,7.98600,7.47000,34.84300,33.75200,0.09000,0.09000,2.79880,21.90240,11.38880,11.38880,11.44970,5.63340,0.68400,1.34780,17.42130,5.16610,4.82160,5.09790,3.49950,4.82160,2.01330,0.3327,0.3065
2017-09-30,59.20100,45.74000,13.46100,6.79200,,6.79200,6.66900,0.08100,6.75000,2.18600,4.56400,4.56400,4.42800,7.18500,6.66900,33.77300,33.77300,0.13000,0.13000,2.68100,22.73780,11.26500,11.26500,11.40180,7.47960,0.58560,1.10370,7.02020,12.82020,6.28080,6.62480,4.51470,6.28080,2.08950,0.0176,-0.0005
2017-06-30,71.48400,55.19700,16.28700,7.56500,,7.56500,8.72200,0.05700,8.77900,2.66000,6.11900,6.11900,5.91600,9.21800,8.72200,33.82000,33.82000,0.18000,0.18000,2.34790,22.78410,12.20130,12.20130,12.28110,8.27600,0.69750,1.33910,11.02130,8.16600,8.60460,9.08670,5.97050,8.60460,2.03860,0.2303,0.2127
2017-03-31,71.04000,56.13400,14.90600,8.00800,,8.00800,6.89800,0.05100,6.94900,1.68800,5.26100,5.26100,5.26100,7.32100,6.89800,33.78600,33.78600,0.15000,0.15000,2.38530,20.98260,9.71000,9.71000,9.78180,7.40570,0.72420,1.45550,7.50320,11.99490,7.78350,8.24360,5.36320,7.78350,1.93360,0.29750,0.28830
