Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2019-12-31,13.98300,9.03700,4.94600,3.77600,2.60100,,6.37700,-1.43100,-3.36700,-4.79800,-0.85300,-3.94500,-3.94500,-3.94500,-1.27400,-1.43100,8.88900,8.88900,-0.44000,-0.44000,2.79560,,35.37150,-10.23380,-10.23380,-34.31310,-28.21280,0.09240,1.47130,0.17970,500.95040,-3.97730,-3.97730,-2.60740,-3.97730,11.16830,0.3716,0.3709
2019-09-30,13.07800,5.88200,7.19600,3.32200,6.24300,,9.56500,-2.36900,0.21800,-2.15100,-0.05900,-2.09200,-2.09200,-2.09200,-2.20900,-2.36900,8.89100,8.89100,-0.24000,-0.24000,2.53290,0.04610,55.02370,-18.11440,-18.11440,-16.44750,-15.99630,0.08070,0.60720,0.14940,602.32150,,-2.08410,-1.29110,-2.08410,,-1.0486,-1.0716
2019-06-30,13.90800,8.87700,5.03100,4.00800,3.08700,,7.09500,-2.06400,3.95500,1.89100,0.16900,1.72200,1.72200,1.72200,-1.87700,-2.06400,8.88950,8.88950,0.20000,0.20000,2.30750,,36.17340,-14.84040,-14.84040,13.59650,12.38140,0.07630,0.99800,0.16310,551.76440,,1.64190,0.94500,1.64190,,-1.0859,-1.0858
2019-03-31,24.65400,17.67000,6.98400,3.36100,3.89600,,7.25700,-0.27300,1.38700,1.11400,0.71200,0.40200,0.40200,0.40200,-0.13300,-0.27300,8.87450,8.87450,0.04000,0.04000,2.12460,,28.32810,-1.10730,-1.10730,4.51850,1.63060,0.13080,1.34720,0.31300,287.55170,,0.39380,0.21320,0.39380,,-0.95360,-0.98700
2018-12-31,12.72600,6.96300,5.76300,4.47100,3.80200,,8.27300,-2.51000,1.29400,-1.21600,0.05500,-1.27100,-1.27100,-1.27100,-2.35000,-2.51000,8.91050,9.07980,-0.12000,-0.16000,2.29470,,45.28530,-19.72340,-19.72340,-9.55520,-9.98740,0.07170,0.26390,0.20980,429.03810,-1.24410,-1.24410,-0.71630,-1.24410,11.57100,0.5347,0.5347
2018-09-30,52.09200,42.20900,9.88300,2.57100,3.23400,,5.80500,4.07800,-1.53800,2.54000,0.39300,2.14700,2.14700,2.14700,4.24800,4.07800,8.90650,8.90650,0.24000,0.24000,1.81510,,18.97220,7.82850,7.82850,4.87600,4.12160,0.24570,2.03860,0.52860,170.26090,,2.13350,1.01280,2.13350,,-1.3096,-1.3097
2018-06-30,28.53600,21.05900,7.47700,2.76000,4.22500,,6.98500,0.49200,-0.13900,0.35300,0.44000,-0.08700,-0.08700,-0.08700,0.67700,0.49200,8.93500,8.93500,0.00000,0.00000,1.82170,,26.20200,1.72410,1.72410,1.23700,-0.30490,0.13460,0.35480,0.81490,110.44050,,-0.08680,-0.04100,-0.08680,,-1.5288,-1.5254
2018-03-31,22.59000,13.44500,9.14500,2.94300,3.89500,,6.83800,2.30700,0.45800,2.76500,-1.26600,4.03100,4.03100,4.03100,2.49400,2.30700,8.93650,8.93650,0.44000,0.44000,2.07470,,40.48250,10.21250,10.21250,12.23990,17.84420,0.11780,0.34570,1.02020,88.21510,,3.92160,2.10180,3.92160,,-0.57150,-0.59960
2017-12-31,18.23500,13.67100,4.56400,3.55800,2.93700,,6.49500,-1.93100,0.13700,-1.79400,1.75800,-3.55200,-3.55200,-3.55200,-1.76900,-1.93100,8.86680,9.04400,-0.40000,-0.44000,1.88990,,25.02880,-10.58960,-10.58950,-9.83820,-19.47900,0.09750,0.79770,1.07830,83.46530,-3.90360,-3.90360,-1.89900,-3.90360,10.25090,-1.0944,-1.1386
2017-09-30,26.03400,15.47900,10.55500,2.20700,5.28400,,7.49100,3.06400,-0.07900,2.98500,0.79500,2.19000,2.19000,2.19000,3.21500,3.06400,8.87100,8.87100,0.24000,0.24000,2.07290,,40.54310,11.76920,11.76920,11.46580,8.41210,0.14710,,1.78400,50.44830,,2.33760,1.23730,2.33760,,0.2915,0.2749
