Date,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,136.37400,136.37400,9.17900,127.19500,127.19500,127.19500,114.04200,114.04200,1.12000,1.12000,6.06230,6.06230,6.06020,6.06230,18.49630,0.7238,0.7238
2024-06-30,122.70500,122.70500,9.18200,113.52300,113.52300,113.52300,115.03400,115.03400,0.99000,0.99000,5.44460,5.44460,5.44320,5.44460,18.03380,0.7305,0.7305
2024-03-31,86.28100,86.28100,9.05900,77.22200,77.22200,77.22200,114.70400,114.70400,0.67000,0.67000,3.73350,3.73350,3.73280,3.73350,17.96020,0.76440,0.76440
2023-12-31,88.51700,88.51700,9.31900,79.19800,79.19800,79.19800,112.94800,112.94800,0.72000,0.72000,3.81450,3.81450,3.81210,3.81450,18.14330,0.6486,0.6486
2023-09-30,65.76100,65.76100,8.77000,56.99100,56.99100,56.99100,113.18500,113.18500,0.50000,0.50000,2.88930,2.88930,2.88850,2.88930,17.64350,0.612,0.612
2023-06-30,69.12100,69.12100,8.56300,60.55800,60.55800,60.55800,113.49400,113.49400,0.53000,0.53000,2.96300,2.96300,2.96240,2.96300,17.99860,0.6553,0.6553
2023-03-31,76.38200,76.38200,8.94500,67.43700,67.43700,67.43700,113.54700,113.54700,0.59000,0.59000,3.28680,3.28680,3.28480,3.28680,18.08100,0.68680,0.68680
2022-12-31,71.88800,71.88800,8.10800,63.78000,63.78000,63.78000,101.76300,101.76400,0.57000,0.57000,3.07670,3.07670,3.07430,3.07670,18.21600,0.6899,0.6899
2022-09-30,63.90500,63.90500,7.58900,56.31600,56.31600,56.31600,100.46600,100.46600,0.56000,0.56000,3.58760,3.58760,2.83040,3.58760,15.63480,0.6668,0.6668
2022-06-30,75.35800,75.35800,7.21700,68.14100,68.14100,68.14100,98.80200,98.80200,0.69000,0.69000,4.66230,4.66230,4.66000,4.66230,15.02600,0.925,0.925
2022-03-31,94.35300,94.35300,8.42500,85.92800,85.92800,85.92800,99.20200,99.20500,0.87000,0.87000,5.41370,5.41370,5.41030,5.41370,15.93710,1.28160,1.28160
2021-12-31,134.09100,134.09100,8.92800,125.16300,125.16300,125.16300,99.54500,99.55600,1.27000,1.27000,7.71840,7.71840,7.70820,7.71840,16.33520,0.8715,0.8715
2021-09-30,95.92100,95.92100,7.24500,88.67600,88.67600,88.67600,99.41000,99.41300,0.89000,0.89000,5.72230,5.72230,5.72030,5.72230,15.69210,0.9095,0.9095
2021-06-30,97.40700,97.40700,6.49000,90.91700,90.91700,90.91700,100.15900,100.17100,0.91000,0.91000,5.66750,5.66740,5.66470,5.66740,16.07270,0.7463,0.7463
2021-03-31,88.90700,88.90700,7.82000,81.08700,81.08700,81.08700,100.14600,100.17800,0.81000,0.81000,4.98910,4.98910,4.96570,4.98910,16.17360,1.03960,1.03960
2020-12-31,101.41500,101.41500,8.21900,93.19600,93.19600,93.19600,96.87000,96.89700,0.96000,0.96000,5.80970,5.80970,5.80290,5.80970,16.31520,0.674,0.674
2020-09-30,73.87400,73.87400,6.87500,66.99900,66.99900,66.99900,96.35000,96.37700,0.70000,0.70000,4.47860,4.47860,4.47740,4.47860,15.55500,0.6208,0.6208
2020-06-30,63.20100,63.20100,6.27500,56.92600,56.92600,56.92600,96.89200,96.90200,0.59000,0.59000,3.82900,3.82900,3.82830,3.82900,15.41730,0.6477,0.6477
2020-03-31,69.91400,69.91400,7.65500,62.25900,62.25900,62.25900,98.30900,98.34100,0.63000,0.63000,4.10560,4.10560,4.10340,4.10560,15.50650,0.84410,0.84410
2019-12-31,87.90900,87.90900,7.88700,80.02200,80.02200,80.02200,95.88400,95.92800,0.84000,0.84000,5.15430,5.15430,5.14850,5.15430,15.81120,0.6349,0.6349
2019-09-30,66.72200,66.72200,6.89400,59.82800,59.82800,59.82800,96.37600,96.41200,0.62000,0.62000,4.11300,4.11300,4.11090,4.11300,15.15340,0.5592,0.5592
2019-06-30,59.02300,59.02300,6.74900,52.27400,52.27400,52.27400,96.28300,96.33100,0.54000,0.54000,3.55750,3.55750,3.55590,3.55750,15.20760,0.4992,0.4992
2019-03-31,52.63800,52.63800,6.19900,46.43900,46.43900,46.43900,95.14400,95.21600,0.49000,0.49000,3.24870,3.24870,3.24860,3.24870,15.04790,0.62880,0.62880
2018-12-31,66.75900,66.75900,6.87900,59.88000,59.88000,59.88000,97.04100,97.29200,0.63000,0.63000,4.01860,4.01860,4.01690,4.01860,15.41570,0.6863,0.6863
2018-09-30,72.80200,72.80200,6.90200,65.90000,65.90000,65.90000,97.40900,97.65400,0.68000,0.68000,4.42680,4.42680,4.42520,4.42680,15.44700,0.6346,0.6346
2018-06-30,65.38800,65.38800,6.93100,58.45700,58.45700,58.45700,98.36800,98.64000,0.59000,0.59000,3.81000,3.81000,3.80840,3.81000,15.65160,0.7266,0.7266
2018-03-31,65.69800,65.69800,7.53800,58.16000,58.16000,58.16000,96.98700,97.32300,0.60000,0.60000,3.72650,3.72650,3.72620,3.72650,15.98370,0.82310,0.82310
2017-12-31,85.72500,85.72500,7.13200,78.59300,78.59300,78.59300,94.73300,95.16300,0.84000,0.84000,5.09170,5.09170,5.08790,5.09170,16.00160,0.4763,0.4763
2017-09-30,49.05500,49.05500,5.87700,43.17800,43.17800,43.17800,93.37400,93.77400,0.46000,0.46000,2.99550,2.99550,2.99500,2.99550,15.39580,0.5233,0.5233
2017-06-30,47.94700,47.94700,6.20600,41.74100,41.74100,41.74100,96.06100,96.49100,0.43000,0.43000,2.89770,2.89770,2.89660,2.89770,15.40600,0.4628,0.4628
2017-03-31,49.66600,49.66600,5.75600,43.91000,43.91000,43.91000,96.23800,96.77200,0.46000,0.46000,2.90440,2.90440,2.90380,2.90440,15.67130,0.66460,0.66460
2016-12-31,78.63000,78.63000,5.96600,72.66400,72.66400,72.66400,96.83400,97.38800,0.77000,0.76000,4.71880,4.71880,4.71690,4.71880,15.93230,0.4244,0.4244
2016-09-30,55.92500,55.92500,5.66700,50.25800,50.25800,50.25800,95.89000,96.48000,0.52000,0.52000,3.40780,3.40780,3.40700,3.40780,15.55400,0.4173,0.4173
2016-06-30,44.65700,44.65700,5.58500,39.07200,39.07200,39.07200,97.46300,98.11300,0.40000,0.40000,2.57260,2.57260,2.57240,2.57260,15.73270,0.3395,0.3395
