Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,,-0.37130,,-0.37130,-0.12130,-0.49170,-0.49170,-0.49170,,-0.49170,-0.31700,-0.37130,52.80900,52.80900,-0.01000,-0.01000,1.94960,,0.53130,,,,,,,,,-4.63190,-4.63190,-2.53250,-4.63190,0.20100,-0.0032,-0.0032
2024-06-30,0.00000,,0.00000,,-0.64060,,-0.64060,0.07870,-0.56190,-0.56190,-0.56190,,-0.56190,-0.58680,-0.64060,52.80900,52.80900,-0.01000,-0.01000,2.00090,,0.48730,,,,,,0.00000,0.00000,,-5.31770,-5.31770,-2.99540,-5.31770,0.20010,-0.0017,-0.0017
2024-03-31,0.00020,,0.00020,,-1.09820,,-1.09800,0.05090,-1.04710,-1.04710,-1.04710,,-1.04710,-1.03840,-1.09800,52.80900,52.80900,-0.02000,-0.02000,2.11010,,0.46220,,,,,,0.00000,0.00050,,-9.12190,-9.12190,-5.36940,-9.12190,0.21740,-0.00760,-0.00600
2023-12-31,-0.18650,-0.44570,0.25920,,-2.23460,2.23460,-1.97540,2.15670,0.18130,0.18130,0.18130,-0.42510,-0.13660,-1.87550,-1.97540,60.95000,60.95000,0.05000,0.04000,2.35630,,0.38870,-139.02510,1059.32000,1059.32100,-97.22260,73.25200,-0.00910,-0.37570,-239.53590,1.38730,1.38730,0.88240,1.38730,0.24750,-0.0357,-0.0338
2023-09-30,0.71490,0.44520,0.26970,,-3.22930,3.22930,-2.95960,0.19730,-2.76240,-2.76240,-2.76240,-0.34220,-3.08090,-2.86880,-2.95960,52.49400,52.49400,-0.06000,-0.06000,2.60780,0.05600,0.38510,37.72750,-414.00850,-414.00850,-386.41340,-430.96830,0.03500,1.61070,55.87510,-21.14670,-21.14670,-13.52110,-19.96180,0.24740,-0.0884,-0.091
2023-06-30,0.26550,0.06910,0.19640,,-2.98280,2.98280,-2.78640,-0.00130,-2.78770,-2.78770,-2.78770,-0.20430,-3.00690,-2.70200,-2.78640,50.24300,50.24300,-0.07000,-0.06000,3.90010,0.27830,0.45280,73.96120,-1049.30600,-1049.30600,-1049.78400,-1132.34100,0.01720,0.38650,232.84270,-31.35990,-31.35990,-18.05630,-22.63260,0.17120,-0.032,-0.0326
2023-03-31,0.00020,,0.00020,,-2.80670,,-2.80650,-0.01680,-2.82330,-2.82330,-2.82330,-0.24410,-3.06160,-2.74410,-2.80650,46.37600,46.37600,-0.07000,-0.07000,0.93530,1.07820,-15.47060,,,,,,0.00000,0.00020,,1127.53600,1127.53100,-48.82170,-88.19770,-0.00550,-0.08540,-0.09580
2022-12-31,-0.43900,-0.44320,0.00420,0.11900,-0.11840,0.11900,-0.11480,-0.05260,-0.16600,-0.16600,-0.16600,-1.18200,-1.34000,-0.06370,-0.11480,42.96000,42.96000,-0.03000,-0.03000,0.80400,1.60650,-3.38170,-2.34620,26.15040,26.15040,37.81320,305.23920,-0.07220,-0.23750,-379.02010,12.38330,12.38330,-2.73100,-7.51020,-0.02950,-0.0156,-0.0157
2022-09-30,0.74870,0.39340,0.35530,,-1.80280,1.80270,-1.44740,0.02630,-1.42110,-1.42110,-1.42110,,-1.39250,-1.39580,-1.44740,42.84780,42.84780,-0.03000,-0.03000,,,,47.45890,-193.33810,-193.33810,-189.82260,-185.99930,,,,,,,,,-0.0333,-0.0334
2022-06-30,0.02990,0.02840,0.00160,,-1.49620,1.49610,-1.49460,-0.00470,-1.49930,-1.49930,-1.49930,,-1.43380,-1.43970,-1.49460,42.56580,42.56580,-0.03000,-0.03000,,,,5.29730,-4991.97800,-4991.97800,-5007.81600,-4788.77400,,,,,,,,,-0.0231,-0.0231
2022-03-31,0.08800,0.02190,0.06610,,-2.43240,2.43240,-2.36620,0.24780,-2.11830,-2.11830,-2.11830,,-2.07290,-2.30880,-2.36620,41.74580,41.74580,-0.05000,-0.05000,,,,75.13750,-2688.16200,-2688.16200,-2406.55900,-2354.90300,,,,,,,,,-0.02340,-0.02350
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
