Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9728.00000,8061.00000,1667.00000,1379.00000,1388.00000,279.00000,-78.00000,201.00000,53.00000,148.00000,148.00000,,148.00000,396.00000,279.00000,241.00000,244.00000,0.61000,0.61000,1.18650,0.50350,1.07860,17.13610,2.86800,2.86800,2.06620,1.52140,0.72190,4.98210,4.26290,21.11230,3.21320,-7.30860,1.09830,1.59530,19.56670,1.1476,0.8136
2024-06-30,9709.00000,8003.00000,1706.00000,1354.00000,1353.00000,353.00000,-84.00000,269.00000,71.00000,198.00000,198.00000,,198.00000,463.00000,353.00000,246.00000,248.00000,0.81000,0.80000,1.28760,0.47800,0.97780,17.57130,3.63580,3.63580,2.77060,2.03930,0.70850,5.02390,4.43740,20.28220,3.95130,-12.11010,1.44490,2.06250,20.41140,1.9435,1.6694
2024-03-31,8949.00000,7454.00000,1495.00000,1317.00000,1330.00000,165.00000,-78.00000,87.00000,5.00000,82.00000,82.00000,,82.00000,273.00000,165.00000,245.00000,248.00000,0.33000,0.33000,1.30760,0.48720,1.01530,16.70580,1.84380,1.84380,0.97220,0.91630,0.66830,4.60120,4.11260,21.88400,1.69950,-4.91610,0.61240,0.87140,19.62980,0.56050,0.21370
2023-12-31,8936.00000,7346.00000,1590.00000,1298.00000,1312.00000,278.00000,-78.00000,200.00000,53.00000,147.00000,147.00000,,154.00000,386.00000,278.00000,239.00000,250.00000,0.62000,0.59000,1.29530,0.49010,1.03050,17.79320,3.11100,3.11100,2.23810,1.72340,0.67760,4.59130,4.44580,20.24400,3.09540,-8.39520,1.11470,1.57840,19.37580,0.805,0.2475
2023-09-30,9106.00000,7564.00000,1542.00000,1312.00000,1312.00000,230.00000,-101.00000,129.00000,34.00000,95.00000,95.00000,,95.00000,331.00000,230.00000,247.00000,249.00000,0.38000,0.38000,1.29430,0.49360,1.04430,16.93390,2.52580,2.52580,1.41660,1.04330,0.68610,4.78130,4.27110,21.07180,2.02470,-5.27480,0.71580,1.02530,19.04990,1.1534,0.9372
2023-06-30,9013.00000,7422.00000,1591.00000,1269.00000,1269.00000,322.00000,-80.00000,242.00000,60.00000,182.00000,182.00000,,182.00000,420.00000,322.00000,238.00000,251.00000,0.76000,0.73000,1.33920,0.50150,1.07320,17.65230,3.57260,3.57260,2.68500,2.01930,0.69180,4.84780,4.43550,20.29070,3.95310,-10.20180,1.39690,1.97080,18.65480,1.4945,1.3103
2023-03-31,8542.00000,7117.00000,1425.00000,1238.00000,1238.00000,187.00000,-80.00000,107.00000,25.00000,82.00000,82.00000,,75.00000,292.00000,187.00000,226.00000,252.00000,0.33000,0.32000,1.34140,0.50760,1.10040,16.68230,2.18920,2.18920,1.25260,0.87800,0.65520,4.37970,4.19550,21.45170,1.96220,-4.43960,0.62890,0.88700,19.57010,1.10710,0.86900
2022-12-31,8515.00000,7061.00000,1454.00000,1246.00000,1258.00000,196.00000,-69.00000,127.00000,34.00000,93.00000,93.00000,,120.00000,297.00000,196.00000,224.00000,226.00000,0.38000,0.38000,1.36620,0.51320,1.11880,17.07580,2.30180,2.30180,1.49150,1.40930,0.66660,4.36940,4.60770,19.53260,2.34790,-4.85640,0.72810,1.00730,19.99560,0.9428,0.5992
2022-09-30,8917.00000,7457.00000,1460.00000,1246.00000,1246.00000,214.00000,-60.00000,154.00000,45.00000,109.00000,109.00000,,100.00000,310.00000,214.00000,225.00000,251.00000,0.44000,0.43000,1.35580,0.52020,1.15580,16.37320,2.39990,2.39990,1.72700,1.12150,0.67340,4.23450,4.35830,20.65040,2.77570,-5.55840,0.82310,1.17230,19.82670,1.2962,1.1309
2022-06-30,8827.00000,7444.00000,1383.00000,1233.00000,1233.00000,150.00000,-55.00000,95.00000,25.00000,70.00000,70.00000,,61.00000,245.00000,150.00000,224.00000,226.00000,0.27000,0.27000,1.36640,0.53100,1.20380,15.66780,1.69930,1.69930,1.07620,0.69110,0.67730,4.15170,4.46480,20.15750,1.84020,-3.34130,0.53710,0.75680,19.36610,0.4375,0.1319
2022-03-31,7798.00000,6603.00000,1195.00000,1161.00000,1161.00000,34.00000,-49.00000,-15.00000,-8.00000,-7.00000,-7.00000,,-16.00000,126.00000,34.00000,223.00000,223.00000,-0.07000,-0.07000,1.33710,0.53470,1.22340,15.32440,0.43600,0.43600,-0.19240,-0.20520,0.60170,3.61610,4.19920,21.43240,-0.18810,0.31990,-0.05400,-0.07650,19.00000,0.70850,0.39460
2021-12-31,7639.00000,6397.00000,1242.00000,1105.00000,1105.00000,137.00000,-48.00000,89.00000,20.00000,69.00000,69.00000,,102.00000,234.00000,137.00000,222.00000,225.00000,0.27000,0.28000,1.40940,0.53520,1.21670,16.25870,1.79340,1.79340,1.16510,1.33530,0.61010,3.79420,4.73300,19.01560,1.84740,-3.15650,0.55110,0.75120,19.14350,-0.4489,-0.8755
2021-09-30,7890.00000,6649.00000,1241.00000,1099.00000,1106.00000,135.00000,-44.00000,91.00000,27.00000,64.00000,64.00000,,55.00000,229.00000,135.00000,222.00000,225.00000,0.25000,0.24000,1.48490,0.55810,1.33380,15.72880,1.71100,1.71100,1.15340,0.69710,0.60150,4.24860,4.50090,19.99620,1.75440,-2.80210,0.48790,0.67630,18.75340,1.2,0.9111
2021-06-30,7663.00000,6494.00000,1169.00000,1044.00000,1045.00000,124.00000,-48.00000,76.00000,21.00000,55.00000,55.00000,,46.00000,222.00000,124.00000,222.00000,225.00000,0.21000,0.20000,1.50510,0.56790,1.38590,15.25510,1.61820,1.61820,0.99180,0.60030,0.58660,4.16280,4.42180,20.35370,1.53930,-2.31290,0.42100,0.57860,18.50000,0.3147,0.0518
2021-03-31,6295.00000,5292.00000,1003.00000,972.00000,975.00000,28.00000,-70.00000,-42.00000,-18.00000,-24.00000,-24.00000,,-39.00000,132.00000,28.00000,221.00000,221.00000,-0.18000,-0.18000,1.58850,0.58200,1.46650,15.93330,0.44480,0.44480,-0.66720,-0.61950,0.48420,3.64710,4.11170,21.88880,-0.68570,0.97360,-0.18460,-0.24870,18.17120,0.79640,0.58820
2020-12-31,6138.00000,5130.00000,1008.00000,978.00000,978.00000,30.00000,-55.00000,-25.00000,-15.00000,-10.00000,-10.00000,,-23.00000,140.00000,30.00000,220.00000,220.00000,-0.10000,-0.10000,1.74820,0.58110,1.45320,16.42230,0.48880,0.48880,-0.40730,-0.37470,0.49410,4.02990,5.09380,17.66860,-0.28330,0.40320,-0.08050,-0.10350,18.32130,-0.5454,-0.6545
2020-09-30,5848.00000,4874.00000,974.00000,873.00000,896.00000,78.00000,-57.00000,21.00000,13.00000,8.00000,8.00000,,-2.00000,190.00000,78.00000,220.00000,220.00000,-0.01000,-0.01000,1.60410,0.58430,1.48240,16.65530,1.33380,1.33380,0.35910,-0.03420,0.45700,3.70930,4.36420,20.62240,0.22760,-0.31420,0.06250,0.08290,18.14930,-1.0773,-1.0364
2020-06-30,4560.00000,3889.00000,671.00000,714.00000,730.00000,-59.00000,-59.00000,-118.00000,-26.00000,-92.00000,-92.00000,,-97.00000,54.00000,-59.00000,220.00000,220.00000,-0.44000,-0.44000,1.62280,0.60310,1.59380,14.71490,-1.29390,-1.29390,-2.58770,-2.12720,0.33710,2.91970,3.68040,24.45400,-2.62860,3.56450,-0.68000,-0.91490,18.14090,3.7831,3.5529
2020-03-31,6339.00000,5273.00000,1066.00000,1192.00000,1192.00000,-126.00000,-46.00000,-172.00000,-40.00000,-132.00000,-132.00000,,-132.00000,-23.00000,-126.00000,219.00000,219.00000,-0.60000,-0.60000,1.93540,0.61690,1.69570,16.81650,-1.98770,-1.98770,-2.71340,-2.08230,0.52900,3.69780,5.03100,17.88930,-3.68510,6.30370,-1.10150,-1.41160,16.28180,-0.28310,-0.64380
2019-12-31,6934.00000,5697.00000,1237.00000,1051.00000,1051.00000,186.00000,-64.00000,122.00000,29.00000,93.00000,93.00000,,92.00000,292.00000,186.00000,218.00000,220.00000,0.42000,0.42000,1.38100,0.55330,1.33670,17.83960,2.68240,2.68240,1.75940,1.32680,0.61430,3.97840,4.33920,20.74130,2.50740,-4.68280,0.82390,1.12010,16.85910,0.9136,0.4545
2019-09-30,6531.00000,5375.00000,1156.00000,968.00000,968.00000,188.00000,-44.00000,144.00000,39.00000,105.00000,105.00000,1.00000,106.00000,276.00000,188.00000,218.00000,220.00000,0.49000,0.48000,1.39830,0.57380,1.44810,17.70020,2.87860,2.87860,2.20490,1.62300,0.56660,3.66140,3.73840,24.07440,2.95190,-4.87470,0.91100,1.25820,16.24200,0.7418,0.5349
2019-06-30,6443.00000,5301.00000,1142.00000,948.00000,948.00000,194.00000,-40.00000,154.00000,38.00000,116.00000,116.00000,,116.00000,287.00000,194.00000,218.00000,219.00000,0.53000,0.53000,1.37270,0.47440,0.93300,17.72470,3.01100,3.01100,2.39020,1.80040,0.68990,4.15110,4.12750,21.80510,3.37700,-13.87560,1.24210,1.77480,15.68490,1.0959,0.9086
2019-03-31,6031.00000,4979.00000,1052.00000,921.00000,921.00000,131.00000,-40.00000,91.00000,20.00000,71.00000,71.00000,,71.00000,213.00000,131.00000,217.00000,219.00000,0.33000,0.32000,1.39160,0.49730,1.02150,17.44320,2.17210,2.17210,1.50890,1.17730,0.64220,3.91430,3.82190,23.54830,2.14500,-7.31210,0.75600,1.07820,15.18350,0.70320,0.42470
2018-12-31,6041.00000,4949.00000,1092.00000,922.00000,922.00000,170.00000,-38.00000,132.00000,32.00000,100.00000,100.00000,,100.00000,261.00000,170.00000,216.00000,218.00000,0.46000,0.46000,1.43500,0.50930,1.11920,18.07650,2.81410,2.81410,2.18510,1.65540,0.65760,3.86940,4.15760,21.64710,3.09690,-9.41620,1.08860,1.51980,14.88020,0.7569,0.4496
2018-09-30,6153.00000,5045.00000,1108.00000,929.00000,929.00000,179.00000,-39.00000,140.00000,26.00000,114.00000,114.00000,,114.00000,265.00000,179.00000,217.00000,218.00000,0.53000,0.52000,1.39110,0.52010,1.11560,18.00750,2.90920,2.90920,2.27530,1.85280,0.66350,3.87900,3.96880,22.67690,3.62280,-9.87740,1.22930,1.73860,14.48090,0.6101,0.3807
2018-06-30,6158.00000,5044.00000,1114.00000,909.00000,908.00000,206.00000,-45.00000,161.00000,35.00000,126.00000,126.00000,,126.00000,294.00000,206.00000,216.00000,218.00000,0.58000,0.58000,1.38720,0.53670,1.19180,18.09030,3.34520,3.34520,2.61450,2.04610,0.67410,4.17460,4.16010,21.63410,4.17220,-9.76160,1.37930,1.93320,13.91810,0.5418,0.2724
2018-03-31,5823.00000,4831.00000,992.00000,887.00000,889.00000,103.00000,-40.00000,63.00000,-4.00000,67.00000,67.00000,,67.00000,185.00000,103.00000,215.00000,217.00000,0.31000,0.31000,1.32140,0.55220,1.27570,17.03590,1.76880,1.76880,1.08190,1.15060,0.63470,4.00220,3.81760,23.57490,2.35430,-4.54180,0.73030,1.05420,13.17890,0.88480,0.62670
2017-12-31,5995.72800,4921.64600,1074.08100,882.31790,878.03900,196.04300,-58.07000,137.97200,-118.20300,256.17500,256.17500,,256.17500,281.92500,196.04300,223.00000,226.00000,1.16000,1.14000,1.40740,0.57010,1.36570,17.91410,3.26970,3.26970,2.30120,4.27260,0.66350,4.07420,4.28570,21.00000,9.31210,-16.21360,2.83470,4.00340,12.79540,1.072,0.9158
2017-09-30,6204.19400,5105.63200,1098.56200,908.64000,909.34200,189.21970,-42.40100,146.81900,51.26800,95.55100,95.55100,,95.55100,271.18770,189.21970,223.80800,225.86200,0.43000,0.42000,1.39530,0.56710,1.34880,17.70680,3.04990,3.04990,2.36640,1.54010,0.66300,3.91490,3.92820,22.91130,3.48070,-5.98740,1.02100,1.50670,12.23020,0.6175,0.375
2017-06-30,6158.65400,5104.60500,1054.04900,926.45100,927.15500,126.89360,-42.32300,84.57100,19.11300,65.45800,65.45800,,65.45800,234.00360,126.89360,222.75400,226.79100,0.29000,0.29000,1.36530,0.57910,1.41540,17.11490,2.06040,2.06040,1.37320,1.06290,0.66880,4.12940,4.04360,22.25750,2.48560,-3.88030,0.71090,1.04620,11.76700,1.0874,0.9255
2017-03-31,5788.42500,4797.11700,991.30760,913.59100,915.46400,75.84380,-41.20600,34.63800,7.82200,26.81600,26.81600,,26.81600,184.88380,75.84380,221.36400,226.32300,0.12000,0.12000,1.42880,0.59440,1.49730,17.12570,1.31030,1.31030,0.59840,0.46330,0.63070,4.00430,3.79650,23.70610,1.04160,-1.56170,0.29220,0.42250,11.59670,0.53730,0.23060
2016-12-31,5678.13000,4651.47300,1026.65800,891.66200,905.86400,120.79350,-44.60800,76.18700,-0.88300,77.07000,77.07000,,77.07000,228.29750,120.79490,200.13000,204.02500,0.44000,0.43000,1.41630,0.59350,1.49020,18.08090,2.12730,2.12740,1.34180,1.35730,0.63480,3.80320,4.26420,21.10580,3.03710,-4.38470,0.86170,1.23440,11.48630,0.7371,0.4352
2016-09-30,5840.96300,4808.42600,1032.53700,902.78400,917.44600,115.09080,-60.43900,54.65200,-78.35900,133.01100,133.01100,,133.01100,222.43780,115.09080,220.60900,225.05400,0.60000,0.59000,1.42330,0.60100,1.53660,17.67750,1.97040,1.97040,0.93570,2.27720,0.64130,3.94530,3.89180,23.12560,5.33460,-7.32370,1.46030,2.12830,11.30230,0.368,0.2549
2016-06-30,5806.75800,4772.72100,1034.03700,922.24000,935.60000,98.43700,-112.39400,-13.95700,-0.56500,-13.39200,-13.39200,,-13.39200,205.17700,98.43700,190.07700,190.07700,-0.07000,-0.07000,1.40490,0.61800,1.64880,17.80750,1.69520,1.69520,-0.24040,-0.23060,0.64550,4.03610,4.07410,22.09100,-0.57040,0.66950,-0.14890,-0.21790,10.64260,0.7842,0.6825
