Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.06320,0.06500,-0.00180,0.46000,0.15290,0.30720,-0.30900,-0.00630,-0.31530,-0.31530,-0.31530,-0.36530,-0.30900,-0.30900,15.97600,15.97600,-0.02000,-0.02000,0.14240,-0.08430,-2.90620,-488.80390,-488.80390,-498.80560,-577.90820,0.06440,0.27940,1.39600,64.47180,13.12830,13.12850,-32.11470,13.12850,-0.15030,-0.0251,-0.0251
2024-06-30,0.07050,0.11420,-0.04370,0.83430,-0.00160,0.83590,-0.87960,,-0.87960,-0.87960,-0.87960,-0.90570,-0.87960,-0.87960,15.97600,15.97600,-0.06000,-0.06000,0.11790,,-61.96580,-1247.89900,-1247.89900,-1247.89900,-1284.97500,0.08230,1.12530,1.87890,47.89980,40.54650,40.54680,-102.67230,40.54680,-0.13580,-0.0384,-0.0384
2024-03-31,0.10460,0.21580,-0.11120,1.09950,-0.00160,1.10110,-1.21240,0.00000,-1.21230,-1.21230,-1.21230,-1.24230,-1.21240,-1.21240,15.97600,15.97600,-0.08000,-0.08000,0.13430,-0.00760,-106.38820,-1159.39300,-1159.39300,-1159.35600,-1188.04500,0.11820,1.25230,2.13480,42.15800,61.23130,61.23160,-137.00330,61.23160,-0.12390,-0.02080,-0.02080
2023-12-31,0.23950,0.78060,-0.54120,1.53760,0.02650,1.51110,-2.05230,,-2.05230,-2.05230,-2.05230,-2.07850,-2.05230,-2.05230,15.33000,15.33000,-0.14000,-0.14000,0.40080,,-225.97340,-856.97680,-856.97650,-856.97720,-867.94570,0.17240,2.31040,1.39150,64.67910,247.39940,247.40290,-147.72320,247.40300,-0.05190,-0.0267,-0.0267
2023-09-30,0.84800,0.88980,-0.04190,1.14140,-0.94640,2.08780,-2.12970,0.00000,-2.12970,-2.12970,-2.12970,-2.14530,-2.12970,-2.12970,15.97600,15.97600,-0.13000,-0.13000,1.70220,,-4.93950,-251.15480,-251.15480,-251.15130,-252.99100,0.32520,1.19860,1.96780,45.73570,-198.00800,-198.00640,-81.68410,-198.00640,0.06740,-0.033,-0.033
2023-06-30,0.33010,2.32970,-1.99950,1.97040,-0.45240,2.42280,-4.42230,0.00000,-4.42230,-4.42230,-4.42230,-4.42230,-4.42230,-4.42230,16.60600,16.60600,-0.27000,-0.27000,2.25760,,-605.68870,-1339.59500,-1339.59500,-1339.58300,-1339.58300,0.08640,1.55720,2.47580,36.35200,-187.46000,-187.45990,-115.76390,-187.45990,0.13860,-0.0971,-0.0971
2023-03-31,0.40860,0.41200,-0.00340,1.67280,-0.33590,2.00870,-2.01210,0.00120,-2.01080,-2.01080,-2.01080,-2.01080,-2.01210,-2.01210,13.33300,13.33300,-0.15000,-0.15000,4.73540,,-0.82270,-492.38920,-492.38920,-492.08910,-492.08910,0.05130,0.11880,1.61530,55.71770,-31.38390,-31.38390,-25.25580,-31.38390,0.40360,-0.15690,-0.15690
2022-12-31,0.37590,0.50140,-0.12540,2.33440,-1.34720,3.68150,-3.80700,0.00970,-3.79730,-3.79730,-3.79730,-3.79730,-3.80700,-3.80700,12.55000,12.55000,-0.30000,-0.30000,2.66030,,-33.37030,-1012.73500,-1012.73500,-1010.15800,-1010.15800,0.04380,0.13560,0.34110,263.82590,-67.64520,-67.64520,-44.22630,-67.64520,0.44090,-0.1148,-0.1148
2022-09-30,0.53560,0.60150,-0.06600,2.40020,-0.10570,2.50590,-2.57180,0.01180,-2.56000,-2.56000,-2.56000,-2.56000,-2.57180,-2.57180,12.73200,12.73200,-0.20000,-0.20000,4.87220,,-12.31590,-480.19050,-480.19050,-477.99040,-477.99040,0.05340,0.15300,1.01070,89.05120,-31.44250,-31.44250,-25.54120,-31.44250,0.63950,-0.1295,-0.1295
2022-06-30,1.01940,0.83610,0.18330,4.05010,-0.69760,4.74770,-4.56440,0.00550,-4.55890,-4.55890,-4.55890,-4.55890,-4.56050,-4.56440,12.53400,12.53400,-0.36000,-0.36000,5.01200,,17.98400,-447.76160,-447.76160,-447.22310,-447.22310,0.07770,0.22180,0.57220,157.30110,-42.70790,-42.70790,-34.72850,-42.70790,0.84050,-0.4642,-0.4642
2022-03-31,0.92910,0.61210,0.31710,2.70520,-1.90260,4.60770,-4.29070,0.00450,-4.28620,-4.28620,-4.28620,-4.28620,-4.29060,-4.29070,12.29900,12.29900,-0.35000,-0.35000,7.47150,0.00110,34.12600,-461.80120,-461.80120,-461.32030,-461.32030,0.05550,0.77900,0.75130,119.79340,-29.32950,-29.33730,-25.61910,-29.32950,1.17050,-0.36940,-0.36940
2021-12-31,0.64910,0.42780,0.22130,2.09200,-0.27160,2.09200,-1.87070,0.00030,-1.87100,-1.87100,-1.87100,-1.87100,-1.87060,-1.87070,8.87100,8.87100,-0.17000,-0.17000,8.39010,0.02270,34.06260,-288.19900,-288.19900,-288.24530,-288.24530,0.03370,2.68960,0.73470,122.50720,-10.95690,-10.95910,-9.71810,-10.95690,1.39970,-0.432,-0.432
2021-09-30,0.54660,0.32280,0.22380,1.29480,-0.46000,1.75490,-1.53100,,-1.53100,-1.53100,-1.53100,-1.53100,-1.53090,-1.53100,9.11300,9.11300,-0.17000,-0.17000,,,40.94430,-280.09280,-280.09280,-280.09280,-280.09280,,,,,,,,,,-0.078,-0.078
2021-06-30,0.38420,0.31810,0.06620,1.02800,-4.27880,5.30680,-5.24060,,-5.24060,-5.24060,-5.24060,-5.24060,-5.24050,-5.24060,8.88200,8.88200,-0.59000,-0.59000,,,17.22070,-1363.97400,-1363.97400,-1363.97400,-1363.97400,,,,,,,,,,-0.1199,-0.1199
2021-03-31,0.11990,0.06620,0.05370,0.64970,-0.72760,1.37730,-1.32360,0.00070,-1.32290,-1.32290,-1.32290,-1.32290,-1.32350,-1.32360,7.09900,7.09900,-0.19000,-0.19000,,,44.79300,-1103.68800,-1103.68800,-1103.14000,-1103.14000,,,,,,,,,,-0.02280,-0.02280
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
