Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.60400,5.84000,6.76400,10.01600,,10.01600,-3.25200,0.23500,-3.01700,0.04500,-3.06200,-3.06200,-3.06200,1.22600,-3.25200,54.85000,54.85000,-0.06000,-0.06000,1.90140,53.66550,-25.80130,-25.80130,-23.93690,-24.29390,0.14390,2.80090,32.13270,-4.92160,-4.92160,-3.49680,-4.92160,1.12150,0.04,0.04
2024-06-30,12.39500,6.00400,6.39100,8.94000,,8.94000,-2.54900,0.57300,-1.97600,0.05500,-2.03100,-2.03100,-2.03100,2.23000,-2.54900,53.61300,53.61300,-0.04000,-0.04000,2.17430,51.56110,-20.56470,-20.56470,-15.94190,-16.38560,0.13640,2.69110,33.44410,-3.13310,-3.13310,-2.23490,-3.13310,1.20610,0.0408,0.0408
2024-03-31,12.00100,6.74800,5.25300,8.90700,,8.90700,-3.65400,-1.34700,-5.00100,0.03400,-5.03500,-5.03500,-5.03500,1.67800,-3.65400,53.30100,53.30100,-0.09000,-0.09000,2.00110,43.77140,-30.44750,-30.44750,-41.67150,-41.95480,0.12690,2.46120,36.56700,-7.51930,-7.51930,-5.32450,-7.51930,1.25620,0.01250,0.01250
2023-12-31,14.77500,8.12500,6.65000,11.41500,,11.41500,-4.76500,0.13300,-4.63200,0.02700,-4.65900,-4.65900,-4.65900,0.55900,-4.76500,53.04400,53.04400,-0.08000,-0.08000,1.93560,45.00850,-32.25040,-32.25040,-31.35030,-31.53300,0.14630,3.10400,28.99490,-6.41330,-6.41330,-4.61190,-6.41330,1.36330,-0.0479,-0.0479
2023-09-30,15.63000,8.49400,7.13600,12.06500,-18.97000,31.03500,-23.89900,-2.53300,-26.43200,0.13300,-26.56500,-26.56500,-26.56500,-18.38800,-23.89900,53.04000,53.04000,-0.50000,-0.50000,2.02500,45.65580,-152.90460,-152.90460,-169.11070,-169.96160,0.14700,2.27280,39.59890,-34.52740,-34.52740,-24.98870,-34.52740,1.44970,-0.0569,-0.0569
2023-06-30,14.09700,9.93300,4.16400,12.18300,,12.18300,-8.01900,-1.61400,-9.63300,0.28800,-9.92100,-9.92100,-9.92100,-1.43200,-8.01900,53.00600,53.00600,-0.19000,-0.19000,2.20590,29.53820,-56.88450,-56.88450,-68.33370,-70.37670,0.10590,1.55130,58.01450,-9.66710,-9.66710,-7.45280,-9.66710,1.93540,-0.081,-0.081
2023-03-31,12.38700,9.00100,3.38600,11.17400,,11.17400,-7.78800,0.09500,-7.69300,0.05800,-7.75100,-7.75100,-7.75100,-1.78300,-7.78800,52.95000,52.95000,-0.15000,-0.15000,2.31280,27.33510,-62.87240,-62.87240,-62.10540,-62.57370,0.08660,1.27710,70.46990,-6.97300,-6.97300,-5.41640,-6.97300,2.09880,-0.11910,-0.11920
2022-12-31,14.49900,13.13200,1.36700,16.72300,,16.72300,-15.35600,1.01200,-14.34400,0.20200,-14.54600,-14.54600,-14.54600,-8.94800,-15.35600,52.78700,52.78700,-0.27000,-0.27000,2.24520,9.42820,-105.91070,-105.91070,-98.93100,-100.32420,0.09410,1.33030,67.65360,-12.36630,-12.36630,-9.43850,-12.36630,2.22550,-0.1663,-0.1664
2022-09-30,23.56900,13.56600,10.00300,14.38300,,14.38300,-4.38000,-0.05800,-4.43800,0.06400,-4.50200,-4.50200,-4.50200,10.06400,-4.38000,52.79300,52.79300,-0.09000,-0.09000,2.19420,42.44140,-18.58370,-18.58370,-18.82980,-19.10140,0.13490,1.37420,65.49240,-3.45030,-3.45780,-2.57680,-3.45030,2.47110,-0.2385,-0.2386
2022-06-30,22.34800,12.98800,9.36000,21.81100,,25.41400,-16.05400,0.13300,-15.92100,0.05600,-15.97700,-15.97700,-15.97700,-5.38300,-16.05400,52.77500,52.77500,-0.30000,-0.30000,1.91550,41.88290,-71.83640,-71.83640,-71.24130,-71.49190,0.11900,1.92660,46.71560,-12.00760,-12.03620,-8.50530,-12.00760,2.52070,-0.111,-0.1129
