Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.98190,0.69080,0.29100,2.75240,-0.20820,2.96070,-2.66960,-2.05000,-4.71960,-4.71960,-4.71960,,-4.71960,-1.70460,-2.66960,5.27280,5.27280,-0.08000,-0.08000,0.17100,-0.13920,-1.00540,29.63960,-271.89190,-271.89190,-480.67680,-480.67680,0.11740,0.51500,1.17570,76.54970,43.58640,30.94760,-56.42520,49.65240,-0.24430,-1.1345,-1.1352
2024-06-30,1.04680,0.80240,0.24440,3.73430,-0.20100,3.93530,-3.69090,-1.63580,-5.32670,-5.32670,-5.32670,,-5.32670,-2.54210,-3.69090,49.11590,49.11590,-0.11000,-0.11000,0.15090,-0.16060,-1.03360,23.35060,-352.59690,-352.59690,-508.86450,-508.86450,0.12990,0.61450,1.15310,78.05210,51.44660,35.81230,-66.10610,59.70680,-0.23360,-0.0469,-0.0469
2024-03-31,1.54070,1.37710,0.16360,3.19510,-0.21880,3.41390,-3.25030,-1.42060,-4.67090,-4.67090,-4.67090,,-4.67090,-2.22820,-3.25030,44.79380,44.79380,-0.10000,-0.10000,0.16660,-0.09320,-1.09430,10.61970,-210.96510,-210.96510,-303.17110,-303.17110,0.18000,0.93570,1.56430,57.53450,49.15340,33.07810,-54.57630,53.73470,-0.21440,-0.02920,-0.02920
2023-12-31,2.68840,1.95520,0.73320,3.71190,-0.30820,4.02010,-3.28690,-2.70730,-5.99410,-5.99410,-5.99410,,-5.99410,-1.81220,-3.28690,42.44960,42.44960,-0.13000,-0.13000,0.26960,-0.08890,-1.56750,27.27440,-122.26070,-122.26070,-222.96240,-222.96240,0.27160,0.86800,2.39080,37.64440,106.93640,58.07440,-60.55430,116.44350,-0.12640,-0.0414,-0.0415
2023-09-30,5.14410,3.84720,1.29690,5.23830,-0.38210,5.62040,-4.32350,-1.34660,-5.67010,-5.67010,-5.67010,,-5.67010,-3.05900,-4.32350,42.81210,42.81210,-0.13000,-0.13000,0.45990,-1.64160,-10.00810,25.21090,-84.04880,-84.04880,-110.22560,-110.22560,0.45750,1.32320,2.72230,33.06020,861.93510,103.49340,-50.42740,2276.87600,-0.01530,-0.0435,-0.0435
2023-06-30,5.19500,3.41790,1.77710,5.66710,-0.33130,5.99840,-4.22130,-1.38890,-5.61020,-5.61020,-5.61020,,-5.61020,-2.95710,-4.22130,42.05810,42.05810,-0.13000,-0.13000,0.80540,0.05630,1.24900,34.20790,-81.25870,-81.25870,-107.99430,-107.99430,0.39560,0.99150,2.41910,37.20350,-141.31590,591.25040,-42.71850,-133.36600,0.09280,-0.0453,-0.0454
2023-03-31,5.82270,4.06120,1.76150,4.83540,-0.38100,5.21640,-3.45490,-0.27440,-3.72930,-3.72930,-3.72930,,-3.72930,-3.07620,-3.45490,37.39000,37.39000,-0.10000,-0.10000,1.81590,0.24260,0.51460,30.25210,-59.33510,-59.33510,-64.04730,-64.04730,0.37940,1.29140,2.17200,41.43640,-49.11210,-144.71920,-24.29690,-37.19720,0.18480,-0.10980,-0.11000
2022-12-31,4.79160,3.28220,1.50930,5.97110,-0.30890,6.28000,-4.77070,-0.02280,-4.79340,-4.79340,-4.79340,0.00000,-4.79340,-4.14230,-4.77070,37.39000,37.39000,-0.12000,-0.12000,2.14630,0.21390,0.38800,31.49990,-99.56350,-99.56350,-100.03830,-100.03830,0.27690,0.88200,2.22190,40.50530,-51.41960,-113.75130,-27.70000,-40.42180,0.22690,-0.0867,-0.0882
2022-09-30,4.87040,3.10180,1.76860,6.44150,-0.43800,6.87950,-5.11090,-0.06600,-5.17690,-5.17690,-5.17690,0.03310,-5.14380,-5.05590,-5.11090,37.36400,37.36400,-0.14000,-0.14000,1.68010,0.02430,0.17110,36.31320,-104.93750,-104.93750,-106.29330,-105.61340,0.30510,0.86540,2.51060,35.84850,-51.80940,-116.99350,-32.43030,-50.55250,0.25200,-0.0959,-0.0971
2022-06-30,4.49890,3.14930,1.34970,6.85150,-0.32730,7.17880,-5.82910,-0.07080,-5.89990,-5.89990,-5.89990,0.14110,-5.75890,-5.77830,-5.82910,36.67530,36.67530,-0.16000,-0.16000,2.12310,0.03030,0.14650,29.99960,-129.56710,-129.56710,-131.14000,-128.00470,0.26670,1.19170,2.23680,40.23630,-51.49300,-101.85640,-34.97330,-49.93290,0.30740,-0.0673,-0.0673
2022-03-31,3.92660,2.63530,1.29130,6.54370,-0.43150,6.97520,-5.68400,-0.08590,-5.76980,-5.76980,-5.76980,-0.22460,-5.99440,-5.47810,-5.68400,35.18840,35.18840,-0.16000,-0.16000,2.37370,,0.17870,32.88520,-144.75610,-144.75610,-146.94320,-152.66260,0.19050,1.28120,2.72660,33.00830,-39.76780,-65.97490,-27.99350,-39.76780,0.39570,-0.12650,-0.12650
2021-12-31,3.06190,1.38650,1.67540,6.66610,-0.76340,7.42950,-5.75410,-0.02070,-5.77480,-5.77480,-5.77480,-0.08130,-5.85600,-5.85630,-5.75410,28.90030,28.90030,-0.17000,-0.17000,1.28740,0.03270,0.45210,54.71850,-187.92290,-187.92290,-188.59920,-191.25320,0.18690,0.72080,2.64780,33.99010,-65.08080,-191.73220,-35.24340,-62.95240,0.26410,-0.1386,-0.1386
2021-09-30,2.82740,2.00750,0.81980,12.53770,-0.35440,12.89210,-12.07220,-0.09770,-12.16990,-12.16990,-12.16990,-0.02210,-12.19200,-12.02580,-12.07220,30.51530,30.51530,-0.40000,-0.40000,2.03050,0.10350,0.47830,28.99660,-426.97390,-426.97390,-430.42810,-431.20890,0.14520,1.34640,3.09170,29.11020,-122.28700,-298.07470,-62.50120,-109.63210,0.30510,-0.1308,-0.1308
2021-06-30,3.28780,2.38270,0.90510,7.42220,-0.19060,7.61280,-6.70770,-0.05330,-6.76100,-6.76100,-6.76100,0.20040,-6.56060,-6.62410,-6.70770,27.35690,30.48300,-0.24000,-0.24000,2.51820,0.08550,0.35040,27.52800,-204.02060,-204.02060,-205.64160,-199.54620,0.14400,1.99540,4.07220,22.10130,-52.00820,-94.91720,-29.60360,-47.56010,0.42650,-0.1213,-0.1213
