Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,0.82580,0.54390,0.28190,1.19470,1.88110,3.07580,-2.79390,0.02640,-2.76750,-2.76750,-2.76750,-2.76750,-2.73080,-2.79390,27.35300,27.35300,-0.10000,-0.10000,2.41600,34.13420,-338.33640,-338.33640,-335.14240,-335.14240,0.16810,0.30330,2.01140,44.74530,-91.89170,-94.16920,-56.33530,-91.89160,0.10820,-0.0741,-0.0745
2024-03-31,1.37730,0.98690,0.39040,1.27360,2.00290,3.27650,-2.88610,0.03100,-2.85510,-2.85510,-2.85510,-2.85510,-2.82520,-2.88610,25.91000,25.91000,-0.11000,-0.11000,3.05740,28.34680,-209.54840,-209.54840,-207.29710,-207.29710,0.25530,0.75240,2.47880,36.30850,-74.07260,-75.61100,-52.92200,-74.07270,0.14640,-0.0722,-0.0733
2023-12-31,0.97760,0.71130,0.26630,1.48330,2.17350,3.65680,-3.39050,0.04560,-3.34490,-3.34490,-3.34490,-3.34490,-3.33180,-3.39050,23.99600,23.99600,-0.14000,-0.14000,3.68190,27.24030,-346.79880,-346.79880,-342.13710,-342.13710,0.16790,0.44220,1.79910,50.02400,-75.70800,-77.17530,-57.44900,-75.70810,0.17790,-0.15880,-0.16030
2023-09-30,0.74180,0.54810,0.19370,1.77940,1.57900,3.35840,-3.16470,0.02960,-3.13510,-3.13510,-3.13510,-3.13510,-3.10220,-3.16470,18.12100,18.12100,-0.13000,-0.13000,4.07940,26.10680,-426.64190,-426.64180,-422.64840,-422.64840,0.09160,0.31740,,,-50.16670,-50.89630,-38.71800,-50.16670,0.26120,-0.1432,-0.1454
2023-06-30,0.62990,0.38620,0.24370,1.89150,1.86240,3.75390,-3.51020,0.04150,-3.46880,-3.46880,-3.46880,-3.46880,-3.45780,-3.51020,17.57900,17.57900,-0.20000,-0.20000,2.79120,38.68290,-557.26330,-557.26330,-550.68100,-550.68100,0.10940,0.25470,,,-88.45990,-90.65980,-60.24140,-88.45980,0.21950,-0.1389,-0.146
2023-03-31,0.46620,0.43470,0.03150,1.70630,1.82110,3.52740,-3.49590,-0.02690,-3.52280,-3.52280,-3.52280,-3.52280,-3.47220,-3.49590,16.41500,16.41500,-0.21000,-0.21000,4.10000,6.75770,-749.91390,-749.91390,-755.68630,-755.68630,0.06470,0.37020,2.17890,41.30560,-63.67140,-64.85220,-48.89350,-63.67140,0.32760,-0.2139,-0.2246
2022-12-31,1.56980,0.12690,1.44290,1.56350,1.66370,3.22720,-1.78440,0.05160,-1.73280,-1.73280,-1.73280,-1.73280,-1.76920,-1.78440,16.23100,16.23100,-0.11000,-0.11000,6.71820,91.91690,-113.66990,-113.66990,-110.38380,-110.38380,0.16250,0.14040,16.46860,5.46500,-21.20430,-21.48380,-17.93720,-21.20430,0.50330,-0.21520,-0.21590
2022-09-30,2.01140,0.08390,1.92750,1.43820,1.88940,3.32760,-1.40010,0.02590,-1.37430,-1.37430,-1.37430,-1.37430,-1.37810,-1.40010,15.99900,15.99900,-0.09000,-0.09000,3.92930,95.82580,-69.60770,-69.60770,-68.32790,-68.32790,0.15690,0.11900,60.51680,1.48720,-14.30960,-14.47830,-10.71810,-14.30960,0.59220,0.0572,0.0529
2022-06-30,0.03200,0.03850,-0.00640,1.22540,1.52970,2.75500,-2.76140,0.00170,-2.75970,-2.75970,-2.75970,-2.75970,-2.72990,-2.76140,16.19300,16.19300,-0.17000,-0.17000,13.41780,-20.01000,-8616.28800,-8616.28800,-8610.96100,-8610.96100,0.00280,0.08470,,,-25.99040,-26.28110,-23.85090,-25.99040,0.65570,-0.1627,-0.1661
2022-03-31,0.03660,0.07280,-0.03620,1.20540,1.81820,3.02360,-3.05980,0.00170,-3.05810,-3.05810,-3.05810,-3.05810,-3.03130,-3.05980,16.19000,16.19000,-0.19000,-0.19000,16.59120,-99.01320,-8363.79300,-8363.79300,-8359.02800,-8359.02800,0.00260,0.32810,1.00000,90.00000,-23.30410,-23.52470,-21.70580,-23.30410,0.81050,-0.1906,-0.1961
