Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,206.71500,206.71500,96.54500,-4.38700,87.05500,5.84200,92.89700,21.40800,71.48900,71.48900,,71.48900,107.57000,87.05500,37.52700,37.60800,1.90000,1.90000,3.55790,,,100.00000,42.11350,42.11350,44.93970,34.58340,0.11280,0.35780,251.54160,5.15700,6.83960,3.90000,5.15700,36.74630,2.5349,2.2095
2024-06-30,197.66000,197.66000,93.84300,-4.12200,81.33900,4.99800,86.33700,21.39900,64.93800,64.93800,,64.93800,101.33400,81.33900,37.65500,37.68900,1.72000,1.72000,2.90590,0.00680,0.00690,100.00000,41.15100,41.15100,43.67960,32.85340,0.10480,0.29490,305.22500,4.88540,6.59880,3.44190,4.85200,35.17950,3.1531,2.6693
2024-03-31,210.31800,210.31800,94.70700,-4.91100,92.50000,4.21700,96.71700,24.10200,72.61500,72.61500,,72.61500,112.29900,92.50000,37.74000,37.79000,1.92000,1.92000,2.65220,,,100.00000,43.98100,43.98100,45.98610,34.52630,0.10910,0.27570,326.40540,5.50850,7.50190,3.76840,5.50850,34.74700,-0.13100,-0.53210
2023-12-31,197.24800,197.24800,96.08100,-4.61000,77.02700,6.78500,83.81200,14.18500,69.62700,69.62700,,69.62700,98.20300,77.02700,37.54600,37.65400,1.84000,1.84000,2.32480,,,100.00000,39.05080,39.05080,42.49070,35.29920,0.09790,0.25360,354.88190,5.38510,7.42970,3.45530,5.38510,34.11510,3.752,3.3986
2023-09-30,172.28400,172.28400,84.14900,-3.66500,66.90900,4.83400,71.74300,16.80200,54.94100,54.94100,,54.94100,85.96000,66.90900,37.49100,37.57400,1.47000,1.46000,2.85280,,,100.00000,38.83650,38.83650,41.64230,31.88980,0.09920,0.26980,333.61550,4.61310,5.77410,3.16210,4.61310,31.60690,2.1079,1.68
2023-06-30,179.84600,179.84600,82.93200,-4.18200,75.72700,3.22300,78.95000,19.09100,59.85900,59.85900,,59.85900,94.08100,75.72700,37.48500,37.58800,1.60000,1.59000,3.23880,,,100.00000,42.10660,42.10660,43.89870,33.28350,0.11110,0.31400,286.60020,5.13770,6.50290,3.69680,5.13770,30.92320,2.8043,2.4824
2023-03-31,203.16900,203.16900,86.80700,-4.54500,95.35600,2.83900,98.19500,24.56700,73.62800,73.62800,,73.62800,113.18500,95.35600,37.47800,37.64500,1.96000,1.96000,2.85520,,,100.00000,46.93430,46.93430,48.33170,36.23980,0.12480,0.30860,291.67550,6.56490,8.44040,4.52130,6.56490,29.77330,0.19990,-0.08980
2022-12-31,177.90200,177.90200,79.88500,-4.61400,77.67300,1.75500,79.42800,20.20200,59.22600,59.22600,,59.22600,94.87900,77.67300,37.46800,37.64300,1.59000,1.58000,2.67690,,,100.00000,43.66060,43.66060,44.64710,33.29140,0.11070,0.32070,280.66380,5.47830,7.15080,3.68370,5.47830,28.71580,3.5574,3.0778
2022-09-30,172.11200,172.11200,76.28800,-4.21100,76.31100,2.55200,78.86300,19.55600,59.30700,59.30700,,59.30700,92.84600,76.31100,37.47900,37.56700,1.58000,1.58000,2.50130,,,100.00000,44.33800,44.33800,45.82070,34.45840,0.11030,0.25600,351.50580,5.82160,7.76200,3.80230,5.82160,27.06750,2.2673,1.9337
2022-06-30,182.22900,182.22900,77.93800,-4.26300,84.78800,4.79000,89.57800,22.65600,66.92200,66.92200,,66.92200,101.43100,84.78800,37.52900,37.60800,1.78000,1.78000,2.37970,,,100.00000,46.52830,46.52830,49.15680,36.72410,0.11620,0.25840,348.33250,6.68680,9.03860,4.26880,6.68680,26.58880,2.4862,2.2075
