Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1450.93200,1515.09900,-64.16700,63.12300,69.34100,-133.50810,16.48600,-117.02200,-0.59000,-116.43200,-116.43200,-1.18300,-117.61500,-127.29010,-133.50810,411.59100,411.59100,-0.29000,-0.29000,1.28570,0.05720,0.06070,-4.42250,-9.20150,-9.20150,-8.06530,-8.10620,0.69380,1.06040,84.87750,-20.25360,-24.39250,-5.56720,-19.09490,1.39550,-0.0186,-0.0271
2024-06-30,1482.75800,1450.58300,32.17510,69.61200,75.51900,-43.34400,13.09900,-30.24500,0.41700,-30.66200,-30.66200,,-30.68200,-37.43700,-43.34400,411.27100,411.27100,-0.07000,-0.07000,1.35800,0.03890,0.05340,2.16990,-2.92320,-2.92320,-2.03980,-2.06930,0.68540,1.03180,87.22500,-4.53670,-5.31480,-1.41740,-4.36020,1.64270,-0.0461,-0.0542
2024-03-31,1604.35400,1529.26600,75.08800,76.42200,82.26600,-7.17800,10.29200,3.11400,-0.13300,3.24700,3.24700,-9.28100,-6.06400,-1.33400,-7.17800,408.93800,413.43700,-0.01500,-0.01500,1.33420,0.04150,0.05420,4.68030,-0.44740,-0.44740,0.19410,-0.37800,0.69260,1.02110,88.13700,0.47160,0.54820,0.14020,0.45200,1.67580,-0.11560,-0.12320
2023-12-31,1056.07300,1150.94100,-94.86820,64.69600,69.43100,-164.29960,-2.57300,-166.87200,0.26700,-167.13900,-167.13900,-63.34500,-230.43300,-159.15260,-164.29940,408.91700,408.91700,-0.55900,-0.55800,1.51470,0.04660,0.04890,-8.98310,-15.55760,-15.55760,-15.80120,-21.81980,0.60660,1.12050,80.31780,-25.28500,-29.16310,-9.60090,-24.10670,1.62660,-0.1478,-0.1572
2023-09-30,1136.86300,1100.02400,36.83910,72.05800,76.13300,-39.29380,18.46500,-20.82900,1.21000,-22.03900,-22.03900,-9.44400,-31.43600,-33.98380,-39.29380,405.78700,405.78700,-0.08000,-0.08000,1.50360,0.03840,0.04560,3.24040,-3.45630,-3.45630,-1.83210,-2.76520,0.49900,0.84480,106.53350,-2.52860,-3.07570,-0.96740,-2.43150,2.14690,-0.0343,-0.0446
2023-06-30,1069.11500,1014.53900,54.57600,79.25400,83.53300,-28.95700,14.00400,-14.95300,1.07300,-16.02600,-16.02600,-0.76900,-16.74900,-23.44200,-28.95700,410.33800,410.33800,-0.04000,-0.04000,1.50100,0.03930,0.04660,5.10480,-2.70850,-2.70850,-1.39860,-1.56660,0.45440,0.75450,119.29000,-1.82230,-2.21620,-0.68110,-1.75060,2.16920,-0.0573,-0.0676
2023-03-31,1054.31200,981.18900,73.12300,69.75200,72.70600,0.41700,7.77500,8.19200,-1.75900,9.95100,9.95100,6.00800,16.02200,4.60600,0.41700,413.13600,426.58600,0.03900,0.03800,1.92930,0.03330,0.03910,6.93560,0.03960,0.03960,0.77700,1.51970,0.48580,1.04920,85.77830,0.91980,1.07350,0.45850,0.88920,2.61020,-0.14260,-0.15130
2022-12-31,369.78310,360.71300,9.07010,64.05100,63.13510,-54.06510,13.14200,-40.92300,0.57200,-41.49500,-41.49500,-15.05400,-56.46600,-50.15810,-54.06510,408.15400,408.15400,-0.14310,-0.14290,2.71220,0.03570,0.04180,2.45280,-14.62080,-14.62080,-11.06680,-15.27000,0.21780,0.75100,119.83450,-3.98760,-4.06950,-2.44450,-3.84540,2.52340,-0.1238,-0.1326
2022-09-30,694.85800,668.94600,25.91200,51.98000,55.43000,-29.51800,-0.42600,-29.94400,0.55900,-30.50300,-30.50300,-0.23600,-30.66800,-26.06800,-29.51800,411.06500,411.06500,-0.07000,-0.07000,2.48280,0.03530,0.04120,3.72910,-4.24810,-4.24810,-4.30940,-4.41360,0.37150,1.08960,82.60080,-2.81060,-3.10260,-1.63080,-2.71140,2.63590,0.0083,0.0002
2022-06-30,670.13400,636.22000,33.91390,51.92400,54.96600,-21.05210,0.59400,-20.45800,0.58000,-21.03800,-21.03800,0.30700,-20.64900,-18.01010,-21.05210,407.33900,407.33900,-0.05000,-0.05000,2.64660,0.03580,0.04160,5.06080,-3.14150,-3.14150,-3.05280,-3.08130,0.36410,1.10290,81.60590,-1.90670,-2.10520,-1.14300,-1.83850,2.70300,-0.1502,-0.1616
2022-03-31,653.44500,610.98100,42.46400,39.83400,43.20700,-0.74300,1.39800,0.65500,-0.07100,0.72600,0.72600,0.42900,1.23000,2.63000,-0.74300,401.96400,424.06500,0.00310,0.00290,2.66670,0.03660,0.04240,6.49850,-0.11370,-0.11370,0.10020,0.18820,0.35220,1.14260,78.76440,0.06530,0.07140,0.03910,0.06290,2.73950,-0.05480,-0.06430
2021-12-31,150.82100,151.90200,-1.08100,25.52100,25.08210,-26.16310,-9.46200,-35.62500,0.17900,-35.80400,-35.80400,-20.93300,-56.72100,-22.52510,-26.16310,372.93100,372.93100,-0.16000,-0.16000,3.83010,0.03820,0.04430,-0.71670,-17.34710,-17.34710,-23.62070,-37.60820,0.09510,0.51400,175.08590,-3.28000,-3.59960,-2.25710,-3.15450,2.72830,-0.1436,-0.1531
2021-09-30,458.61300,443.65600,14.95700,46.64300,50.55800,-35.60100,-1.13600,-36.73700,0.25600,-36.99300,-36.99300,1.03500,-35.84300,-31.66400,-35.60100,391.22900,391.22900,-0.09000,-0.09000,3.43650,0.03810,0.04400,3.26140,-7.76280,-7.76280,-8.01050,-7.81550,0.27220,1.33900,67.21350,-3.28120,-3.59940,-2.19530,-3.15620,2.87940,-0.0414,-0.0478
2021-06-30,498.95600,476.17700,22.77900,317.56100,321.14200,-298.36300,1.46900,-296.89400,0.43500,-297.32900,-297.32900,-1.61200,-298.84500,-294.74900,-298.36300,377.44500,377.44500,-0.79000,-0.79000,3.58890,0.03830,0.04310,4.56530,-59.79750,-59.79750,-59.50300,-59.89410,0.29320,1.47460,61.03210,-25.84850,-28.31500,-17.47210,-24.85740,2.94280,-0.0869,-0.0881
2021-03-31,413.10400,384.01500,29.08900,37.77700,41.20400,-12.11500,-1.60500,-13.72000,0.01600,-13.73600,-13.73600,-1.41500,-15.07800,-8.63400,-12.11500,325.65900,325.65900,-0.05000,-0.05000,1.12230,-0.50000,-0.33330,7.04160,-2.93270,-2.93270,-3.32120,-3.64990,0.71960,1.43030,62.92470,4.60560,3.42210,-2.39290,6.90830,-1.19550,-0.12540,-0.12590
2020-12-31,321.00700,315.72200,5.28500,41.35800,45.02800,-39.74300,0.93300,-38.81000,0.79100,-39.60100,-39.60100,15.38600,-24.21500,-35.99000,-39.74300,323.46200,323.46200,-0.08000,-0.08000,1.10250,-0.29380,-0.23780,1.64640,-12.38070,-12.38070,-12.09010,-7.54350,0.71920,2.22070,40.52860,13.90830,10.23980,-8.87200,17.99510,-1.14180,-0.0417,-0.0433
2020-09-30,312.68400,287.25800,25.42600,31.92600,35.27000,-9.84400,-2.42200,-12.26600,0.03500,-12.30100,-12.30100,0.47400,-11.82700,-6.34300,-9.84400,324.56300,324.56300,-0.04000,-0.04000,,,,8.13150,-3.14820,-3.14820,-3.92280,-3.78240,,,,,,,,,-0.0131,-0.0141
2020-06-30,293.59400,255.12400,38.47000,36.40300,39.72200,-1.25200,-2.15400,-3.40600,0.03900,-3.44500,-3.44500,-4.46600,-7.91100,2.23000,-1.25200,323.70200,323.70200,-0.02000,-0.02000,,,,13.10310,-0.42640,-0.42640,-1.16010,-2.69450,,,,,,,,,-0.0284,-0.0302
2020-03-31,291.04800,266.07900,24.96900,27.60500,30.80300,-5.83400,-2.02700,-7.86100,,-7.86100,-7.86100,-8.23800,-16.09900,-2.47100,-5.83400,321.25000,321.25000,-0.05000,-0.05000,,,,8.57900,-2.00450,-2.00450,-2.70090,-5.53140,,,,,,,,,-0.08130,-0.08240
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
