Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.17200,1.68400,-0.51200,1.66600,9.41100,,11.18200,-11.69400,-0.67700,-12.37100,-12.37100,-12.37100,-12.37100,-11.47900,-11.69400,50.37400,50.37400,-0.25000,-0.25000,1.18070,1.60930,-43.68600,-997.78160,-997.78160,-1055.54600,-1055.54600,0.05190,2.58680,30.05130,2.99490,24.95110,-225.09100,-54.74380,-195.18780,0.12280,-0.1805,-0.1805
2024-06-30,0.97600,1.61400,-0.63800,1.37200,9.07700,,10.55400,-11.19200,0.18700,-11.00500,-11.00500,-11.00500,-11.00500,-10.96300,-11.19200,48.21200,48.21200,-0.23000,-0.23000,1.74890,0.70090,-65.36890,-1146.72100,-1146.72100,-1127.56200,-1127.56200,0.02860,2.36310,6.10000,14.75410,27.55380,-73.21050,-32.26040,-68.87170,0.32380,-0.2196,-0.2195
2024-03-31,1.00100,1.65600,-0.65500,1.50100,8.26400,,10.13700,-10.79200,0.18000,-10.61200,-10.61200,-10.61200,-18.10800,-10.29100,-10.79200,45.01400,45.01400,-0.40000,-0.40000,1.38070,1.10480,-65.43460,-1078.12200,-1078.12200,-1060.14000,-1808.99100,0.03120,4.03900,20.42860,4.40560,32.76220,-97.87860,-33.11280,-89.22150,0.25440,-0.28020,-0.28100
2023-12-31,1.04000,1.45800,-0.41800,1.91700,8.61200,,11.03500,-11.45300,0.62300,-10.83000,-10.83000,-10.83000,-10.83000,-10.82400,-11.45300,41.75600,41.75600,-0.25000,-0.25000,0.75120,-6.03630,-40.19230,-1101.25000,-1101.25000,-1041.34600,-1041.34600,0.03810,5.24460,23.11110,3.89420,51.72910,289.95990,-39.71400,468.62830,-0.05460,-0.2404,-0.2446
2023-09-30,0.78300,1.63400,-0.85100,1.61500,8.15700,,10.27700,-11.12800,-3.08000,-14.20800,-14.20800,-14.20800,-14.20800,-10.50300,-11.12800,41.86300,41.86300,-0.34000,-0.34000,0.90340,5.66900,-108.68450,-1421.20000,-1421.20000,-1814.55900,-1814.55900,0.02360,,37.28570,2.41380,128.35860,-2266.03000,-42.73850,-555.86850,0.06040,-0.2095,-0.2098
2023-06-30,0.15900,1.54900,-1.39000,1.82700,7.86200,,10.19400,-11.58400,0.20300,-11.38100,-11.38100,-11.38100,-11.38100,-10.95100,-11.58400,41.83400,41.83400,-0.27000,-0.27000,1.33980,0.77040,-874.21390,-7285.53500,-7285.53500,-7157.86100,-7157.86100,0.00370,,4.54290,19.81130,-787.06820,-90.06810,-26.78770,-75.51590,0.36010,-0.1622,-0.1626
2023-03-31,0.44600,1.33800,-0.89200,1.89300,11.02700,,13.42500,-14.31700,-1.93000,-16.24700,-16.24700,-16.24700,-16.24700,-13.70500,-14.31700,40.97100,40.97100,-0.40000,-0.40000,1.78350,0.47780,-200.00000,-3210.09000,-3210.09000,-3642.82500,-3642.82500,0.00910,,16.51850,5.44840,-144.02090,-73.96430,-33.07280,-65.23330,0.59650,-0.17380,-0.17420
2022-12-31,0.11200,1.61900,-1.50700,2.23200,10.73100,,13.46800,-14.97500,0.04700,-14.92800,-14.92800,-14.92800,-14.92800,-14.36000,-14.97500,36.17200,36.17200,-0.40000,-0.40000,2.89090,,-1345.53600,-13370.54000,-13370.54000,-13328.57000,-13328.57000,0.00340,14.58560,6.58820,13.66070,-64.77200,-76.15550,-45.91960,-64.77200,0.56880,-0.1223,-0.128
2022-09-30,0.07600,1.62600,-1.55000,2.70400,9.61800,,12.82700,-14.37700,0.02800,-14.34900,-14.34900,-14.34900,-14.34900,-13.78400,-14.37700,36.40600,36.40600,-0.39000,-0.39000,3.07700,,-2039.47400,-18917.11000,-18917.11000,-18880.26000,-18880.26000,0.00200,,2.45160,36.71050,-52.11570,-60.84470,-37.39060,-52.11560,0.74380,-0.1648,-0.1735
2022-06-30,,,,3.44000,10.54900,,,-14.62800,0.00400,-14.62400,-14.62400,-14.62400,-14.62400,-13.92400,-14.62800,35.76000,35.76000,-0.41000,-0.41000,4.55380,,,,,,,,,,,-40.35210,-46.00910,-32.21070,-40.35210,1.00680,-0.3691,-0.3756
