Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,1.54890,1.54890,1.05810,-1.95660,-0.90700,1.54040,0.28870,1.82900,1.82900,1.82900,1.34080,1.54040,1.54040,12.16600,12.16600,0.11020,0.11020,3.73750,100.00000,99.45090,99.45090,118.08960,86.56610,0.02080,2.49960,2.49960,2.45380,2.49960,6.01460
2024-06-30,1.65840,1.65840,0.66310,2.53070,-0.84660,-2.38190,-0.15530,-2.53730,-2.53730,-2.53730,1.35000,-2.38190,-2.38190,12.16600,12.16600,0.11100,0.11100,3.05490,100.00000,-143.62670,-143.62670,-152.99360,81.40500,0.02190,-3.42330,-3.42330,-3.35600,-3.42330,6.09220
2024-03-31,1.29640,1.29640,0.85550,-2.02050,-0.70360,1.75780,0.29500,2.05280,2.05280,2.05280,1.12250,1.75780,1.75780,12.16600,12.16600,0.09230,0.09230,4.57830,100.00000,135.58960,135.58960,158.34190,86.58560,0.01700,2.73520,2.73520,2.68930,2.73520,6.16890
2023-12-31,1.49540,1.49540,,0.15490,,4.96270,0.25930,5.22200,5.22200,5.22200,1.35570,4.96270,4.96270,12.16600,12.16600,0.11170,0.11170,3.71290,100.00000,331.87110,331.87110,349.20940,90.66080,0.01940,6.88220,6.88220,6.76030,6.88220,6.23670
2023-09-30,1.69160,1.69160,0.77160,-2.06340,-0.94400,2.03940,0.36300,2.40240,2.40240,2.40240,1.46620,2.03940,2.03940,12.16600,12.16600,0.12050,0.12050,3.02330,100.00000,120.55880,120.55880,142.02020,86.67400,0.02130,3.07820,3.07820,3.02040,3.07820,6.41500
2023-06-30,1.57370,1.57370,1.55440,2.37720,-0.94120,-3.29900,0.23480,-3.06430,-3.06430,-3.06430,1.23710,-3.29900,-3.29900,12.16600,12.16600,0.10170,0.10170,3.01550,100.00000,-209.62990,-209.62990,-194.71170,78.60810,0.01960,-3.89410,-3.89410,-3.82140,-3.89410,6.46800
2023-03-31,2.36670,2.36670,1.25850,-2.57410,-1.18180,2.50040,-0.79830,1.70220,1.70220,1.70220,2.20330,2.50040,2.50040,12.16600,12.16600,0.18110,0.18110,2.63560,100.00000,105.65160,105.65160,71.92190,93.09620,0.02930,2.14790,2.14790,2.10510,2.14790,6.51390
2022-12-31,3.34550,3.34550,,0.13820,,8.36730,2.13040,10.49770,10.49770,10.49770,3.21780,8.36730,8.36730,12.16600,12.16600,0.26410,0.26410,2.01840,100.00000,250.10370,250.10370,313.78240,96.18080,0.04080,13.11540,13.11540,12.79850,13.11540,6.57910
2022-09-30,3.53060,3.53060,0.70750,-2.11600,-1.07860,3.86050,-1.48680,2.37370,2.37370,2.37370,3.35500,3.86050,3.86050,12.16600,12.16600,0.27580,0.27580,1.88320,100.00000,109.34330,109.34330,67.23110,95.02690,0.04240,2.92890,2.92890,2.85380,2.92890,6.66140
2022-06-30,3.49740,3.49740,2.28670,2.87050,-1.06020,-2.72000,-0.41900,-3.13900,-3.13900,-3.13900,3.20430,-2.72000,-2.72000,12.16600,12.16600,0.26340,0.26340,1.82110,100.00000,-77.77170,-77.77170,-89.75320,91.61970,0.04160,-3.83180,-3.83180,-3.73070,-3.83180,6.73360
2022-03-31,2.78730,2.78730,1.36310,-2.08380,-0.72840,2.77950,-0.20800,2.57160,2.57160,2.57160,2.52690,2.77950,2.77950,12.16600,12.16600,0.20770,0.20770,2.15800,100.00000,99.71980,99.71980,92.25880,90.65610,0.03290,3.10370,3.10370,3.03540,3.10370,6.81030
2021-12-31,2.40600,2.40600,,0.14500,,1.68480,-0.15990,1.52480,1.52480,1.52480,2.26110,1.68480,1.68480,12.16600,12.16600,0.18600,0.18600,2.17660,100.00000,70.02520,70.02520,63.37720,93.97750,0.02810,1.81910,1.81910,1.77980,1.81910,6.88980
