Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.88870,,0.88870,2.60330,-0.33990,,-3.20790,-2.24440,-5.45220,-5.45220,-5.45220,-5.45220,-13.45970,-2.05440,23.37800,23.37800,-0.23000,-0.23000,11.31640,0.31770,0.46570,100.00000,-360.95550,-231.16550,-613.49620,-613.49620,0.00380,9.99120,9.00790,-3.46310,-3.46310,-2.33220,-2.36280,6.73440,-0.8916,-0.8916
2024-06-30,1.02740,,1.02740,2.95320,-0.51560,,-3.65560,-6.99560,-10.65120,-10.65120,-10.65120,-10.65120,4.63070,-2.44140,23.41020,23.41020,-0.45000,-0.45000,27.01550,0.31290,0.45540,100.00000,-355.82950,-237.63580,-1036.76000,-1036.76000,0.00430,12.25320,7.34510,-6.56220,-6.56220,-4.47000,-4.50870,6.94290,0.6297,0.6297
2024-03-31,1.52810,,1.52810,3.08500,-0.45170,,-3.22290,-18.84240,-22.06540,-22.06540,-22.06540,-22.06540,16.51580,-2.00860,25.39350,25.39350,-0.87000,-0.87000,39.53300,0.28890,0.40630,100.00000,-210.91040,-131.44740,-1443.98100,-1443.98100,0.00590,11.10070,8.10760,-12.14240,-12.14240,-8.59010,-8.63430,7.16760,0.89570,0.89570
2023-12-31,2.45970,,2.45970,3.68460,-0.30400,,-2.74410,-6.37890,-9.12300,-9.12300,-9.12300,-9.12300,7.55200,-1.52880,26.22270,26.22270,-0.36000,-0.36000,58.93840,0.26610,0.36260,100.00000,-111.56000,-62.15430,-370.89470,-370.89470,0.00890,18.54910,4.85200,-4.48620,-4.48620,-3.28640,-3.29230,7.99170,-1.7896,-1.7896
2023-09-30,1.46570,,1.46570,2.56240,-0.35650,,-2.66840,27.86180,25.19340,25.19340,25.19340,25.19340,-30.70730,-1.45320,25.35130,25.35130,0.99000,0.99000,22.35560,0.25790,0.34750,100.00000,-182.05240,-99.14260,1718.80800,1718.80800,0.00510,14.53250,6.19300,11.88530,11.88530,8.71810,8.82040,8.40850,1.9563,1.9563
2023-06-30,1.37220,,1.37220,3.19610,-0.76720,,-3.80530,-11.81470,-15.62000,-15.62000,-15.62000,-15.62000,-4.00860,-2.59110,25.95250,25.95250,-0.60000,-0.60000,9.53410,0.28270,0.39400,100.00000,-277.31310,-188.82370,-1138.30500,-1138.30500,0.00520,11.47840,7.84080,-8.36670,-8.36670,-5.94010,-6.00180,7.35040,-0.3614,-0.3614
2023-03-31,1.29910,,1.29910,3.28820,-1.01940,,-4.22180,8.83830,4.61650,4.61650,4.61650,4.61650,-11.55250,-3.00850,28.37850,28.37850,0.16000,0.16000,19.16580,0.25470,0.34170,100.00000,-324.98070,-231.58500,355.36700,355.36700,0.00450,12.37130,7.27490,2.14680,2.14680,1.58590,1.60010,7.58840,0.28560,0.28560
2022-12-31,1.46300,,1.46300,2.75000,-0.36090,,-2.86320,-9.52840,-12.39160,-12.39160,-12.39160,-12.39160,6.09330,-1.64790,30.02320,30.02320,-0.44000,-0.44000,41.33260,0.25890,0.34940,100.00000,-195.71280,-112.64450,-847.02590,-847.02490,0.00510,10.54260,8.53680,-5.90020,-5.90020,-4.35690,-4.37230,7.38760,0.0472,0.0472
2022-09-30,0.51950,,0.51950,2.56390,-0.56210,,-3.80920,-42.09300,-45.90230,-45.90230,-45.90230,-45.90230,34.45270,-2.60650,29.78180,29.78180,-1.54000,-1.54000,10.90470,0.24840,0.33050,100.00000,-733.23440,-501.71890,-8835.66500,-8835.66400,0.00170,4.34340,20.72090,-20.69690,-20.69690,-15.35900,-15.55580,7.82750,-3.3724,-3.3724
2022-06-30,0.89060,,0.89060,3.02950,-0.44520,,-3.81090,-90.52880,-94.33970,-94.33970,-94.33970,-94.33970,86.08460,-2.58410,30.63390,30.63390,-3.08000,-3.08000,50.29560,0.20720,0.26130,100.00000,-427.88630,-290.14500,-10592.46000,-10592.46000,0.00250,5.68600,15.82850,-33.67200,-33.67200,-26.46670,-26.69650,9.23900,-0.3129,-0.3129
