Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.29100,1.13900,3.15200,2.59700,2.59700,0.55500,0.55500,0.10800,0.44700,0.44700,0.44700,3.89300,3.90500,0.11000,0.11000,0.36140,19.71580,15.87920,0.01000,0.54730,0.54730,0.15930,0.54730,18.56490,0.2363,0.2034
2024-06-30,3.89100,1.07700,2.81400,2.16700,2.16700,0.64700,0.64700,0.12000,0.52700,0.52700,0.52700,3.96300,3.97000,0.13000,0.13000,0.37350,23.83060,19.41070,0.00920,0.65050,0.65050,0.17840,0.65050,18.08730,0.3527,0.2959
2024-03-31,-2.00800,1.04700,-3.05500,2.88600,2.88600,-5.94100,-5.94100,-1.26400,-4.67700,-4.67700,-4.67700,4.08900,4.08900,-1.14000,-1.14000,0.36160,188.60320,148.47620,-0.01120,-5.74850,-5.74850,-1.65820,-5.74850,17.85020,0.06040,0.05720
2023-12-31,3.27500,0.59000,2.68500,2.12200,2.12200,0.56300,0.43500,0.07300,0.36200,0.36200,0.36200,4.38300,4.38700,0.09000,0.09000,0.22920,17.01210,14.15720,0.00940,0.42810,0.42810,0.13360,0.42810,17.76080,0.2084,0.2057
2023-09-30,2.77500,0.52100,2.25400,2.08100,2.08100,0.17300,0.17300,0.02200,0.15100,0.15100,0.15100,4.31300,4.32400,0.03000,0.03000,0.11350,7.67520,6.69920,0.00870,0.18370,0.18370,0.05850,0.18370,16.95710,0.1266,0.0924
2023-06-30,2.63900,0.44800,2.19100,2.19100,2.19100,,,-0.01600,0.01600,0.01600,0.01600,4.38600,4.38600,0.00000,0.00000,0.11010,,0.73030,0.00820,0.01900,0.01900,0.00600,0.01900,17.10690,0.1478,0.1455
2023-03-31,2.56100,0.30100,2.26000,2.18500,2.18500,0.07500,0.07500,0.00200,0.07300,0.07300,0.07300,4.61300,4.61800,0.02000,0.02000,0.10730,3.31860,3.23010,0.00820,0.08480,0.08480,0.02650,0.08480,17.02430,-0.02510,-0.02510
2022-12-31,2.40700,0.20600,2.20100,2.00200,2.00200,0.19900,0.19900,0.02800,0.17100,0.17100,0.17100,4.85700,4.85700,0.03000,0.03580,0.10390,9.04130,7.76920,0.00840,0.19320,0.19320,0.06490,0.19320,16.73200,0.0819,0.0782
2022-09-30,2.32800,0.16200,2.16600,2.01800,2.01800,0.14800,0.14800,0.01300,0.13500,0.13500,0.13500,4.88500,4.88500,0.03000,0.03000,0.10250,6.48840,5.91850,0.00800,0.15110,0.15110,0.04760,0.15110,16.88620,0.0665,0.0658
2022-06-30,2.34400,0.15500,2.18900,2.19500,2.19500,-0.00600,-0.00600,-0.02100,0.01500,0.01500,0.01500,4.88000,4.88000,0.01000,0.00310,0.09860,-0.25230,0.63080,0.00850,0.01620,0.01620,0.00530,0.01620,17.46940,0.0357,-0.0078
2022-03-31,2.10800,0.16000,1.94800,2.13000,2.13000,-0.18200,-0.18200,-0.04100,-0.14100,-0.14100,-0.14100,4.87500,4.87500,-0.03000,-0.02890,0.09590,-9.01440,-6.98370,0.00700,-0.14930,-0.14930,-0.04910,-0.14930,17.85670,-0.02520,-0.02910
2021-12-31,2.10800,0.17700,1.93100,1.84100,1.84100,0.09000,0.09000,0.01900,0.07100,0.07100,0.07100,,,,0.00000,0.09150,3.90460,3.08030,0.00810,0.07200,0.07200,0.02490,0.07200,18.63010,0,0
2021-09-30,3.88100,0.19200,3.68900,1.88400,1.88400,1.80500,1.80500,0.37200,1.43300,1.43300,1.43300,,,,0.00000,0.17260,48.92930,38.84520,0.01180,2.75580,2.75580,0.45990,2.75580,9.82990,0,0
2021-06-30,2.20600,0.20300,2.00300,1.68000,1.68000,0.32300,0.32300,0.06300,0.26000,0.26000,0.26000,,,,0.00000,0.17600,14.11100,11.35870,0.00960,0.51250,0.51250,0.10900,0.51250,,0,0
2021-03-31,2.13000,0.22300,1.90700,1.72600,1.72600,0.18100,0.18100,0.03000,0.15100,0.15100,0.15100,,,,0.00000,0.17640,9.49130,7.91820,0.00810,0.29990,0.29990,0.06380,0.29990,,0.00000,
2020-12-31,2.41200,0.37100,2.04100,3.78600,3.78600,-1.74500,-1.22100,-0.50700,-0.71400,-0.71400,-0.71400,,,,0.00000,0.17490,-54.75340,-32.01790,0.00990,-1.41290,-1.41290,-0.31780,-1.41290,,0,0
2020-09-30,2.35700,0.43000,1.92700,2.43700,2.43700,-0.51000,-0.51000,-0.10600,-0.40400,-0.40400,-0.40400,,,,0.00000,,-38.43260,-30.44460,,,,,,,0,0
2020-06-30,2.31900,0.44600,1.87300,1.52400,1.52400,0.34900,0.34900,0.08900,0.26000,0.26000,0.26000,,,,0.00000,,18.63320,13.88150,,,,,,,0,0
2020-03-31,2.36800,0.45800,1.91000,1.70500,1.70500,0.20500,0.20500,0.05000,0.15500,0.15500,0.15500,,,,0.00000,,11.11110,8.40110,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
