Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2024-06-30,12.23500,12.23500,12.23500,12.23500,12.23500,2.70200,2.70200,12.23500,12.23500,11.93200,11.98200,0.23000,0.23000,100.00000,100.00000,100.00000,100.00000,22.08420
2024-03-31,14.87700,14.87700,14.87700,14.87700,14.87700,0.55900,0.55900,14.87700,14.87700,13.34200,13.39300,0.04000,0.04000,100.00000,100.00000,100.00000,100.00000,3.75750
2023-12-31,2.37400,2.37400,2.37400,2.37400,2.37400,2.37400,-2.06100,2.37400,2.37400,,,,0.00000,100.00000,100.00000,100.00000,100.00000,-86.81550
2023-09-30,11.12400,11.12400,11.12400,11.12400,11.12400,2.85900,2.85900,11.12400,11.12400,9.71200,9.79400,0.29000,0.29000,100.00000,100.00000,100.00000,100.00000,25.70120
2023-06-30,12.77400,12.77400,12.77400,12.77400,12.77400,4.67300,4.67300,12.77400,12.77400,9.68270,9.77940,0.40000,0.40000,100.00000,100.00000,100.00000,100.00000,36.58210
2023-03-31,13.43400,13.43400,13.43400,13.43400,13.43400,2.79300,2.79300,13.43400,13.43400,7.99100,8.10300,0.40000,0.40000,100.00000,100.00000,100.00000,100.00000,20.79050
2022-12-31,2.55200,2.55200,2.55200,2.55200,2.55200,2.55200,-0.05400,2.55200,2.55200,,,,0.00000,100.00000,100.00000,100.00000,100.00000,-2.11600
2022-09-30,11.62300,11.62300,11.62300,11.62300,11.62300,3.29000,3.29000,11.62300,11.62300,1.62300,1.71900,2.00000,2.00000,100.00000,100.00000,100.00000,100.00000,28.30590
2022-06-30,11.75300,11.75300,11.75300,11.75300,11.75300,2.93100,2.93100,11.75300,11.75300,1.60000,1.63000,1.80000,1.80000,100.00000,100.00000,100.00000,100.00000,24.93830
2022-03-31,11.99500,11.99500,11.99500,11.99500,11.99500,2.56300,2.56300,11.99500,11.99500,1.59060,1.63270,1.60000,1.60000,100.00000,100.00000,100.00000,100.00000,21.36720
2021-12-31,3.67100,3.67100,3.67100,3.67100,3.67100,0.68200,0.68200,3.67100,3.67100,1.63270,1.63270,0.40000,0.40000,100.00000,100.00000,100.00000,100.00000,18.57800
2021-09-30,11.16600,11.16600,11.16600,11.16600,11.16600,3.27500,3.27600,11.16600,11.16600,1.59060,1.63270,2.00000,2.00000,100.00000,100.00000,100.00000,100.00000,29.33910
2021-06-30,15.23500,15.23500,15.23500,15.23500,15.23500,5.06700,5.06700,15.23500,15.23500,1.59060,1.63270,3.20000,3.20000,100.00000,100.00000,100.00000,100.00000,33.25900
2021-03-31,10.71300,10.71300,10.71300,10.71300,10.71300,8.36100,8.36100,10.71300,10.71300,1.59060,1.63270,5.00000,5.00000,100.00000,100.00000,100.00000,100.00000,78.04540
