Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,30.27200,16.26000,14.01200,2.18200,11.34300,,13.52500,0.48700,0.08200,0.56900,0.07400,0.49500,0.49500,0.49500,2.68700,0.48700,12.19000,12.25200,0.04000,0.04000,2.25940,0.07230,0.16030,46.28700,1.60870,1.60870,1.87960,1.63520,0.19120,0.51360,1.06750,84.30660,0.49310,1.23680,0.31260,0.45750,8.11120,0.3452,0.3037
2024-06-30,33.99100,20.19400,13.79700,2.21800,11.24300,,13.46100,0.33600,-0.04000,0.29600,0.06600,0.23000,0.23000,0.23000,2.42400,0.33600,12.23500,12.33000,0.02000,0.02000,2.24490,0.08390,0.21200,40.59020,0.98850,0.98850,0.87080,0.67660,0.21170,0.70700,1.13050,79.60750,0.23120,0.61210,0.14330,0.21180,7.90200,-0.4152,-0.4404
2024-03-31,29.82400,16.74800,13.07600,1.98200,10.60200,,12.58400,0.49200,0.29500,0.78700,0.12500,0.66200,0.66200,0.66200,2.12300,0.49200,12.02600,12.15800,0.06000,0.05000,2.15340,0.09810,0.20580,43.84390,1.64970,1.64970,2.63880,2.21970,0.18700,0.53460,1.30470,68.98170,0.66660,1.77860,0.41500,0.60110,7.95300,0.17070,0.14270
2023-12-31,27.88400,15.43500,12.44900,1.92900,9.41100,,11.34000,1.10900,0.45700,1.56600,0.11100,1.45500,1.45500,1.45500,2.70100,1.10900,11.46140,11.77990,0.12000,0.11000,3.53010,0.07620,0.12510,44.64570,3.97720,3.97720,5.61610,5.21800,0.20680,0.76830,1.53420,58.66270,1.51120,2.51050,1.07910,1.39600,7.91390,0.4321,0.403
2023-09-30,30.94100,16.49400,14.44700,1.80200,10.17700,,11.97900,2.46800,0.25500,2.72300,0.44600,2.27700,2.27700,2.27700,4.17700,2.46800,11.88600,12.21200,0.19000,0.19000,3.25480,0.08720,0.13910,46.69210,7.97650,7.97650,8.80060,7.35920,0.22850,0.74440,1.49400,60.24050,2.42430,4.11110,1.68150,2.21300,7.72340,0.4867,0.4668
2023-06-30,32.55800,17.52800,15.03000,1.98300,9.70300,,11.68600,3.34400,0.02100,3.36500,0.57200,2.79300,2.79300,2.79300,5.12300,3.34400,11.24100,11.69700,0.25000,0.24000,3.29470,0.09790,0.15310,46.16380,10.27090,10.27090,10.33540,8.57850,0.24510,0.75980,1.50860,59.65630,3.03380,5.29540,2.10230,2.73670,7.57920,0.2327,0.2022
2023-03-31,31.91900,16.86700,15.05200,1.90400,9.63000,,11.53400,3.51800,-0.12400,3.39400,0.57700,2.81700,2.81700,2.81700,5.16800,3.51800,10.75600,11.08900,0.26000,0.25000,2.26520,0.13860,0.22070,47.15690,11.02170,11.02170,10.63320,8.82550,0.28120,0.68880,1.52060,59.18700,4.11250,9.77580,2.48160,3.54270,6.15330,0.22400,0.19390
2022-12-31,32.40500,17.42400,14.98100,1.88000,9.06900,,10.94900,4.03200,-0.15100,3.88100,0.63700,3.24400,3.24400,3.24400,5.50600,4.03200,10.67300,10.86250,0.30000,0.30000,2.23500,0.16760,0.26450,46.23050,12.44250,12.44250,11.97660,10.01080,0.29440,0.77220,1.52750,58.92150,4.99420,13.08490,2.94730,4.15700,5.88960,0.2088,0.1792
2022-09-30,30.77100,16.87300,13.89800,1.86600,8.87300,,10.73900,3.15900,-0.12000,3.03900,0.51500,2.52400,2.52400,2.52400,4.75500,3.15900,10.69600,10.86500,0.24000,0.23000,2.12670,0.17780,0.28410,45.16590,10.26620,10.26620,9.87620,8.20250,0.28840,0.80000,1.45600,61.81340,4.17740,12.53660,2.36550,3.43460,5.48090,0.1331,0.1026
2022-06-30,29.57100,16.02300,13.54800,1.85900,8.96100,,10.82000,2.72800,-0.15800,2.57000,0.45400,2.11600,2.11600,2.11600,4.52800,2.72800,10.65300,10.81500,0.20000,0.20000,2.06670,0.20970,0.33590,45.81520,9.22530,9.22530,8.69090,7.15570,0.27890,0.91460,1.31490,68.44580,3.64070,12.82970,1.99580,2.87730,5.26030,-0.2128,-0.2474
