Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,48.28000,22.67800,25.60200,4.80200,27.54600,,32.34800,-6.74600,5.42100,-1.32500,0.01100,-1.33600,-1.33600,-1.51000,-3.97200,-6.74600,37.34400,37.34400,-0.04000,-0.04000,2.06740,0.93580,21.16180,53.02820,-13.97270,-13.97270,-2.74440,-3.12760,0.45900,0.92390,-87.89360,-87.89450,-1.27000,-5.64050,0.03860,0.0246,0.0144
2024-06-30,52.09900,24.03600,28.06300,5.43600,29.56300,,34.99900,-6.93600,-3.11500,-10.05100,0.01000,-10.06100,-10.06100,-10.21100,-4.51000,-6.93600,36.76800,36.76800,-0.28000,-0.28000,3.87690,0.99070,107.00290,53.86480,-13.31310,-13.31310,-19.29210,-19.59920,0.39540,0.86330,-1466.54300,-1466.64100,-7.63500,-13.57940,0.01760,0.0485,0.0382
2024-03-31,53.54500,23.80500,29.74000,3.62600,26.64700,,30.27300,-0.53300,-2.84800,-3.38100,0.01000,-3.39100,-3.39100,-3.54100,1.66800,-0.53300,36.26300,36.26300,-0.10000,-0.10000,4.01330,0.90610,9.65300,55.54210,-0.99540,-0.99540,-6.31430,-6.61310,0.38840,0.75690,-45.12890,-45.12910,-2.45970,-4.23630,0.19680,-0.34140,-0.35570
2023-12-31,59.85700,27.29500,32.56200,4.55500,35.95000,,40.50500,-7.94300,-1.53200,-9.47500,0.01000,-9.48500,-9.48500,-9.61700,-6.47800,-7.94300,34.79800,34.79800,-0.26000,-0.26000,3.54410,0.89820,8.82320,54.39960,-13.27000,-13.27000,-15.82940,-16.06660,0.39710,0.94850,-116.78140,-116.78140,-6.29220,-11.88830,0.21430,0.0285,0.0103
2023-09-30,61.75000,28.51600,33.23400,3.57800,33.76100,,37.33900,-4.10500,-5.69900,-9.80400,0.00700,-9.81100,-9.81100,-10.86900,-2.64300,-4.10500,35.25400,35.25400,-0.31000,-0.31000,3.45040,0.83400,5.02380,53.82030,-6.64780,-6.64780,-15.87690,-17.60160,0.38360,0.87170,-69.62570,-69.62600,-6.09520,-11.55840,0.37630,-0.0957,-0.1184
2023-06-30,66.10600,31.79800,34.30800,4.05200,39.81600,,43.86800,-9.56000,-1.29600,-10.85600,0.01100,-10.86700,-10.86700,-10.86700,-8.11100,-9.56000,34.28100,34.28100,-0.32000,-0.32000,3.24730,0.76780,3.30730,51.89850,-14.46160,-14.46160,-16.42210,-16.43880,0.41870,0.92040,-51.40240,-51.40250,-6.88340,-11.93380,0.58020,0.0371,0.0155
2023-03-31,71.56500,34.31000,37.25500,4.21600,46.69400,,50.91000,-13.65500,0.59600,-13.05900,0.01000,-13.06900,-13.06900,-13.06900,-12.20700,-13.65500,33.74800,33.74800,-0.39000,-0.39000,3.34940,0.71370,2.50500,52.05760,-19.08060,-19.08060,-18.24780,-18.26170,0.43220,0.83830,-47.18050,-47.18050,-7.89290,-13.50820,0.77480,-0.19960,-0.22290
2022-12-31,74.03600,39.24500,34.79100,4.57600,58.61300,,63.18900,-28.39800,15.73400,-12.66400,0.01900,-12.68300,-12.68300,-12.68300,-26.97300,-28.39800,18.10100,18.10100,25.44000,25.46000,2.47090,0.69560,2.30640,46.99200,-38.35700,-38.35700,-17.10520,-17.13090,0.42540,0.88930,-47.80070,-47.80090,-7.28720,-14.55260,0.74590,-2.6225,-2.7479
2022-09-30,77.73300,39.56600,38.16700,5.76500,54.96300,,60.72800,-22.56100,30.23300,7.67200,0.01000,7.66200,7.66200,7.66200,-21.13400,-22.56100,30.99900,33.22100,0.25000,0.23000,1.78890,0.60140,2.64510,49.10010,-29.02370,-29.02370,9.86970,9.85680,0.38260,0.70600,30.60520,30.60520,3.77080,12.19910,0.75310,7.2098,7.4929
2022-06-30,79.27900,40.32200,38.95700,5.92200,75.79300,,81.71500,-42.75800,7.45000,-35.30800,0.00200,-35.31000,-35.31000,-35.31000,-41.30400,-42.75800,6.67700,6.67700,-5.29000,-5.29000,1.96380,1.24070,-7.83230,49.13910,-53.93360,-53.93360,-44.53640,-44.53890,0.34460,0.75380,416.49140,416.48990,-15.34960,-100.26690,-0.26030,5.8095,6.1388
