Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,47.39900,25.77800,21.62100,2.35200,17.49300,-1.67700,21.52200,0.09900,1.70100,1.80000,-0.07400,1.87400,1.87400,1.87400,0.33000,0.09900,168.42600,173.75400,0.01000,0.01000,6.90270,,45.61490,0.20890,0.20890,3.79750,3.95370,0.34290,4.93640,18.23200,1.59370,1.59370,1.35570,1.59370,0.69650,0.0355,0.0265
2024-06-30,46.05800,25.10700,20.95100,2.16300,20.61300,-1.66100,24.43700,-3.48600,3.04400,-0.44200,0.03200,-0.47400,-0.47400,-0.47400,-3.26600,-3.48600,169.14900,169.14900,0.00000,0.00000,7.24280,,45.48830,-7.56870,-7.56870,-0.95970,-1.02910,0.34430,3.98630,22.57720,-0.41560,-0.41560,-0.35430,-0.41560,0.67820,0.0285,0.0181
2024-03-31,45.41600,23.68500,21.73100,3.73900,18.20700,-1.46400,23.41000,-1.67900,0.37800,-1.30100,0.16500,-1.46600,-1.46600,-1.46600,-1.47800,-1.67900,168.84700,168.84700,-0.01000,-0.01000,8.65290,,47.84880,-3.69690,-3.69690,-2.86460,-3.22790,0.32840,4.11560,21.86780,-1.22600,-1.22600,-1.06020,-1.22600,0.70520,-0.02010,-0.02240
2023-12-31,42.41800,21.44700,20.97100,3.86700,18.20900,-1.47800,23.55400,-2.58300,1.33000,-1.25300,0.05300,-1.30600,-1.30600,-1.30600,-2.30000,-2.58300,165.04000,165.04000,-0.01000,-0.01000,6.45790,,49.43890,-6.08940,-6.08940,-2.95390,-3.07890,0.29830,4.16930,21.58660,-1.10080,-1.10080,-0.91830,-1.10080,0.70440,-0.0101,-0.011
2023-09-30,38.64600,19.79700,18.84900,4.18000,18.44300,-1.40500,24.02800,-5.17900,0.77900,-4.40000,0.01400,-4.41400,-4.41400,-4.41400,-4.87400,-5.17900,166.57100,166.57100,-0.03000,-0.03000,6.60480,,48.77350,-13.40110,-13.40110,-11.38540,-11.42160,0.27540,4.84770,18.56540,-3.74950,-3.81340,-3.14500,-3.74950,0.70460,-0.0055,-0.0054
2023-06-30,35.64500,17.83300,17.81200,4.17100,18.37400,-1.67500,24.22000,-6.40800,1.71200,-4.69600,0.00800,-4.70400,-4.70400,-4.70400,-6.10600,-6.40800,164.19600,164.19600,-0.03000,-0.03000,7.00850,,49.97050,-17.97730,-17.97730,-13.17440,-13.19680,0.25370,4.23340,21.25960,-3.92670,-3.99870,-3.34750,-3.92670,0.72080,0.0031,0.0028
2023-03-31,33.33600,16.58800,16.74800,5.35300,18.83300,-1.60100,25.78700,-9.03900,0.42400,-8.61500,0.14300,-8.75800,-8.75800,-8.75800,-8.73300,-9.03900,161.79800,161.79800,-0.05000,-0.05000,6.54520,,50.24000,-27.11490,-27.11490,-25.84290,-26.27190,0.23030,2.67540,33.63930,-7.20010,-7.34150,-6.04920,-7.20010,0.74570,-0.08680,-0.08660
2022-12-31,30.24100,14.06600,16.17500,4.97500,25.98500,-0.11200,37.20600,-21.03100,2.85100,-18.18000,0.12700,-18.30700,-18.30700,-18.30700,-14.54600,-21.03100,156.88500,156.88500,-0.12000,-0.12000,5.58450,,53.48700,-69.54470,-69.54470,-60.11710,-60.53700,0.19350,3.13700,28.68950,-14.35440,-14.64480,-11.71620,-14.35440,0.79140,-0.0934,-0.0938
2022-09-30,29.33200,14.73700,14.59500,6.07300,25.98600,-2.38700,34.44600,-19.85100,1.88500,-17.96600,0.01700,-17.98300,-17.98300,-17.98300,-19.54200,-19.85100,158.33100,158.33100,-0.11000,-0.11000,5.71720,,49.75790,-67.67690,-67.67690,-61.25050,-61.30850,0.16700,3.37460,26.66990,-12.60470,-13.43810,-10.23910,-12.60470,0.89730,-0.0833,-0.0838
2022-06-30,29.84400,15.29700,14.54700,5.57600,27.72300,-2.31600,35.61500,-21.06800,-1.86500,-22.93300,0.08900,-23.02200,-23.02200,-23.02200,-20.80000,-21.06800,155.71000,155.71000,-0.15000,-0.15000,7.20760,,48.74350,-70.59380,-70.59380,-76.84290,-77.14110,0.15920,4.16700,21.59830,-14.64000,-15.53230,-12.28060,-14.64000,0.99920,-0.1143,-0.1148
