Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi
2021-02-28,,,,,,,,,,,0.00000,,,,,,
2020-08-31,,,,,,,,,,,0.00000,,,,,,
2020-02-29,,,,,,,,,,,0.00000,,,,,,
2019-08-31,,,,,,,,,,,0.00000,,,,,,
2018-08-31,,,,,,,,,,,0.00000,,,,,,
2017-08-31,,,,,,,,,,,0.00000,,,,,,
2017-02-28,,,,,,,,,,,0.00000,,,,,,
2016-11-30,0.47900,0.47900,0.47900,0.47900,0.47900,-7.35000,-7.35100,8.25900,8.25900,-0.89000,-0.89000,100.00000,-1534.65600,,,,
2016-08-31,,,,,,,,,,,0.00000,,,,,,
2016-05-31,0.01300,0.01300,0.01300,0.01300,0.01300,3.55400,3.55500,8.26600,8.26600,0.43000,0.43000,100.00000,27346.15000,,,,
2015-11-30,,,,,,-0.35500,-0.35500,4.44000,4.44000,-0.08000,-0.08000,,,,,,
2015-08-31,,,,,,,,,,,0.00000,,,,,,
2015-05-31,0.00900,0.00900,0.00900,0.00900,0.00900,12.37800,12.37800,8.19700,8.19700,1.51000,1.51000,100.00000,137533.30000,,,,
2015-02-28,,,,,,,,,,,0.00000,,,,,,
2014-11-30,,,,,,-0.62700,-0.62700,7.83500,7.83500,-0.08000,-0.08000,,,,,,
2014-08-31,,,,,,5.65200,5.65200,8.22100,8.22100,0.69000,0.69000,,,3.06310,3.06280,3.04260,3.06290
2014-05-31,,,,,,-0.71600,-0.71600,8.19400,8.19400,-0.09000,-0.09000,,,,,,
2014-02-28,,,,,,,,,,,0.00000,,,,,,
2013-08-31,,,,,,,,,,,0.00000,,,,,,
2013-05-31,,,,,,4.19800,4.19800,8.39600,8.39600,0.50000,0.50000,,,,,,
2013-02-28,,,,,,,,,,,0.00000,,,,,,
2012-11-30,,,,,,0.95800,0.95900,8.71300,8.71300,0.11000,0.11000,,,,,,
2012-08-31,,,,,,,,,,,0.00000,,,,,,
2012-05-31,,,,,,-1.12800,-1.12800,18.79600,18.79600,-0.06000,-0.06000,,,,,,
2012-02-29,,,,,,,,,,,0.00000,,,,,,
2011-11-30,,,,,,-1.00600,-1.00600,20.11100,20.11100,-0.05000,-0.05000,,,,,,
2011-08-31,,,,,,,,,,,0.00000,,,,,,
2011-05-31,,,,,,-1.14800,-1.14800,19.12800,19.12800,-0.06000,-0.06000,,,,,,
2011-02-28,,,,,,,,,,,0.00000,,,,,,
2010-11-30,,,,,,-0.77700,-0.77700,19.43100,19.43100,-0.04000,-0.04000,,,,,,
2010-08-31,,,,,,,,,,,0.00000,,,,,,
2010-05-31,,,,,,-0.98600,-0.98600,19.71400,19.71400,-0.05000,-0.05000,,,,,,
2010-02-28,,,,,,,,,,,0.00000,,,,,,
2009-11-30,,,,,,-0.89900,-0.89900,17.98900,17.98900,-0.05000,-0.05000,,,,-0.31290,-0.31290,
2009-08-31,,,,,,,,,,,0.00000,,,,,,
2009-05-31,,,,,,-0.35100,-0.35100,17.55500,17.55500,-0.02000,-0.02000,,,,,,
2009-02-28,,,,,,,,,,,0.00000,,,,,,
