Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1021.75100,406.02100,615.73000,378.97900,383.02100,232.70900,232.70900,62.70800,170.00100,170.00100,163.01000,64.88800,65.94100,2.51000,2.47000,0.15780,0.68290,39.21650,27.47070,0.00930,2.83940,3.10500,0.26650,2.23730,96.26240,-1.1589,-1.374
2024-06-30,971.12600,379.36900,591.75700,379.29200,380.41400,211.34300,211.34300,58.95500,152.38800,152.38800,145.39700,61.83900,62.76500,2.35000,2.32000,0.17300,0.78290,38.30790,26.35460,0.00920,2.97390,3.13550,0.25490,2.27620,89.64750,3.5184,2.8955
2024-03-31,946.09300,341.31900,604.77400,353.66000,354.81800,249.95610,249.95600,62.66200,187.29400,187.29400,180.30300,61.48100,62.40900,2.93000,2.89000,0.18900,0.72540,42.86670,30.92140,0.01010,3.72810,3.93600,0.32530,2.79400,88.05740,1.13970,0.96980
2023-12-31,894.67680,323.87400,570.80270,404.20400,405.56000,165.24280,165.24300,41.76300,123.48000,123.48000,116.48900,61.14900,62.08700,1.90000,1.87000,0.19850,0.67850,31.30220,22.06670,0.00940,2.47600,2.61610,0.21950,1.83290,88.16420,4.0048,3.7273
2023-09-30,874.87810,300.04200,574.83610,348.57000,349.97800,224.85810,224.85800,60.66000,164.19800,164.19800,157.20700,61.21300,62.17700,2.57000,2.53000,0.21030,0.73000,40.52130,28.33000,0.01000,3.56710,3.78750,0.29560,2.58540,81.92500,1.4106,1.0908
2023-06-30,810.20610,249.63900,560.56700,347.63800,349.13700,211.43010,211.43000,56.68000,154.75000,154.75000,147.75900,61.19200,62.09400,2.41000,2.38000,0.21200,0.67090,39.73850,27.77150,0.00980,3.34280,3.54970,0.28510,2.41860,82.38690,5.4668,5.4645
2023-03-31,747.45900,181.69500,565.76400,320.97900,322.21400,243.55000,243.55000,63.35200,180.19800,180.19800,173.20700,60.95000,61.82300,2.84000,2.80000,0.20260,0.71590,44.87590,31.91470,0.01030,3.91480,4.15110,0.34080,2.86480,81.98490,1.10700,0.95920
2022-12-31,674.58420,123.92900,550.65520,354.04600,355.48190,195.17330,195.17300,50.35600,144.81700,144.81700,137.82600,59.20500,60.09100,2.28000,2.25000,0.21160,0.75130,38.80110,27.40030,0.00950,3.30310,3.51400,0.27350,2.38010,78.90310,5.7456,5.4645
2022-09-30,567.96000,65.03000,502.93000,301.39700,302.88900,200.04100,200.04100,57.08000,142.96100,142.96100,135.97000,60.73800,61.57500,2.24000,2.21000,0.19700,0.74470,40.28940,27.38520,0.00950,3.38330,3.60900,0.27290,2.47510,76.35420,3.1433,2.9321
2022-06-30,474.91000,34.16400,440.74600,307.50600,309.08500,131.66090,131.66100,37.14800,94.51300,94.51300,87.52200,58.06300,58.83800,1.51000,1.49000,0.19890,0.49490,31.32330,20.82230,0.00820,2.19030,2.33490,0.18540,1.60160,77.85810,6.104,5.8398
