Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,,
2020-12-31,-4.90130,-209.54930,-1.66000,-76.78230,0.43280,-77.21510,-77.31310,-74.33830,-209.54930,-75.12230,0.27130,0.27130,-199.27970,-199.27970,0.67370,0.00690,0.03680,-23.08130,-80.88240,-12.80990,-22.92140,999.64650,45.3906,-8.4874
2020-09-30,-0.48240,-0.48240,0.00420,-0.47820,,-0.47820,-0.47820,-0.47820,-0.48240,-0.48240,0.00820,0.00820,-57.62300,-57.62300,0.22650,0.11410,0.12880,-9.56320,-9.56320,-1.05560,-8.47200,586.45860,-30.5598,-30.5598
2020-06-30,-0.11340,-0.11340,0.01870,-0.09470,0.00310,-0.09780,-0.09780,-0.09160,-0.11340,-0.11340,0.00810,0.00810,-12.00480,-12.00480,1.24410,,,-1.95620,-1.95620,-0.21770,-1.95620,610.62080,-17.1448,-17.1448
2020-03-31,-0.09800,-0.09800,0.14410,0.04620,0.00310,0.04310,0.04310,0.04310,-0.09800,-0.09800,0.00810,0.00810,-7.20290,-7.20290,1.59380,,0.01150,0.86140,0.86140,0.09540,0.86140,613.74360,-13.29510,-13.29510
2019-12-31,-0.25870,-0.25870,0.17980,-0.07890,,-0.06890,-0.06890,-0.06890,-0.25870,-0.25870,0.00570,0.00570,-36.01440,-36.01440,1.92040,,0.01150,-1.37840,-1.37840,-0.15290,-1.37840,615.00120,-21.2467,-21.2467
2019-09-30,-0.05970,-0.05970,0.12400,0.06430,0.01000,0.05430,0.05430,0.05430,-0.05970,-0.05970,0.00630,0.00630,-4.80190,-4.80190,15.38540,,,1.08550,1.08550,0.12070,1.08550,1081.51400,-16.6994,-16.6994
2019-06-30,-0.00010,-0.00010,,-0.00010,,-0.00010,-0.00010,-0.00010,-0.00010,-0.00010,0.00420,0.00420,0.00000,0.00000,0.18590,,30.49610,-1.39600,-1.39600,-0.04420,-1.39600,1.54040,-0.0248,-0.0248
2019-03-31,-0.01670,-0.01670,,-0.01670,,-0.01670,-0.01670,-0.01670,-0.01670,-0.01670,0.00420,0.00420,-4.80190,-4.80190,0.56450,,30.07620,-222.64410,-222.64380,-7.13800,-222.64400,1.56190,-3.99900,-3.99900
2018-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
