Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,15.96400,7.32800,,-23.29200,2.28400,-21.00800,-0.00900,-20.99900,-20.99900,-20.99900,-23.41500,-23.29200,9.30300,9.30300,-2.26000,-2.26000,11.22580,,,,,,,,,-11.69000,-11.69000,-8.62230,-11.69000,19.27800,-1.5922,-2.0728
2024-06-30,,,17.13800,6.98700,,-24.12500,2.32900,-21.79600,0.03000,-21.82600,-21.82600,-21.82600,-23.57500,-24.12500,8.98700,8.98700,-2.43000,-2.43000,13.27710,,,,,,,,,-11.01900,-11.01900,-8.74480,-11.01900,21.34450,-1.33,-1.9181
2024-03-31,,,13.57200,7.88100,,-21.45300,1.91300,-19.54000,0.01700,-19.55700,-19.55700,-19.55700,-20.72700,-21.45300,8.02000,8.02000,-2.44000,-2.44000,13.17790,,,,,,,,,-12.92100,-12.92100,-9.87800,-12.92100,18.86790,-2.72960,-3.42920
2023-12-31,,,15.42100,11.47100,,-26.89200,1.46600,-25.42600,,-25.42600,-25.42600,-25.42600,-25.90700,-26.89200,1.52900,1.52900,148.03000,148.03000,8.86560,,,,,,,,,-14.96430,-14.96430,-11.47060,-14.96430,21.19380,118.5869,135.2261
2023-09-30,,,14.00800,5.14000,,-19.14800,0.65600,-18.49200,,-18.49200,-18.49200,-18.49200,-18.23000,-19.14800,0.28400,0.28400,-65.08000,-65.08000,4.42160,,,,,,,,,-50.33620,-50.33620,-39.89730,-50.33620,49.74410,-37.9393,-38.1998
2023-06-30,,,13.12700,5.28100,,-18.40800,0.78600,-17.62200,0.02700,-17.64900,-17.64900,-17.64900,-17.50200,-18.40800,0.27600,0.27600,-63.83000,-63.83000,5.80920,,,,,,,,,-38.86760,-38.86760,-22.23270,-38.86760,63.12980,-52.2662,-68.2073
2023-03-31,,,14.69400,5.39200,,-20.08600,0.48100,-19.60500,,-19.60500,-19.60500,-19.60500,-19.34500,-20.08600,0.27200,0.27200,-72.20000,-72.20000,3.14440,,0.21910,,,,,,,-36.81760,-36.81760,-19.31510,-36.81760,74.47000,-72.38600,-77.94850
2022-12-31,,,3.43200,-9.24000,,5.80800,0.39700,6.20500,0.02300,6.18200,6.18200,6.18600,6.08000,5.80800,0.25500,0.25500,-135.92000,-135.92000,6.56050,,,,,,,,,-6.24250,9.53540,8.38330,9.53540,241.91040,-149.9181,-170.0847
2022-09-30,,,11.71500,8.56000,,-20.27500,0.70500,-19.57000,-0.02300,-19.54700,-19.54700,-19.54700,-19.59600,-20.27500,0.70500,0.70500,-27.50000,-27.50000,5.04870,0.07520,0.18300,,,,,,,-23.84570,-23.84570,-14.37140,-22.05210,116.23420,-16.3943,-16.3459
2022-06-30,,,13.27300,8.00000,,-21.27300,-0.01000,-21.28300,-0.00200,-21.28100,-21.28100,-21.28500,-20.58400,-21.27300,0.69950,0.69950,-30.50000,-30.50000,6.76700,0.08730,0.15650,,,,,,,-22.20170,-22.20170,-14.21980,-20.26380,137.02680,-19.15,-19.1556
2022-03-31,,,13.78100,9.47700,,-23.25800,-0.11600,-23.37400,0.01200,-23.38600,-23.38600,-23.38600,-22.53200,-23.25800,0.69620,0.69620,-33.50000,-33.50000,9.85360,0.09380,0.13310,,,,,,,-20.75620,-20.75620,-14.17860,-18.80860,161.06760,-24.91020,-24.92750
2021-12-31,,,12.75400,8.60500,,-21.35900,-0.13900,-21.49800,0.00200,-21.50000,-21.50000,-21.50000,-20.62200,-21.35900,0.68700,0.68700,-31.00000,-31.00000,11.79000,0.09770,0.11470,,,,,,,-16.43430,-16.43430,-11.59920,-14.82850,188.99200,-26.278,-26.3786
2021-09-30,,,15.66200,9.32800,,-24.99000,-0.16200,-25.15200,0.00300,-25.15500,-25.15500,-25.15500,-24.25500,-24.99000,0.68900,0.68900,-36.50000,-36.50000,14.29750,0.09250,0.10200,,,,,,,-17.09880,-17.09880,-12.44160,-15.51670,212.89070,-21.4187,-21.8474
2021-06-30,9.41700,9.41700,17.40100,9.49900,,-17.48300,-0.16300,-17.64600,0.01000,-17.65600,-17.65600,-17.65600,-16.56200,-17.48300,0.68480,0.68480,-26.00000,-26.00000,19.08580,0.08290,0.09030,100.00000,-185.65360,-185.65360,-187.38450,-187.49070,0.04280,-10.63360,-10.63360,-8.01770,-9.75250,241.43550,-25.6775,-28.5939
2021-03-31,4.65100,4.65100,15.10600,9.74400,,-20.19900,-0.17600,-20.37500,,-20.37500,-20.37500,-20.37500,-19.81700,-20.19900,0.68230,0.68230,-30.00000,-30.00000,10.57600,0.07800,0.08460,100.00000,-434.29380,-434.29380,-438.07780,-438.07780,0.01930,-11.48490,-11.48490,-8.43650,-10.58950,259.24570,-37.33440,-38.13020
2020-12-31,9.95000,9.95000,11.82800,8.39900,,-10.27700,0.02000,-10.25700,-0.02500,-10.23200,-10.23200,-10.23200,-9.89100,-10.27700,0.64510,0.64510,-15.50000,-15.50000,8.45030,0.07230,0.07790,100.00000,-103.28640,-103.28640,-103.08540,-102.83420,0.03760,-5.31560,-5.31560,-3.86520,-4.93130,283.37510,-24.1629,-31.0986
2020-09-30,11.24700,11.24700,10.15300,6.51200,,-5.41800,0.09200,-5.32600,0.01500,-5.34100,-5.34100,-5.34100,-5.11700,-5.41800,0.66150,0.66150,-8.00000,-8.00000,6.90610,,,100.00000,-48.17290,-48.17290,-47.35490,-47.48820,0.04800,-2.67600,-2.67600,-2.27940,-2.67600,295.84970,-14.3045,-15.6955
2020-06-30,8.52300,8.52300,8.76400,5.95900,,-6.20000,0.18200,-6.01800,0.00700,-6.02500,-6.02500,-6.02500,-5.95600,-6.20000,0.62130,0.62130,-9.50000,-9.50000,4.82020,,,100.00000,-72.74430,-72.74430,-70.60890,-70.69110,0.04160,-3.72600,-3.72600,-2.94210,-3.72600,258.72160,-16.4188,-17.8782
2020-03-31,7.26400,7.26400,6.67000,6.24900,,-5.65500,0.78000,-4.87500,0.03800,-4.91300,-4.91300,-4.91300,-5.44000,-5.65500,0.61740,0.61740,-8.00000,-8.00000,4.80110,,,100.00000,-77.84970,-77.84970,-67.11180,-67.63490,0.03370,-2.98030,-2.98030,-2.27750,-2.98030,265.80830,-15.16620,-15.72180
2019-12-31,4.70900,4.70900,6.19600,5.00100,,-6.48800,0.99500,-5.49300,,-5.49300,-5.49300,-5.53300,-6.26300,-6.48800,0.17300,0.17300,255.00000,255.00000,4.19390,,,100.00000,-137.77880,-137.77880,-116.64900,-117.49840,0.02110,-3.28220,-3.28220,-2.46080,-3.28220,271.28870,-1280.6528,-1271.9398
2019-09-30,24.23800,24.23800,5.22100,4.26900,-16.00000,-1.25200,0.67700,-0.57500,,-0.57500,-0.57500,-1.58900,-1.03800,-1.25200,0.04330,0.04330,-36.50000,-36.50000,2.30900,,,100.00000,-5.16540,-5.16540,-2.37230,-6.55580,0.14190,1.02900,-0.62480,-0.33660,-0.62480,1931.63300,1742.6849,1739.9602
2019-06-30,,,3.92100,3.09800,,-7.01900,0.16700,-6.85200,,-6.85200,-6.85200,-6.85200,-6.81200,-7.01900,0.04020,0.04020,-171.00000,-171.00000,,,,,,,,,,,,,,,-93.2055,-92.5806
2019-03-31,,,3.44600,2.47000,,-5.91600,0.09000,-5.82600,,-5.82600,-5.82600,-5.82600,-5.74900,-5.91600,0.03600,0.03600,-162.00000,-162.00000,,,,,,,,,,,,,,,-171.02340,-183.78760
2018-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,390.3871,396.6371
2018-09-30,,,3.55000,1.50700,,-5.05700,-0.07900,-5.13600,,-5.13600,-5.13600,-5.13600,-5.05700,-5.05700,0.03150,0.03150,-163.00000,-163.00000,,,,,,,,,,,,,,,-390.3871,-396.6371
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
