,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-31,2024-09-30,$1.52,$1.62
1,2024-08-07,2024-06-30,$1.57,$1.85
2,2024-05-02,2024-03-31,$1.28,$1.41
3,2024-02-21,2023-12-31,$1.39,$1.56
4,2023-11-02,2023-09-30,$1.61,$1.73
5,2023-08-02,2023-06-30,$1.02,$1.28
6,2023-04-27,2023-03-31,$1.19,$1.33
7,2023-02-22,2022-12-31,$1.21,$1.29
8,2022-11-03,2022-09-30,$1.77,$1.82
9,2022-08-03,2022-06-30,$2.12,$2.19
10,2022-04-28,2022-03-31,$2.07,$1.98
11,2022-02-24,2021-12-31,$0.82,$1.14
12,2021-10-28,2021-09-30,$0.15,$0.74
13,2021-07-29,2021-06-30,$-0.20,$0.01
14,2021-04-29,2021-03-31,$-0.23,$-0.05
15,2021-02-17,2020-12-31,$0.07,$0.02
16,2020-10-29,2020-09-30,$-0.23,$-0.05
17,2020-07-30,2020-06-30,$-0.47,$-0.15
18,2020-04-29,2020-03-31,$-0.21,$-0.05
19,2020-02-19,2019-12-31,$-0.09,$-0.04
20,2019-10-31,2019-09-30,$-0.12,$-0.11
21,2019-08-01,2019-06-30,$-0.11,$0.02
22,2019-05-01,2019-03-31,$-0.28,$-0.34
23,2019-02-20,2018-12-31,$-0.11,$-0.18
24,2018-11-01,2018-09-30,$0.15,$-0.01
25,2018-08-01,2018-06-30,$0.06,$0.15
26,2018-05-03,2018-03-31,$0.03,$0.07
27,2018-02-21,2017-12-31,$-0.15,$-0.08
28,2017-11-02,2017-09-30,$-0.32,$-0.25
29,2017-08-03,2017-06-30,$-0.32,$-0.32
30,2017-05-02,2017-03-31,$-0.36,$0.18
31,2017-02-22,2016-12-31,$-0.39,$-0.31
32,2016-11-01,2016-09-30,$-0.63,$-0.37
33,2016-08-02,2016-06-30,$-0.69,$-0.44
34,2016-05-03,2016-03-31,$-0.83,$-0.83
35,2016-02-23,2015-12-31,$-0.60,$-0.90
36,2015-10-27,2015-09-30,$-0.27,$-0.34
37,2015-07-28,2015-06-30,$-0.15,$0.49
38,2015-05-05,2015-03-31,$0.31,$0.21
39,2015-02-24,2014-12-31,$1.12,$1.05
